FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
1,1,0,0,1.53,3.4,6.0,1.5,3.8,5.8,1.5,3.9,6.35,1.5,3.7,5.0,1.53,3.5,5.5,1.5,3.6,6.5,1.5,3.4,6.0,1.6,2.15,1.57,2.3,1.75,2.0,-1,2.04,1.8,-1.25,2.0,1.9,-1.25
2,3,2,1,2.75,3.25,2.25,2.75,3.3,2.3,2.75,3.35,2.4,2.5,3.0,2.5,2.75,3.2,2.25,2.8,3.25,2.3,2.62,3.2,2.3,1.75,1.95,1.8,2.0,1.85,2.0,0.25,1.92,1.92,0.25,1.9,2.0,0.25
4,1,1,0,2.9,3.2,2.37,3.2,3.3,2.05,3.15,3.25,2.2,2.6,3.0,2.4,2.75,3.2,2.25,2.88,3.2,2.3,2.62,3.1,2.37,1.55,2.25,1.7,2.1,1.9,1.95,0.25,1.94,1.9,0.25,1.925,1.975,0.25
0,2,0,1,1.5,3.5,6.0,1.4,4.2,6.6,1.5,3.85,6.5,1.55,3.5,4.8,1.5,3.4,6.0,1.44,3.75,7.0,1.44,3.6,6.5,1.6,2.15,1.66,2.15,1.95,1.9,-1.25,1.94,1.9,-1.25,1.975,1.925,-1.25
1,1,1,0,1.5,3.5,6.0,1.4,4.2,6.6,1.5,3.9,6.35,1.45,3.8,5.4,1.5,3.4,6.0,1.44,3.75,7.0,1.5,3.4,6.0,1.6,2.15,1.57,2.3,2.05,1.8,-1.25,2.1,1.74,-1.25,2.1,1.8,-1.25
1,2,0,0,1.44,3.75,6.5,1.45,4.1,6.0,1.5,3.9,6.35,1.6,3.4,4.6,1.44,3.6,6.5,1.44,3.75,7.0,1.44,3.6,6.5,1.55,2.25,1.61,2.25,2.05,1.8,-1.25,2.04,1.8,-1.25,2.05,1.85,-1.25
1,0,1,0,1.2,5.0,12.0,1.2,5.6,11.0,1.2,6.0,13.0,1.2,5.0,10.0,1.25,4.5,10.0,1.2,5.5,12.0,1.25,4.8,8.5,1.5,2.35,1.53,2.4,2.05,1.7,-2,1.82,2.02,-1.75,1.8,2.1,-1.75
2,2,1,0,2.375,3.2,2.625,2.5,3.3,2.5,2.5,3.2,2.7,2.4,3.0,2.6,2.375,3.2,2.6,2.4,3.2,2.7,2.37,3.0,2.7,1.71,2.0,1.85,1.95,2.1,1.67,-0.25,1.78,2.06,0.0,1.875,2.025,0.0
2,0,0,0,3.5,3.25,1.909,3.95,3.4,1.8,3.9,3.4,1.9,3.2,3.1,2.0,3.5,3.2,1.909,3.4,3.25,2.0,3.3,3.2,1.95,1.6,2.15,1.65,2.2,2.15,1.65,0.25,1.94,1.9,0.5,1.875,2.025,0.5
3,1,1,0,2.875,3.2,2.2,3.2,3.3,2.05,3.1,3.2,2.25,2.7,3.0,2.3,2.8,3.2,2.2,3.0,3.2,2.2,2.8,3.2,2.2,1.65,2.05,1.7,2.1,1.9,1.95,0.25,1.92,1.92,0.25,1.9,2.0,0.25
