FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
1,1,0,1,1.5,3.6,5.55,1.4,3.6,5.5,1.45,3.6,6.5,1.4,3.6,6.5,1.36,3.75,8.0
2,0,1,0,2.1,3.2,3.0,2.0,2.9,3.0,2.1,3.25,2.85,2.05,3.2,3.1,2.1,3.2,3.0
4,2,2,0,2.4,3.15,2.65,2.4,2.9,2.4,2.35,3.25,2.5,2.5,3.0,2.6,2.5,3.1,2.5
2,2,2,1,2.05,3.05,3.3,1.85,2.9,3.4,2.1,3.2,3.0,2.0,3.1,3.4,1.83,3.2,3.75
0,1,0,0,2.85,3.15,2.25,2.7,2.9,2.2,2.6,3.4,2.25,2.8,3.2,2.25,2.75,3.1,2.3
2,2,0,1,1.8,3.2,4.1,1.6,3.2,4.2,1.8,3.25,3.75,1.67,3.3,4.5,1.72,3.2,4.33
3,2,0,1,2.8,3.25,2.2,2.4,2.9,2.4,3.0,3.2,2.1,2.88,3.2,2.2,2.9,3.1,2.2
2,0,0,0,1.7,3.25,4.4,1.55,3.3,4.5,1.55,3.25,5.5,1.45,3.6,5.5,1.5,3.6,5.5
2,1,1,1,2.25,3.1,2.85,2.3,2.9,2.5,2.25,3.4,2.6,2.25,3.1,2.88,2.3,3.0,2.8
3,1,1,0,2.4,3.15,2.6,2.2,2.9,2.7,2.35,3.25,2.5,2.5,3.0,2.6,2.3,3.1,2.7
2,2,1,0,2.0,2.8,3.6,2.0,2.9,3.0,1.8,3.25,3.75,1.91,3.1,3.6,1.9,3.2,3.5
5,2,3,2,1.9,3.1,3.7,1.9,2.9,3.2,1.8,3.25,3.75,1.8,3.1,4.0,1.8,3.1,4.0
1,2,1,1,1.25,4.6,9.0,1.3,4.0,7.0,1.3,4.0,8.0,1.29,4.33,8.5,1.28,4.5,8.0
1,3,1,2,2.25,3.0,2.8,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.1,2.8,2.25,3.1,2.8
0,4,0,2,1.85,3.2,3.6,1.9,2.9,3.2,1.7,3.5,3.75,1.75,3.1,4.33,1.8,3.1,4.0
0,2,0,1,1.5,3.4,5.8,1.55,3.3,4.5,1.45,3.6,6.5,1.4,3.6,7.5,1.55,3.6,5.0
1,1,0,1,1.85,3.1,3.8,2.0,2.9,3.0,2.0,3.2,3.2,1.8,3.1,4.0,1.8,3.1,4.0
1,1,0,0,2.7,3.0,2.3,2.9,2.9,2.1,2.5,3.25,2.35,2.8,3.0,2.3,3.0,2.87,2.25
2,1,2,0,1.9,2.9,3.8,1.8,2.9,3.6,1.85,3.4,3.5,1.8,3.1,4.0,1.83,3.2,3.75
2,1,1,0,1.35,4.0,6.5,1.45,3.5,5.0,1.4,3.5,8.0,1.4,3.75,7.0,1.3,4.0,9.5
0,2,0,1,2.1,3.2,3.0,2.0,2.9,3.0,2.0,3.2,3.2,2.1,3.0,3.2,2.1,3.2,3.0
2,1,2,1,1.7,3.3,4.5,1.7,3.1,3.8,1.67,3.25,4.5,1.62,3.25,4.5,1.62,3.25,5.0
0,4,0,2,2.15,3.2,2.9,2.0,2.9,3.0,2.1,3.2,3.0,2.05,3.2,3.1,2.1,3.2,3.0
1,1,1,1,3.8,3.3,1.8,3.2,2.9,1.9,3.2,3.2,2.0,3.75,3.3,1.8,3.5,3.2,1.9
1,0,0,0,2.45,3.0,2.7,2.3,2.9,2.5,2.62,3.4,2.25,2.38,3.0,2.7,2.3,3.1,2.75
0,2,0,1,1.65,3.3,4.8,1.6,3.2,4.2,1.73,3.4,4.0,1.62,3.2,4.6,1.62,3.25,5.0
4,2,2,1,1.66,3.4,4.45,1.6,3.2,4.2,1.61,3.5,4.5,1.62,3.25,5.0,1.57,3.25,5.5
1,0,0,0,1.85,3.2,3.7,1.8,3.0,3.5,1.8,3.4,3.6,1.8,3.1,4.0,1.8,3.3,3.75
4,0,1,0,1.8,3.2,3.8,1.8,3.0,3.5,,,,1.75,3.25,4.0,1.72,3.25,4.2
2,0,1,0,1.75,3.25,4.1,1.75,3.1,3.6,,,,1.73,3.2,4.33,1.72,3.2,4.33
2,1,2,0,2.35,3.1,2.7,2.2,2.9,2.7,,,,2.3,3.1,2.75,2.25,3.1,2.8
2,2,2,1,1.45,3.6,6.3,1.45,3.5,5.0,,,,1.45,3.5,6.5,1.44,3.6,6.5
0,2,0,1,2.4,3.0,2.7,2.3,2.9,2.5,,,,2.3,3.1,2.7,2.37,3.1,2.62
2,0,0,0,2.4,3.1,2.65,2.3,2.9,2.5,,,,2.38,3.1,2.6,2.37,3.1,2.62
1,0,0,0,2.1,3.0,3.25,2.2,2.9,2.7,2.0,3.2,3.2,2.2,3.0,3.0,2.2,3.0,3.0
2,1,0,0,1.9,3.0,3.6,1.9,2.9,3.2,1.91,3.2,3.5,1.91,3.2,3.5,2.0,3.3,3.1
1,2,1,0,1.95,3.2,3.45,2.0,2.9,3.0,1.73,3.4,4.0,1.85,3.1,3.75,1.83,3.3,3.6
2,1,1,0,1.85,3.15,3.7,1.8,3.0,3.5,1.8,3.25,3.75,1.8,3.25,3.6,1.9,3.25,3.4
3,0,3,0,1.45,3.75,6.0,1.4,3.6,5.5,1.44,3.5,7.0,1.44,3.6,6.5,1.44,3.6,6.5
5,0,1,0,1.75,3.2,4.3,1.75,3.1,3.6,1.8,3.25,3.75,1.7,3.25,4.33,1.72,3.4,4.0
0,0,0,0,2.7,3.15,2.3,2.35,3.0,2.35,2.75,3.2,2.25,2.8,3.1,2.25,2.75,3.2,2.25
2,1,1,0,1.55,3.5,5.5,1.6,3.2,4.2,1.61,3.25,5.0,1.5,3.5,6.0,1.53,3.4,5.5
2,1,0,1,1.45,3.7,6.2,1.5,3.4,4.7,1.5,3.4,6.0,1.44,3.6,6.5,1.45,3.5,6.5
4,0,2,0,1.8,3.3,3.85,1.75,3.1,3.6,1.61,3.5,4.5,1.73,3.25,4.2,1.72,3.4,4.0
2,1,0,0,1.9,3.2,3.6,1.75,3.1,3.6,1.8,3.25,3.75,1.91,3.25,3.4,1.9,3.25,3.4
4,1,1,1,1.85,3.2,3.7,1.75,3.1,3.6,1.83,3.4,3.5,1.75,3.25,4.0,1.7,3.3,4.2
0,2,0,1,2.65,3.15,2.35,2.4,2.9,2.4,2.5,3.25,2.4,2.6,3.1,2.4,2.75,3.1,2.3
1,2,0,1,1.7,3.25,4.45,1.6,3.2,4.2,1.73,3.2,4.33,1.67,3.3,4.5,1.66,3.3,4.5
0,0,0,0,2.35,3.2,2.65,2.4,2.9,2.4,2.37,3.2,2.6,2.25,3.2,2.75,2.3,3.25,2.62
2,1,0,1,1.4,3.9,6.6,1.45,3.5,5.0,1.44,3.75,6.0,1.3,4.0,8.0,1.3,4.0,9.0
3,2,1,0,3.4,3.1,1.95,3.1,3.0,1.9,3.2,3.2,2.0,3.25,3.25,1.95,3.2,3.2,2.0
2,3,2,0,2.15,3.15,3.0,1.9,2.9,3.2,2.0,3.2,3.2,2.0,3.2,3.2,2.1,3.2,3.0
5,2,2,1,2.2,3.1,2.9,2.2,2.9,2.7,2.1,3.2,3.0,2.2,3.1,2.88,2.2,3.2,2.8
2,4,0,2,1.8,3.35,3.8,1.65,3.2,3.9,1.8,3.5,3.5,1.73,3.25,4.2,1.72,3.4,4.0
2,0,1,0,2.1,3.2,3.0,1.9,2.9,3.2,1.91,3.2,3.5,1.91,3.2,3.4,1.85,3.25,3.6
2,2,0,2,2.3,3.4,2.6,2.4,2.9,2.4,2.37,3.25,2.5,2.38,3.1,2.6,2.3,3.1,2.75
2,1,1,0,2.2,3.4,2.7,2.2,2.9,2.7,2.2,3.25,2.75,2.1,3.1,3.1,2.2,3.2,2.8
0,1,0,1,2.6,3.1,2.4,2.35,3.0,2.35,2.75,3.2,2.25,2.7,3.1,2.3,2.65,3.1,2.35
1,2,0,1,2.7,3.0,2.4,2.4,2.9,2.4,2.5,3.25,2.37,2.6,3.1,2.4,2.75,3.2,2.25
0,0,0,0,1.85,3.2,3.8,1.8,3.0,3.5,1.73,3.5,3.75,1.75,3.2,4.2,1.8,3.3,3.75
2,0,0,0,2.6,3.2,2.4,2.3,2.8,2.6,2.75,3.25,2.2,2.5,3.1,2.5,2.5,3.1,2.5
3,1,2,1,2.25,3.2,2.8,2.3,2.9,2.5,2.2,3.25,2.75,2.2,3.1,2.88,2.2,3.2,2.8
1,3,1,2,2.6,3.2,2.4,2.35,3.0,2.35,2.6,3.2,2.37,2.6,3.1,2.4,2.62,3.1,2.4
0,0,0,0,2.15,2.9,3.2,2.1,2.9,2.9,,,,1.95,3.2,3.2,2.0,3.2,3.2
2,0,1,0,1.35,4.0,7.2,1.5,3.2,5.0,1.44,3.5,7.0,1.4,3.75,7.0,1.36,4.0,7.0
3,2,1,1,1.21,5.2,10.5,1.25,4.3,8.0,1.25,4.5,10.0,1.2,5.0,11.0,1.2,5.0,11.0
2,0,0,0,1.25,4.35,8.4,1.3,4.0,7.0,1.36,3.75,8.0,1.3,4.33,8.0,1.28,4.5,8.0
1,5,0,4,2.0,3.1,3.35,2.0,2.9,3.0,2.2,3.25,2.75,2.0,3.1,3.3,2.0,3.3,3.1
2,0,1,0,1.75,3.2,4.2,1.7,3.1,3.8,1.67,3.4,4.33,1.67,3.25,4.6,1.72,3.4,4.0
0,0,0,0,1.77,3.2,4.05,1.75,3.1,3.6,1.8,3.25,3.75,1.7,3.25,4.33,1.66,3.4,4.33
2,0,0,0,1.95,3.2,3.35,1.9,2.9,3.2,1.91,3.25,3.4,2.0,3.1,3.3,2.0,3.2,3.2
1,2,1,0,2.05,3.1,3.2,2.0,2.9,3.0,2.1,3.2,3.0,2.0,3.1,3.3,1.9,3.25,3.4
4,0,0,0,1.43,3.6,6.8,1.5,3.4,4.7,1.5,3.4,6.0,1.4,3.75,7.0,1.4,3.75,7.0
1,0,0,0,2.65,2.95,2.45,2.4,2.9,2.4,2.5,3.25,2.37,2.6,3.1,2.4,2.5,3.25,2.4
0,1,0,0,1.75,3.2,4.0,1.8,3.0,3.5,1.73,3.4,4.0,1.75,3.25,4.0,1.72,3.4,4.0
1,3,0,1,2.6,3.0,2.5,2.4,2.9,2.4,2.75,3.2,2.25,2.63,3.1,2.38,2.5,3.25,2.4
4,1,2,0,2.95,3.0,2.25,3.2,2.9,1.9,3.0,3.2,2.1,3.0,3.1,2.05,3.0,3.2,2.1
6,1,3,1,2.37,2.9,2.8,2.3,2.9,2.5,2.25,3.2,2.75,2.3,3.1,2.7,2.37,3.1,2.62
3,1,1,0,1.91,3.1,3.6,2.0,2.9,3.0,1.8,3.5,3.5,1.85,3.25,3.6,1.9,3.1,3.6
1,3,1,2,3.25,2.95,2.1,2.9,2.9,2.1,3.0,3.2,2.1,3.1,3.1,2.1,3.1,3.1,2.1
0,2,0,2,1.8,3.2,3.9,1.8,3.0,3.5,1.8,3.25,3.75,1.75,3.25,4.0,1.8,3.4,3.6
1,2,1,1,3.05,2.9,2.25,3.0,2.9,2.0,2.8,3.2,2.2,3.1,3.0,2.15,3.0,3.0,2.2
1,0,0,0,1.8,3.2,4.0,1.65,3.2,3.9,,,,1.75,3.25,4.0,1.8,3.3,3.75
1,0,1,0,1.28,4.4,8.6,1.4,3.6,5.5,,,,1.33,4.0,8.0,1.33,4.0,8.0
3,0,3,0,1.5,3.6,5.6,1.55,3.3,4.5,,,,1.55,3.5,5.25,1.57,3.5,5.0
1,3,0,1,1.68,3.25,4.6,1.7,3.1,3.8,,,,1.67,3.3,4.5,1.66,3.4,4.33
4,0,3,0,1.5,3.5,5.9,1.45,3.5,5.0,,,,1.5,3.5,5.75,1.5,3.6,5.5
4,1,0,1,1.45,3.65,6.4,1.55,3.3,4.5,,,,1.44,3.6,6.5,1.44,3.5,7.0
2,0,0,0,1.55,3.5,5.4,1.65,3.2,3.9,,,,1.53,3.4,5.5,1.57,3.5,5.0
0,0,0,0,1.53,3.45,5.6,1.6,3.2,4.2,,,,1.53,3.5,5.25,1.61,3.25,5.0
0,0,0,0,1.6,3.4,4.8,1.6,3.2,4.2,,,,1.53,3.5,5.25,1.57,3.5,5.0
2,2,0,1,1.68,3.3,4.55,1.7,3.1,3.8,,,,1.65,3.25,4.5,1.66,3.4,4.33
0,2,0,0,2.18,3.2,2.75,2.1,2.9,2.9,,,,2.2,3.2,2.8,2.2,3.2,2.8
4,2,1,0,1.6,3.45,4.8,1.65,3.2,3.9,,,,1.57,3.5,5.0,1.57,3.5,5.0
2,1,1,1,3.3,3.15,2.0,3.0,2.9,2.0,,,,3.4,3.1,1.95,3.2,3.2,2.0
1,0,0,0,5.1,3.35,1.6,4.5,3.3,1.55,,,,4.5,3.3,1.67,4.5,3.3,1.66
2,1,2,0,2.33,3.1,2.7,2.2,2.9,2.7,,,,2.3,3.1,2.7,2.3,3.2,2.62
0,0,0,0,1.48,3.55,6.1,1.45,3.5,5.0,,,,1.44,3.6,6.5,1.53,3.4,5.5
0,1,0,1,2.25,3.0,2.9,2.2,2.9,2.7,,,,2.1,3.1,3.1,2.2,3.2,2.8
0,1,0,0,2.27,3.0,2.9,2.1,2.9,2.9,,,,2.25,3.1,2.8,2.3,3.2,2.62
1,3,0,2,1.25,4.2,8.7,1.3,4.0,7.0,,,,1.25,4.5,8.5,1.25,4.5,10.0
1,1,0,1,1.27,4.5,9.0,1.3,4.0,7.0,,,,1.33,4.0,8.0,1.3,4.33,8.0
1,2,0,1,2.2,3.1,2.95,2.1,2.9,2.9,,,,2.0,3.1,3.0,2.1,3.2,3.0
0,3,0,2,1.9,3.2,3.6,1.9,3.0,3.1,,,,1.8,3.1,4.0,1.8,3.3,3.75
3,2,2,1,2.0,3.1,3.35,2.0,2.9,3.0,,,,2.0,3.2,3.2,1.9,3.25,3.4
0,0,0,0,2.25,3.2,2.75,2.1,2.9,2.9,,,,2.1,3.0,3.2,2.1,3.2,3.0
0,0,0,0,2.27,3.0,2.87,2.2,2.9,2.7,,,,2.2,3.1,2.88,2.2,3.2,2.8
0,1,0,1,1.5,3.4,6.2,1.45,3.5,5.0,,,,1.5,3.4,6.0,1.5,3.4,6.0
6,1,1,0,1.42,3.8,6.7,1.45,3.5,5.0,,,,1.44,3.6,6.5,1.44,3.6,6.5
1,0,0,0,2.35,3.0,2.8,2.2,2.9,2.7,,,,2.25,3.2,2.75,2.37,3.3,2.5
0,2,0,0,2.45,3.1,2.6,2.3,2.9,2.5,,,,2.3,3.1,2.7,2.37,3.3,2.5
3,2,1,1,3.8,3.2,1.85,3.3,3.0,1.85,,,,3.6,3.25,1.85,3.5,3.2,1.9
2,1,1,0,2.25,3.0,2.95,1.9,3.0,3.1,,,,2.2,3.0,3.0,2.1,3.2,3.0
