FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
1,0,1,0,1.8,3.25,4.0,1.75,3.35,4.3,1.87,3.25,4.15,1.85,3.1,3.6,1.67,3.25,4.5,1.8,3.2,4.33,1.8,3.1,4.0,1.85,1.85,2.0,1.8,1.6,2.2,-0.25,2.06,1.78,-0.75,1.9,2.0,-0.5
1,1,0,0,1.66,3.4,4.5,1.55,3.55,5.7,1.67,3.4,5.25,1.65,3.3,4.4,1.62,3.25,5.0,1.62,3.4,5.5,1.66,3.3,4.5,1.85,1.85,1.8,2.0,2.15,1.65,-1.0,1.98,1.86,-0.75,2.05,1.85,-0.75
1,0,0,0,1.9,3.25,3.5,1.8,3.3,4.1,1.85,3.25,4.2,1.9,3.1,3.5,1.73,3.2,4.33,1.91,3.2,3.8,1.8,3.1,4.0,1.85,1.85,2.0,1.8,1.55,2.3,-0.25,2.04,1.8,-0.5,2.075,1.825,-0.5
1,3,0,3,4.33,3.25,1.72,4.1,3.3,1.8,4.75,3.4,1.73,4.0,3.2,1.75,5.0,3.5,1.57,4.33,3.4,1.73,4.33,3.2,1.72,1.75,1.95,1.8,2.0,1.85,2.0,0.75,2.08,1.76,0.75,2.1,1.8,0.75
0,0,0,0,2.0,3.25,3.25,1.9,3.25,3.75,2.1,3.1,3.55,2.1,3.0,3.1,1.91,3.2,3.5,2.1,3.2,3.25,1.9,3.2,3.5,1.95,1.75,2.1,1.7,1.55,2.3,0.0,1.88,1.96,-0.25,1.95,1.95,-0.25
2,1,2,1,1.66,3.4,4.5,1.6,3.5,5.2,1.65,3.3,5.8,1.65,3.3,4.4,1.53,3.5,5.5,1.62,3.4,5.5,1.61,3.3,5.0,1.85,1.85,2.05,1.75,2.15,1.65,-1.0,1.82,2.02,-0.75,1.85,2.05,-0.75
2,1,1,1,1.8,3.25,4.0,1.85,3.25,3.95,1.83,3.3,4.3,1.85,3.1,3.6,1.73,3.2,4.33,1.8,3.25,4.2,1.8,3.1,4.0,1.95,1.75,2.05,1.75,1.5,2.45,-0.25,1.96,1.88,-0.75,2.05,1.85,-0.75
2,0,2,0,1.28,4.5,8.5,1.3,4.7,8.25,1.35,4.5,8.5,1.3,4.2,8.0,1.3,4.0,9.0,1.3,4.5,9.0,1.36,3.75,8.0,1.71,2.0,1.75,2.05,1.9,1.75,-1.5,1.84,2.0,-1.25,1.9,2.0,-1.25
4,3,1,2,1.72,3.25,4.33,1.75,3.35,4.3,1.75,3.4,4.65,1.85,3.1,3.6,1.62,3.25,5.0,1.73,3.4,4.33,1.7,3.2,4.5,1.85,1.85,1.95,1.85,2.45,1.5,-1.0,1.98,1.86,-0.75,2.05,1.85,-0.75
1,1,1,1,3.4,3.25,2.1,3.4,3.25,2.0,3.5,3.25,2.05,3.2,3.1,2.0,3.2,3.2,2.0,3.4,3.25,2.0,3.1,3.1,2.1,1.79,1.9,1.95,1.85,2.6,1.45,0.0,1.84,2.0,0.5,1.85,2.05,0.5
1,0,1,0,2.5,3.2,2.75,2.4,3.2,2.7,2.5,3.2,2.7,2.3,2.9,2.8,2.2,3.25,2.75,2.6,3.0,2.6,2.4,3.1,2.6,1.95,1.75,2.05,1.75,2.2,1.6,-0.25,2.02,1.82,-0.25,2.1,1.8,-0.25
1,0,0,0,2.4,3.2,2.6,2.5,3.15,2.6,2.6,3.15,2.65,2.4,3.0,2.6,2.6,3.2,2.38,2.6,3.0,2.6,2.5,3.1,2.5,1.95,1.75,2.15,1.66,2.2,1.6,-0.25,1.82,2.02,0.0,1.8,2.1,0.0
1,0,0,0,1.2,5.0,12.0,1.15,6.25,14.0,1.2,5.75,14.0,1.2,5.0,10.0,1.2,5.0,11.0,1.17,6.0,13.0,1.2,5.0,11.0,1.6,2.15,1.66,2.15,2.15,1.65,-2.25,2.06,1.78,-2.0,2.125,1.775,0.0
3,1,1,0,2.4,3.2,2.6,2.75,3.2,2.35,2.7,3.15,2.55,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.2,2.38,2.5,3.1,2.5,1.79,1.9,2.0,1.8,2.2,1.6,-0.25,2.08,1.76,0.0,2.1,1.8,0.0
2,0,2,0,2.0,3.25,3.25,2.0,3.25,3.4,2.05,3.25,3.5,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.2,3.2,2.05,3.1,3.2,1.95,1.75,2.0,1.8,1.45,2.6,0.0,1.8,2.04,-0.25,1.775,2.125,-0.25
2,0,1,0,1.9,3.25,3.5,2.05,3.25,3.25,2.2,3.2,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,3.2,2.1,3.2,3.0,1.85,1.85,2.1,1.7,1.6,2.2,0.0,1.82,2.02,-0.25,1.9,2.0,-0.25
0,1,0,1,1.61,3.4,6.0,1.5,3.6,6.25,1.57,3.55,6.25,1.55,3.5,4.8,1.57,3.5,5.0,1.57,3.6,5.5,1.53,3.5,5.5,1.71,2.0,1.75,2.05,2.2,1.6,-1.25,1.88,1.96,-1.0,1.925,1.975,-1.0
0,0,0,0,2.4,3.2,2.6,2.4,3.2,2.7,2.55,3.15,2.7,2.4,2.9,2.7,2.38,3.2,2.6,2.5,3.2,2.6,2.4,3.1,2.6,2.0,1.71,2.0,1.8,2.2,1.6,-0.25,1.84,2.0,0.0,1.9,2.0,0.0
2,0,1,0,2.1,3.25,3.0,1.9,3.25,3.75,2.05,3.25,3.5,2.0,3.0,3.3,2.1,3.2,3.0,2.05,3.2,3.3,2.0,3.1,3.3,1.9,1.79,2.05,1.75,1.45,2.6,0.0,2.0,1.84,-0.5,2.05,1.85,-0.5
1,1,1,0,3.5,3.2,2.1,3.15,3.25,2.1,3.2,3.2,2.2,3.1,3.0,2.1,2.8,3.2,2.2,3.2,3.25,2.1,3.0,3.1,2.15,1.85,1.85,2.0,1.8,2.05,1.75,0.25,2.1,1.74,0.25,2.1,1.8,0.25
0,1,0,1,4.5,3.25,1.83,3.95,3.4,1.8,4.35,3.35,1.82,4.2,3.1,1.75,4.0,3.2,1.8,4.33,3.4,1.75,4.33,3.2,1.72,1.79,1.9,1.95,1.85,2.45,1.5,0.25,2.1,1.74,0.5,2.1,1.8,0.5
2,1,1,0,1.4,3.75,7.5,1.3,4.5,9.0,1.4,4.0,8.6,1.35,4.0,7.0,1.44,3.6,6.5,1.4,4.0,7.5,1.4,3.75,7.0,1.75,1.95,1.9,1.9,1.65,2.15,-1.0,1.9,1.94,-1.25,1.9,2.0,-1.25
1,0,1,0,1.8,3.25,4.0,1.85,3.2,4.0,1.85,3.3,4.25,1.8,3.1,3.8,1.83,3.2,3.75,1.85,3.25,4.0,1.8,3.1,4.0,1.85,1.85,2.05,1.75,1.55,2.3,-0.25,1.88,1.96,-0.5,1.925,1.975,-0.5
1,0,1,0,1.57,3.4,5.5,1.45,3.75,7.0,1.6,3.5,6.0,1.45,3.8,5.4,1.62,3.25,5.0,1.53,3.6,6.0,1.57,3.3,5.5,1.9,1.79,2.0,1.8,2.3,1.55,-1.25,2.08,1.76,-1.0,2.1,1.8,-1.0
1,1,1,1,2.37,3.2,2.62,2.45,3.1,2.7,2.55,3.1,2.75,2.5,3.0,2.5,2.38,3.0,2.75,2.38,3.2,2.75,2.3,3.1,2.75,1.9,1.79,2.1,1.7,2.2,1.6,-0.25,1.9,1.94,0.0,1.925,1.975,0.0
