FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
1,0,1,0,1.7269999999999999,3.2,4.333,1.7,3.3,4.5,1.75,3.2,4.0,1.7,3.4,4.2,1.8,3.2,3.75,1.75,1.85
3,1,2,0,2.375,3.25,2.5,2.4,3.25,2.55,2.2,3.1,2.8,2.3,3.2,2.625,2.4,3.2,2.45,1.7,1.9
0,2,0,2,2.62,3.2,2.3,2.7,3.25,2.3,2.6,3.1,2.3,2.62,3.2,2.3,2.45,3.2,2.4,1.65,1.95
2,1,1,0,1.571,3.5,5.0,1.6,3.4,5.2,1.55,3.6,4.6,1.5330000000000001,3.6,5.0,1.65,3.4,4.2,1.5,2.25
1,0,0,0,1.444,3.75,6.0,1.5,3.7,5.65,1.45,3.8,5.4,1.444,3.75,6.0,1.5,3.7,5.0,1.6,2.05
1,2,0,0,1.9,3.25,3.4,1.88,3.25,3.65,1.9,3.2,3.4,1.85,3.25,3.6,1.9,3.2,3.35,1.6,2.05
1,0,1,0,1.25,5.0,8.0,1.25,4.85,9.35,1.25,4.5,9.0,1.25,4.5,10.0,1.3,4.1,8.0,1.35,2.7
2,0,1,0,1.7269999999999999,3.4,4.0,1.75,3.55,3.8,1.8,3.2,3.7,1.75,3.3,4.0,1.85,3.25,3.45,1.65,1.95
2,2,0,1,1.909,3.25,3.4,1.85,3.25,3.7,1.8,3.2,3.7,1.85,3.25,3.6,1.9,3.2,3.35,1.5,2.22
4,1,3,0,1.167,5.5,11.0,1.16,5.7,13.0,1.2,5.0,10.0,1.167,5.5,12.0,1.2,5.0,9.5,1.35,2.7
1,0,0,0,4.0,3.4,1.7269999999999999,4.1,3.5,1.7,3.2,3.1,2.0,3.8,3.4,1.75,3.75,3.35,1.75,1.6,2.05
2,1,1,0,2.75,3.25,2.2,2.8,3.4,2.15,2.8,3.1,2.2,2.9,3.25,2.1,2.6,3.25,2.25,1.7,1.9
1,0,1,0,2.0,3.2,3.2,2.05,3.25,3.1,2.1,3.1,3.0,2.0,3.2,3.2,1.85,3.3,3.4,,
2,2,2,2,2.0,3.2,3.2,2.0,3.3,3.18,1.9,3.2,3.4,1.909,3.3,3.4,1.9,3.3,3.25,,
1,1,1,0,3.0,3.2,2.1,3.05,3.25,2.1,2.9,3.2,2.1,2.8,3.4,2.1,2.8,3.3,2.1,1.65,1.95
1,0,0,0,2.5,3.25,2.375,2.65,3.2,2.35,2.4,3.2,2.4,2.5,3.25,2.4,2.45,3.2,2.4,1.7,1.9
1,2,0,1,2.5,3.25,2.37,2.7,3.25,2.3,2.9,3.2,2.1,2.6,3.25,2.3,2.45,3.3,2.35,1.7,1.9
0,1,0,0,3.75,3.3,1.8,4.0,3.3,1.78,4.0,3.3,1.7,3.8,3.4,1.75,3.5,3.35,1.8,1.6,2.05
0,0,0,0,2.0,3.2,3.2,2.05,3.25,3.15,1.9,3.2,3.4,2.0,3.3,3.1,2.0,3.2,3.1,1.65,1.95
2,0,1,0,1.29,4.5,8.0,1.3,4.65,7.75,1.25,4.5,9.0,1.286,4.5,8.0,1.25,4.75,8.0,1.45,2.35
2,1,1,1,1.29,4.5,8.0,1.3,4.65,7.75,1.3,4.2,8.0,1.286,4.5,8.0,1.3,4.4,7.0,1.55,2.22
4,0,1,0,1.8330000000000002,3.4,3.5,1.82,3.35,3.7,1.8,3.2,3.7,1.8330000000000002,3.4,3.5,1.85,3.3,3.4,1.7,1.9
1,0,0,0,2.375,3.25,2.5,2.4,3.25,2.6,2.4,3.2,2.4,2.375,3.25,2.5,2.25,3.25,2.6,1.6,2.05
2,6,1,3,,,,6.0,3.85,1.45,6.0,3.9,1.4,,,,,,,1.55,2.15
1,0,1,0,1.5,3.6,5.5,1.5,3.75,5.5,1.45,3.8,5.4,1.444,3.75,6.0,1.5,3.4,5.7,1.65,1.95
2,1,1,0,1.25,5.0,8.0,1.28,4.55,9.0,1.2,5.0,10.0,1.286,4.5,8.0,1.25,4.4,9.0,1.45,2.35
1,2,0,2,1.8330000000000002,3.3,3.6,1.85,3.35,3.6,1.75,3.3,3.8,1.75,3.25,4.0,1.85,3.3,3.4,1.7,1.9
0,5,0,3,6.5,4.0,1.4,6.9,4.25,1.36,6.0,3.9,1.4,7.0,4.0,1.364,6.5,4.1,1.35,1.6,2.05
1,0,0,0,2.0,3.2,3.2,2.0,3.25,3.25,1.8,3.2,3.7,2.0,3.3,3.1,1.95,3.3,3.1,1.65,1.95
1,4,0,2,2.375,3.25,2.5,2.2,3.3,2.8,2.2,3.1,2.8,2.25,3.3,2.625,2.25,3.25,2.6,1.7,1.9
3,0,1,0,2.1,3.2,3.0,2.2,3.2,2.9,2.2,3.1,2.8,2.1,3.4,2.8,2.2,3.3,2.65,1.7,1.9
1,0,0,0,3.0,3.2,2.1,3.0,3.25,2.1,3.0,3.1,2.1,3.0,3.2,2.1,2.7,3.2,2.2,1.7,1.9
2,4,1,2,2.8,3.4,2.1,2.9,3.4,2.1,2.4,3.2,2.4,3.0,3.4,2.0,2.6,3.25,2.25,1.65,1.95
3,0,0,0,1.72,3.4,4.0,1.71,3.3,4.4,1.85,3.1,3.6,1.75,3.4,3.8,1.75,3.25,3.9,1.6,2.05
0,0,0,0,1.72,3.4,4.0,1.75,3.5,3.85,1.8,3.1,3.8,1.75,3.4,3.8,1.85,3.25,3.45,1.7,1.9
0,5,0,3,5.5,3.6,1.5,6.0,3.85,1.45,5.0,3.7,1.5,5.5,3.6,1.5,4.75,3.55,1.55,1.5,2.25
1,1,1,0,2.37,3.25,2.5,2.25,3.4,2.65,2.2,3.1,2.8,2.25,3.4,2.6,2.25,3.3,2.55,1.6,2.05
2,1,1,1,1.1,7.0,13.0,1.11,7.0,14.0,1.15,6.0,12.0,1.11,6.5,13.0,1.1,7.0,12.0,1.33,2.75
2,0,2,0,2.25,3.25,2.7,2.2,3.4,2.75,2.3,3.0,2.7,2.25,3.25,2.7,2.2,3.25,2.65,1.55,2.15
1,1,0,0,,,,2.35,3.4,2.55,2.1,3.1,3.0,2.4,3.25,2.5,2.4,3.3,2.4,1.65,1.95
1,2,1,1,3.5,3.4,1.83,3.85,3.5,1.75,4.0,3.2,1.75,3.5,3.4,1.83,3.4,3.3,1.85,1.55,2.15
0,1,0,0,1.9,3.25,3.4,1.95,3.25,3.4,1.9,3.2,3.4,1.91,3.3,3.4,1.9,3.3,3.25,1.65,1.95
3,1,2,0,1.444,3.75,6.0,1.45,3.75,6.25,1.45,3.8,5.4,1.444,3.75,6.0,1.45,3.65,5.75,1.6,2.05
5,0,1,0,1.3330000000000002,4.333,7.0,1.3,4.5,8.0,1.3,4.2,8.0,1.3330000000000002,4.2,7.5,1.3,4.4,7.0,1.35,2.75
2,1,1,1,1.8,3.3,3.75,1.75,3.25,4.25,1.9,3.2,3.4,1.8330000000000002,3.3,3.6,1.9,3.3,3.25,1.7,1.9
3,1,2,0,2.0,3.2,3.2,2.1,3.3,3.0,2.0,3.3,3.0,2.0,3.2,3.2,1.9,3.3,3.25,1.6,2.05
2,1,1,1,2.5,3.25,2.375,2.45,3.25,2.5,2.3,3.1,2.6,2.4,3.25,2.5,2.4,3.2,2.45,1.7,1.9
0,0,0,0,1.8330000000000002,3.4,3.5,1.85,3.25,3.75,1.9,3.2,3.4,1.85,3.25,3.6,1.85,3.3,3.4,1.65,1.95
2,0,1,0,1.909,3.2,3.5,1.95,3.25,3.4,1.85,3.2,3.5,1.909,3.25,3.5,1.9,3.2,3.5,1.65,1.95
0,0,0,0,1.5,3.6,5.5,1.45,3.7,6.5,1.45,3.8,5.4,1.5,3.6,5.5,1.55,3.5,4.8,1.6,2.05
4,1,3,0,1.143,6.0,12.0,1.15,6.4,11.5,1.2,5.0,10.0,1.143,6.0,12.0,1.15,5.7,11.0,1.3,2.95
3,4,0,2,7.0,4.0,1.364,8.0,4.35,1.31,6.0,3.9,1.4,7.5,4.2,1.3330000000000002,6.5,3.7,1.4,1.45,2.28
3,2,0,2,2.2,3.25,2.75,2.1,3.25,3.0,1.9,3.2,3.4,2.1,3.3,2.875,2.1,3.2,2.85,1.6,2.05
0,0,0,0,2.2,3.25,2.75,2.2,3.15,2.9,2.2,3.0,2.9,2.25,3.1,2.8,2.0,3.2,3.1,1.7,1.9
0,0,0,0,1.909,3.25,3.4,1.85,3.25,3.7,1.9,3.2,3.4,1.8,3.4,3.75,1.85,3.2,3.5,1.6,2.05
1,0,0,0,1.5,3.6,5.5,1.42,3.9,6.45,1.45,3.8,5.4,1.444,3.75,6.0,1.45,3.6,5.8,1.55,2.15
2,0,2,0,1.8330000000000002,3.4,3.5,1.8,3.35,3.8,1.8,3.2,3.7,1.7269999999999999,3.4,4.0,1.85,3.25,3.45,1.6,2.05
1,1,0,0,5.0,3.5,1.571,5.55,3.45,1.55,4.4,3.3,1.65,5.0,3.6,1.5330000000000001,4.5,3.7,1.55,1.45,2.38
3,1,0,0,2.75,3.2,2.25,2.82,3.25,2.2,2.8,3.1,2.2,2.7,3.3,2.2,2.6,3.25,2.25,1.7,1.9
2,3,2,2,4.0,3.4,1.7269999999999999,4.1,3.5,1.7,4.4,3.3,1.65,4.0,3.4,1.7269999999999999,4.0,3.4,1.72,1.6,2.05
1,1,0,1,1.909,3.25,3.4,1.95,3.3,3.3,1.9,3.2,3.4,1.909,3.3,3.3,1.9,3.25,3.3,1.7,1.9
1,1,1,0,1.5,3.6,5.5,1.5,3.75,5.5,1.45,3.8,5.4,1.5,3.6,5.5,1.55,3.5,4.8,1.55,2.15
2,1,1,1,1.2,5.0,11.0,1.18,5.6,11.0,1.15,6.0,12.0,1.2,5.0,11.0,1.15,5.5,11.0,1.35,2.7
2,3,1,1,1.8330000000000002,3.2,3.75,1.75,3.4,4.0,1.7,3.3,4.0,1.8330000000000002,3.4,3.5,1.9,3.25,3.3,1.45,2.35
3,0,2,0,1.5,3.6,5.5,1.5,3.6,5.8,1.55,3.5,4.8,1.5,3.6,5.5,1.55,3.4,5.0,1.75,1.85
1,0,0,0,1.7269999999999999,3.4,4.0,1.7,3.5,4.15,1.6,3.4,4.6,1.7,3.5,4.0,1.7,3.4,3.9,1.7,1.9
0,3,0,1,3.4,3.25,1.909,3.8,3.4,1.78,3.8,3.3,1.75,3.6,3.4,1.8,3.6,3.3,1.83,1.7,1.9
1,2,1,1,1.5330000000000001,3.4,5.5,1.5,3.6,5.8,1.45,3.8,5.4,1.5,3.6,5.5,1.5,3.6,5.2,1.65,1.95
4,3,2,1,2.1,3.4,2.8,2.1,3.2,3.05,2.1,3.1,3.0,2.1,3.3,2.9,2.1,3.3,2.8,1.7,1.9
4,2,3,1,1.3,4.5,7.5,1.33,4.2,7.7,1.3,4.2,8.0,1.3,4.333,8.0,1.33,4.2,7.5,1.5,2.25
1,0,0,0,2.8,3.4,2.1,3.2,3.3,2.0,3.4,3.3,1.85,3.1,3.3,2.0,2.8,3.3,2.1,1.65,1.95
2,0,1,0,1.167,6.0,10.0,1.18,5.5,11.0,1.2,5.0,10.0,1.167,5.5,11.0,1.2,5.0,11.0,1.35,2.75
0,0,0,0,2.2,3.4,2.625,2.1,3.2,3.05,2.1,3.1,3.0,2.1,3.3,2.9,2.1,3.3,2.8,1.7,1.9
3,0,2,0,1.444,3.75,6.0,1.4,4.0,6.6,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,6.25,1.65,1.95
1,1,1,0,2.375,3.25,2.5,2.35,3.25,2.6,2.4,3.2,2.4,2.3,3.3,2.6,2.35,3.3,2.45,1.65,1.95
1,3,0,2,4.5,4.0,1.5330000000000001,6.3,3.9,1.42,7.0,4.0,1.35,6.0,3.75,1.444,5.5,4.0,1.44,1.45,2.35
3,1,1,0,1.8,3.4,3.6,1.85,3.3,3.6,2.0,3.2,3.1,1.85,3.4,3.5,1.85,3.2,3.5,,
1,6,1,3,7.0,4.333,1.3330000000000002,8.75,5.0,1.25,8.0,4.2,1.3,8.0,5.0,1.25,8.0,5.0,1.25,1.35,2.7
2,2,1,2,1.8,3.5,3.5,1.87,3.5,3.3,1.9,3.4,3.2,1.7269999999999999,3.4,4.0,1.7,3.4,3.9,,
1,0,1,0,1.615,3.6,4.333,1.55,3.65,5.2,1.7,3.3,4.0,1.615,3.6,4.5,1.6,3.45,4.5,1.7,1.9
1,3,0,1,4.5,3.75,1.571,5.5,3.65,1.52,5.0,3.7,1.5,5.0,3.5,1.571,5.0,3.6,1.53,1.4,2.5
1,0,0,0,1.167,6.0,10.0,1.15,6.0,13.0,1.15,6.0,12.0,1.143,6.0,13.0,1.16,6.0,10.0,1.3,3.0
0,0,0,0,2.3,3.2,2.625,2.25,3.25,2.75,2.2,3.0,2.9,,,,2.1,3.25,2.8,,
1,2,1,1,1.909,3.4,3.25,1.91,3.25,3.5,1.9,3.2,3.4,1.909,3.25,3.5,1.8,3.25,3.65,1.65,1.95
3,4,1,3,,,,1.65,3.65,4.35,1.9,3.2,3.4,,,,1.66,3.5,4.2,1.6,2.05
6,1,3,0,1.286,4.5,8.0,1.23,5.5,8.8,1.2,5.0,10.0,1.25,5.0,8.0,1.22,5.0,9.5,1.3,3.0
2,2,0,2,1.167,5.5,11.0,1.17,6.0,11.5,1.15,6.0,12.0,1.167,5.5,11.0,1.12,6.5,12.0,1.3,3.0
3,1,1,0,1.909,3.5,3.2,2.0,3.35,3.2,2.1,3.1,3.0,1.909,3.4,3.25,2.0,3.3,3.1,1.65,1.95
1,5,0,3,1.8,3.5,3.5,1.85,3.45,3.6,1.7,3.4,3.8,1.75,3.5,3.75,1.8,3.4,3.6,1.55,2.15
3,1,2,0,2.5,3.4,2.3,2.6,3.35,2.35,2.6,3.1,2.3,2.5,3.4,2.3,2.5,3.4,2.3,1.55,2.15
0,0,0,0,2.3,3.4,2.5,2.35,3.35,2.6,2.3,3.1,2.6,2.25,3.4,2.6,2.25,3.3,2.62,1.7,1.9
1,0,0,0,2.1,3.4,2.8,2.05,3.3,3.15,2.3,3.1,2.6,2.0,3.4,3.0,2.0,3.3,3.1,1.6,2.05
1,2,1,1,3.2,3.5,1.909,3.75,3.5,1.8,4.0,3.2,1.75,3.4,3.4,1.85,3.8,3.5,1.72,1.5,2.25
2,0,1,0,1.615,3.5,4.5,1.65,3.4,4.55,1.65,3.4,4.2,1.6669999999999998,3.4,4.333,1.7,3.2,4.25,1.7,1.9
2,1,1,0,1.8,3.3,3.75,1.62,3.6,4.5,1.65,3.4,4.2,1.7269999999999999,3.4,4.0,1.8,3.3,3.75,1.6,2.05
1,0,1,0,1.5,3.6,5.5,1.47,3.8,5.75,1.45,3.8,5.4,1.5,3.6,5.5,1.53,3.4,5.5,1.7,1.9
3,2,0,1,2.0,3.2,3.2,1.95,3.25,3.4,2.1,3.1,3.0,1.95,3.3,3.25,1.9,3.3,3.3,1.65,1.95
2,0,1,0,2.4,3.25,2.5,2.25,3.2,2.8,2.1,3.1,3.0,2.2,3.25,2.75,2.2,3.25,2.75,1.65,1.95
7,0,3,0,1.071,7.5,17.0,1.07,8.5,18.0,1.1,7.0,15.0,1.083,7.5,15.0,1.1,7.0,13.0,1.2,3.6
0,0,0,0,1.8330000000000002,3.4,3.5,1.75,3.4,4.0,,,,1.7269999999999999,3.4,4.0,1.8,3.4,3.6,1.7,1.9
2,1,1,1,1.286,4.5,8.0,1.2,5.5,10.0,1.25,4.5,9.0,1.25,4.75,8.5,1.25,5.0,8.0,1.3,3.0
0,1,0,1,2.375,3.5,2.375,2.5,3.25,2.45,2.4,3.2,2.4,2.4,3.4,2.4,2.37,3.5,2.37,1.7,1.9
1,2,1,0,4.5,3.5,1.615,5.0,4.0,1.5,5.0,3.7,1.5,4.5,3.75,1.571,5.0,3.5,1.57,1.5,2.25
5,1,1,0,1.571,3.5,5.0,1.65,3.4,4.75,1.6,3.4,4.6,1.615,3.5,4.5,1.55,3.6,4.6,,
4,4,3,1,2.0,3.4,3.0,1.85,3.4,3.5,2.1,3.1,3.0,1.91,3.4,3.25,1.8,3.4,3.6,1.6,2.05
0,2,0,1,2.38,3.25,2.5,2.3,3.35,2.6,2.7,3.2,2.2,2.4,3.25,2.5,2.3,3.4,2.5,1.65,1.95
0,1,0,0,1.57,3.5,5.0,1.55,3.6,5.0,1.45,3.8,5.4,1.57,3.75,4.5,1.66,3.5,4.2,1.55,2.15
2,1,0,1,1.67,3.5,4.2,1.6,3.6,4.65,,,,1.62,3.75,4.33,1.61,3.5,4.5,1.5,2.25
0,1,0,1,2.38,3.5,2.38,2.4,3.5,2.4,2.2,3.2,2.7,2.38,3.5,2.38,2.37,3.5,2.37,1.55,2.15
7,1,2,1,1.04,9.0,19.0,1.05,8.0,19.0,1.07,7.0,18.0,1.07,7.5,17.0,1.07,7.5,17.0,1.6,2.05
3,1,2,0,2.25,3.2,2.75,2.25,3.2,2.75,2.3,3.1,2.6,2.3,3.25,2.63,2.25,3.25,2.7,1.65,1.95
1,0,0,0,2.0,3.5,2.9,1.86,3.5,3.25,,,,1.85,3.4,3.4,1.83,3.5,3.4,1.6,2.05
2,3,0,0,1.91,3.4,3.25,1.85,3.4,3.5,1.85,3.2,3.5,1.85,3.4,3.4,1.83,3.4,3.5,1.6,2.05
4,4,2,2,,,,2.9,3.4,2.1,2.9,3.3,2.1,,,,2.62,3.3,2.25,1.65,1.95
1,0,1,0,2.375,3.5,2.375,2.58,3.4,2.3,2.4,3.2,2.4,2.4,3.4,2.4,2.5,3.3,2.37,1.7,1.9
6,0,4,0,1.5,3.6,5.5,1.4,4.0,6.8,,,,1.4,3.75,7.0,1.5,3.6,5.5,1.6,2.05
4,0,2,0,1.5,3.6,5.5,1.5,3.8,5.5,,,,1.444,3.75,6.0,1.53,3.6,5.0,1.7,1.9
0,0,0,0,1.5,3.6,5.5,1.48,3.8,5.6,1.45,3.8,5.4,1.5,3.6,5.5,1.5,3.8,5.0,1.7,1.9
2,0,2,0,1.2,5.0,11.0,1.2,5.6,9.6,1.2,5.0,10.0,1.2,5.5,9.0,1.2,5.0,11.0,1.85,1.75
1,0,1,0,1.7269999999999999,3.4,4.0,1.74,3.35,4.1,1.85,3.1,3.6,1.75,3.5,3.75,1.8,3.3,3.75,1.55,2.15
1,2,0,0,6.0,4.0,1.4,5.85,4.15,1.42,8.0,4.2,1.3,5.5,4.0,1.444,5.0,3.8,1.5,1.4,2.5
1,1,1,0,6.0,3.75,1.444,5.9,4.0,1.43,6.0,3.9,1.4,5.5,4.0,1.444,5.0,3.8,1.5,1.5,2.25
3,0,1,0,1.2,5.5,9.0,1.25,4.8,9.0,1.25,5.0,7.0,1.35,4.1,6.5,,,,,
4,1,2,0,2.0,3.4,3.0,2.05,3.7,2.75,2.3,3.2,2.5,2.3,3.3,2.5,,,,,
3,1,2,0,1.83,2.87,4.33,1.7,3.25,4.5,,,,1.8,2.8,4.33,1.85,2.8,4.2,,
0,0,0,0,7.0,3.0,1.53,7.5,2.85,1.57,,,,10.0,2.62,1.5,7.5,3.0,1.5,,
1,2,0,1,3.6,3.4,1.8,3.8,3.35,1.8,,,,3.6,3.5,1.73,3.75,2.9,1.9,,
3,2,0,1,1.9,3.25,3.4,1.91,3.3,3.4,,,,1.91,3.2,3.25,2.0,3.3,3.0,,
2,0,0,0,1.53,3.6,5.0,1.5,4.0,5.0,,,,1.4,4.33,5.0,1.5,3.75,5.0,,
0,1,0,0,2.0,3.5,3.0,2.0,3.3,3.15,,,,2.1,3.4,2.7,2.0,3.2,3.1,,
2,1,2,0,1.66,3.75,3.8,1.7,3.75,3.8,,,,1.67,4.0,3.4,1.75,3.4,3.65,,
