FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
1,1,0,1,1.8,3.25,3.8,1.75,3.4,4.2,1.8,3.1,3.8,1.75,3.3,4.0,1.75,3.25,3.9,1.7,1.9
1,3,0,1,5.0,3.5,1.571,5.3,3.7,1.55,5.4,3.8,1.45,5.0,3.6,1.5330000000000001,4.6,3.4,1.6,1.6,2.05
0,0,0,0,2.5,3.2,2.4,2.6,3.25,2.43,2.4,3.1,2.4,2.5,3.2,2.4,2.45,3.15,2.45,1.65,2.05
1,0,1,0,1.8,3.25,3.8,1.8,3.35,4.0,1.8,3.1,3.8,1.75,3.4,3.8,1.8,3.25,3.7,,
1,1,0,0,1.8,3.25,3.8,1.86,3.35,4.0,1.7,3.3,4.0,1.75,3.3,4.0,1.65,3.35,4.4,1.65,1.95
4,1,3,0,1.571,3.5,5.0,1.65,3.48,5.38,1.65,3.3,4.4,1.6,3.5,4.75,1.6,3.45,4.5,1.42,2.5
4,0,3,0,1.143,6.0,12.0,1.15,6.0,12.25,1.15,6.0,12.0,1.15,5.5,13.0,,,,,
4,2,1,1,5.0,3.6,1.5330000000000001,5.25,3.55,1.55,5.0,3.7,1.5,5.0,3.5,1.571,4.6,3.4,1.6,1.4,2.5
3,3,0,0,2.75,3.2,2.25,2.55,3.25,2.4,2.6,3.1,2.3,2.5,3.25,2.4,2.5,3.15,2.4,1.55,2.1
5,2,3,0,1.444,3.6,6.5,1.54,3.6,5.75,1.5,3.7,5.0,1.53,3.4,5.5,1.55,3.35,5.25,1.75,1.85
2,2,0,2,1.286,4.5,8.0,1.29,4.6,10.0,1.3,4.2,8.0,1.25,4.6,9.0,1.25,4.5,9.0,1.55,2.25
4,2,2,0,2.0,3.3,3.1,2.03,3.3,3.2,2.0,3.2,3.1,1.909,3.2,3.5,1.9,3.25,3.3,1.6,2.05
1,0,1,0,2.0,3.2,3.2,2.0,3.35,3.15,2.0,3.2,3.1,1.8330000000000002,3.25,3.75,1.9,3.25,3.3,1.45,2.35
0,3,0,1,1.444,3.6,6.5,1.5,3.55,5.9,1.5,3.7,5.0,1.5,3.5,5.5,1.5,3.5,5.5,,
2,0,1,0,1.615,3.5,4.5,1.62,3.5,6.0,1.55,3.5,4.8,1.571,3.5,5.0,1.5,3.5,5.5,1.65,2.05
0,2,0,2,1.5,3.6,5.5,1.51,3.75,5.95,1.55,3.5,4.8,1.5,3.6,5.5,1.55,3.5,5.0,1.65,1.95
0,1,0,0,2.2,3.25,2.75,2.22,3.2,3.0,2.1,3.0,3.1,2.2,3.1,2.875,2.2,3.0,3.0,,
2,2,1,0,4.0,3.4,1.7269999999999999,3.75,3.4,1.9,3.5,3.1,1.9,4.0,3.4,1.7269999999999999,4.0,3.4,1.7,,
2,3,0,1,1.444,3.75,6.0,1.47,3.85,6.5,1.5,3.7,5.0,1.444,3.6,6.5,1.45,3.6,6.0,1.6,2.0
1,3,1,1,2.1,3.2,3.0,2.12,3.3,3.2,2.2,3.0,2.9,2.0,3.3,3.1,2.0,3.2,3.1,,
1,2,0,2,2.1,3.2,3.0,2.15,3.25,3.15,2.2,3.0,2.9,2.05,3.25,3.0,1.9,3.3,3.3,,
1,1,1,0,2.2,3.25,2.75,2.22,3.2,2.97,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.25,2.85,1.65,1.95
2,2,1,1,1.444,3.75,6.0,1.52,3.75,5.9,1.45,3.8,5.4,1.444,3.6,6.5,1.5,3.6,5.2,,
1,3,0,0,2.5,3.4,2.3,2.46,3.25,2.55,2.4,3.2,2.4,2.5,3.2,2.4,2.45,3.1,2.45,,
6,2,3,1,1.25,4.5,10.0,1.22,5.1,10.0,1.2,5.0,10.0,1.25,4.5,10.0,1.2,5.0,10.0,,
0,0,0,0,1.3330000000000002,4.0,8.0,1.32,4.5,8.0,1.3,4.2,8.0,1.3330000000000002,4.2,7.5,1.3,4.3,7.5,,
1,1,0,0,1.909,3.3,3.3,2.0,3.3,3.25,2.1,3.1,3.0,1.909,3.25,3.4,2.0,3.2,3.1,1.7,1.95
1,1,1,0,2.75,3.25,2.2,2.8,3.26,2.3,2.4,3.2,2.4,2.7,3.2,2.25,2.8,3.25,2.15,1.6,2.1
3,1,2,0,1.571,3.5,5.0,1.54,3.75,5.35,1.55,3.5,4.8,1.5330000000000001,3.4,5.5,1.5,3.7,5.0,1.55,2.15
1,1,1,1,2.1,3.4,2.8,2.25,3.25,2.8,2.2,3.1,2.8,2.2,3.25,2.75,2.05,3.2,3.0,1.6,2.1
2,3,0,1,2.5,3.4,2.3,2.58,3.25,2.42,2.4,3.2,2.4,2.5,3.4,2.3,2.4,3.25,2.45,1.65,2.0
0,3,0,2,2.5,3.4,2.3,2.75,3.2,2.3,2.4,3.2,2.4,2.6,3.25,2.3,2.5,3.2,2.35,1.7,1.94
0,2,0,1,2.0,3.2,3.0,1.95,3.25,3.66,1.9,3.1,3.5,2.0,3.2,3.2,1.95,3.2,3.2,1.65,1.95
0,0,0,0,2.0,3.2,3.2,1.85,3.4,3.55,2.0,3.1,3.2,1.909,3.25,3.5,2.0,3.2,3.1,1.6,2.05
1,2,0,2,1.8,3.3,3.75,1.83,3.35,3.75,1.9,3.1,3.5,1.75,3.4,4.0,1.8,3.3,3.6,1.55,2.1
5,1,2,1,1.5330000000000001,3.4,5.5,1.49,3.85,6.25,1.4,3.9,6.0,1.5,3.5,6.0,1.5,3.5,5.5,1.55,2.1
