FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
2,2,1,0,2.6,3.2,2.3,2.3,3.1,2.3,2.63,3.25,2.3,2.62,3.25,2.3
3,1,2,0,1.85,3.4,3.3,1.7,3.2,3.6,1.8,3.5,3.5,1.75,3.45,3.6
1,1,1,0,1.6,3.55,4.6,1.45,3.5,5.0,1.5,3.6,5.5,1.45,3.9,5.2
0,0,0,0,1.25,5.3,7.6,1.25,4.3,8.0,1.25,4.75,8.5,1.3,4.2,7.5
2,0,1,0,1.55,3.6,4.9,1.45,3.5,5.0,1.5,3.6,5.0,1.35,4.1,6.5
1,1,1,0,1.35,4.1,6.2,1.3,4.0,7.0,1.36,4.0,7.0,1.35,4.2,6.3
6,2,2,0,1.75,3.3,4.0,1.55,3.3,4.5,1.73,3.4,4.0,1.75,3.4,3.65
2,4,2,3,2.3,3.35,2.6,2.3,3.0,2.4,2.4,3.2,2.5,2.45,3.25,2.35
1,4,1,1,5.5,3.4,1.55,4.5,3.3,1.55,5.0,3.5,1.57,4.5,3.5,1.61
3,2,1,1,2.2,3.25,2.7,2.0,3.0,2.9,2.3,3.2,2.63,2.2,3.25,2.65
4,2,2,0,1.4,3.9,6.1,1.55,3.3,4.5,1.5,3.7,5.25,1.45,3.75,5.5
1,1,0,0,2.4,3.1,2.6,2.7,3.1,2.1,2.4,3.4,2.4,2.4,3.3,2.4
2,0,1,0,1.45,3.65,5.3,1.45,3.5,5.0,1.4,3.8,6.75,1.5,3.6,5.5
3,1,1,1,1.4,4.1,6.3,1.35,3.8,6.2,1.44,3.75,6.0,1.4,3.6,6.5
0,2,0,1,2.75,3.15,2.2,2.7,3.1,2.1,2.6,3.25,2.3,2.45,3.3,2.35
4,0,1,0,1.85,3.25,3.6,1.8,3.0,3.5,1.75,3.4,3.8,1.75,3.4,3.65
5,3,3,2,1.6,3.6,4.5,1.4,3.6,5.5,1.53,3.6,5.0,1.35,4.0,6.7
5,0,2,0,2.3,3.15,2.6,2.35,3.0,2.35,2.3,3.2,2.63,2.25,3.25,2.6
1,2,0,2,2.75,3.0,2.3,2.35,3.0,2.35,2.4,3.25,2.4,2.35,3.25,2.45
1,0,0,0,1.65,3.2,4.65,1.4,3.6,5.5,1.5,3.6,5.25,1.45,3.7,5.5
3,0,1,0,2.3,3.3,2.55,2.4,2.9,2.4,2.25,3.3,2.6,2.3,3.25,2.55
1,1,0,1,1.9,3.3,3.2,1.8,3.0,3.5,1.8,3.3,3.75,1.8,3.25,3.75
0,1,0,1,1.65,3.3,4.5,1.5,3.4,4.7,1.62,3.4,4.5,1.6,3.45,4.5
2,0,1,0,2.2,2.8,3.2,2.1,3.0,2.8,2.0,3.3,3.2,1.85,3.3,3.4
1,1,0,1,4.8,3.2,1.65,3.6,3.2,1.7,4.5,3.4,1.62,4.2,3.4,1.65
1,1,1,0,1.45,3.6,6.0,1.35,3.8,6.2,1.4,3.75,6.5,1.45,4.0,5.0
2,1,0,0,1.8,3.2,3.8,1.85,3.0,3.3,1.67,3.4,4.2,1.65,3.4,4.2
2,0,1,0,1.8,3.2,4.0,1.7,3.2,3.6,1.7,3.4,4.0,1.7,3.35,4.0
4,1,2,0,2.0,2.8,3.6,2.0,3.0,2.9,1.85,3.25,3.5,1.95,3.4,3.0
1,0,1,0,1.4,3.8,6.3,1.35,3.8,6.2,1.36,3.75,7.5,1.4,4.0,5.7
5,1,2,0,1.15,6.0,10.0,1.1,7.0,14.0,1.13,6.0,12.0,1.1,6.5,13.0
2,2,2,1,1.95,3.2,3.5,1.9,3.0,3.1,1.85,3.2,3.5,1.95,3.4,3.0
0,2,0,1,3.1,3.2,2.05,2.9,3.0,2.0,3.1,3.1,2.05,3.5,3.2,1.9
1,2,0,2,3.3,3.1,2.05,3.3,3.0,1.85,3.4,3.2,1.9,3.4,3.3,1.85
4,2,3,1,1.35,4.2,7.3,1.4,3.6,5.5,1.4,3.6,7.0,1.4,3.75,7.0
1,2,1,1,2.15,3.2,2.95,2.3,3.0,2.4,2.1,3.2,2.88,2.2,3.25,2.65
3,1,2,1,2.2,3.1,2.9,2.0,3.0,2.9,2.2,3.2,2.7,2.3,3.25,2.5
1,1,0,0,1.66,3.4,4.45,1.6,3.3,4.0,1.67,3.4,4.2,1.65,3.4,4.2
0,1,0,1,2.7,3.25,2.3,2.35,3.0,2.35,2.63,3.2,2.3,2.62,3.3,2.25
2,1,0,0,3.1,3.3,2.0,3.5,3.0,1.8,3.1,3.3,2.0,3.15,3.4,1.9
0,0,0,0,3.15,3.3,2.0,2.9,3.0,2.0,2.9,3.4,2.05,3.0,3.3,2.0
4,1,1,1,1.2,5.2,9.5,1.2,4.7,9.0,1.2,5.0,11.0,1.2,5.2,9.0
2,1,0,1,1.7,3.3,4.2,1.6,3.3,4.0,1.67,3.6,4.0,1.6,3.5,4.4
1,0,0,0,2.15,3.2,2.9,2.0,2.9,3.0,2.0,3.2,3.2,1.9,3.25,3.4
3,1,2,0,2.05,3.5,2.85,2.0,2.9,3.0,2.0,3.25,3.1,2.05,3.3,2.9
0,2,0,1,2.65,3.0,2.4,2.4,2.9,2.4,2.5,3.2,2.4,2.5,3.0,2.45
4,0,1,0,1.9,3.0,3.8,1.75,3.1,3.6,1.8,3.4,3.6,1.65,3.55,4.0
2,2,0,2,1.25,4.8,8.5,1.2,4.7,9.0,1.22,4.75,10.0,1.25,4.7,8.0
2,1,0,0,1.6,3.5,4.8,1.5,3.4,4.7,1.57,3.5,4.8,1.6,3.4,4.5
1,1,0,1,3.05,3.3,2.05,2.9,3.0,2.0,3.1,3.2,2.0,3.05,3.2,2.0
1,4,0,3,2.95,3.3,2.1,2.8,3.0,2.1,3.0,3.2,2.05,3.0,3.2,2.1
2,1,0,0,1.2,5.5,10.0,1.15,5.5,11.0,1.25,4.75,8.5,1.3,4.5,6.5
2,2,1,1,2.1,3.25,3.0,1.9,3.0,3.1,2.05,3.4,2.88,2.15,3.2,2.75
0,3,0,1,3.0,3.25,2.1,3.3,3.0,1.85,3.1,3.25,2.0,3.25,3.3,1.9
1,3,0,2,2.85,3.25,2.15,3.0,2.9,2.0,3.0,3.1,2.1,3.15,3.1,2.0
1,0,1,0,1.5,3.7,5.4,1.6,3.3,4.0,1.53,3.5,5.25,1.55,3.4,5.0
1,1,0,0,1.5,3.6,5.8,1.45,3.5,5.0,1.5,3.75,5.0,1.45,4.0,5.0
5,1,2,0,1.7,3.3,4.4,1.7,3.1,3.8,1.73,3.4,3.75,1.75,3.4,3.65
0,4,0,3,3.2,3.0,2.1,3.1,3.0,1.9,2.7,3.5,2.1,2.6,3.35,2.2
1,0,1,0,1.25,4.5,8.0,1.35,3.8,6.2,1.25,4.6,8.5,1.3,4.3,7.3
0,0,0,0,1.9,3.2,3.6,2.0,2.9,3.0,1.85,3.4,3.3,1.85,3.35,3.35
2,1,1,0,1.23,5.2,8.0,1.2,4.7,9.0,1.22,5.0,8.5,1.25,4.5,8.5
3,0,0,0,1.53,3.4,5.2,1.45,3.5,5.0,1.5,3.75,5.0,1.55,3.6,4.6
2,1,1,0,3.7,3.2,1.8,3.5,3.0,1.8,3.75,3.4,1.75,3.85,3.25,1.75
2,3,0,1,2.2,3.45,2.65,2.2,3.0,2.6,2.25,3.4,2.6,2.2,3.3,2.65
2,1,1,0,1.2,5.3,10.0,1.35,3.8,6.2,1.22,5.5,8.0,1.25,4.5,8.5
1,1,1,0,1.9,3.3,3.4,1.9,3.0,3.1,1.85,3.4,3.4,1.85,3.3,3.4
0,1,0,1,2.4,3.3,2.5,2.8,3.0,2.1,2.4,3.4,2.4,2.4,3.25,2.4
3,0,1,0,1.33,4.4,7.0,1.3,4.0,7.0,1.33,4.0,8.0,1.4,3.7,6.5
1,2,0,0,3.0,3.2,2.0,2.8,3.0,2.1,3.0,3.2,2.05,3.1,3.1,2.05
0,1,0,0,2.6,3.4,2.3,2.8,3.0,2.1,2.5,3.2,2.38,2.6,3.3,2.2
