FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,3,1,1,2.0,3.25,3.4,2.0,3.2,3.5,1.85,3.1,3.6,2.0,3.4,3.0,1.91,3.5,3.75,1.9,3.25,3.5,2.0,3.2,3.2,1.79,1.9,1.9,1.9,1.95,1.85,-0.5,2.0,1.85,-0.5,2.1,1.8,-0.5
2,2,1,1,2.375,3.2,2.75,2.4,3.25,2.7,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.2,2.7,2.4,3.1,2.6,1.85,1.9,1.95,1.85,1.75,2.05,0.0,1.75,2.1,0.0,,,
0,0,0,0,2.0,3.25,3.4,2.05,3.25,3.35,1.9,3.1,3.5,2.0,3.4,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1.85,1.85,2.0,1.8,1.8,2.0,-0.25,1.85,2.0,-0.25,,,
0,0,0,0,2.5,3.2,2.6,2.4,3.25,2.7,2.3,3.0,2.7,2.375,3.2,2.6,2.25,3.25,2.75,2.37,3.2,2.62,2.37,3.1,2.62,1.9,1.79,2.05,1.75,1.8,2.0,0.0,1.8,2.05,0.0,,,
4,0,0,0,2.1,3.25,3.2,2.1,3.25,3.25,2.2,3.0,2.9,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1.9,1.79,1.95,1.85,1.8,2.0,-0.25,1.8,2.05,-0.25,,,
2,0,0,0,1.286,5.0,8.5,1.26,5.0,10.0,1.3,4.2,8.0,1.25,4.5,10.0,1.25,5.0,8.5,1.25,5.0,8.5,1.28,4.5,8.0,1.6,2.15,1.8,2.0,1.8,2.0,-1.5,2.05,1.8,-1.75,1.875,2.025,-1.5
0,0,0,0,1.5,3.5,7.0,1.53,3.5,6.5,1.55,3.5,4.8,1.5330000000000001,3.5,5.5,1.57,3.4,5.5,1.53,3.4,6.0,1.5,3.4,6.0,1.79,1.9,1.95,1.85,2.0,1.8,-1.0,2.05,1.8,-1.0,2.1,1.8,-1.0
1,0,0,0,1.143,6.5,15.0,1.13,7.0,16.0,1.15,6.0,12.0,1.167,5.5,12.0,1.12,7.5,17.0,1.12,6.0,17.0,1.11,6.5,15.0,1.4,2.65,1.44,2.62,1.8,2.0,-2.25,1.85,2.0,-2.25,1.875,2.025,-2.25
3,1,3,0,1.6669999999999998,3.4,5.0,1.7,3.4,4.7,1.75,3.2,4.0,1.6669999999999998,3.25,4.5,1.73,3.25,4.33,1.72,3.25,4.33,1.72,3.2,4.33,1.85,1.85,2.05,1.75,2.2,1.65,-1.0,,,,2.075,1.825,-0.75
0,0,0,0,2.3,3.25,2.8,2.3,3.3,2.8,2.1,3.1,3.0,2.25,3.2,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.25,2.75,1.9,1.79,1.95,1.85,1.95,1.85,-0.25,2.0,1.85,-0.25,2.05,1.85,-0.25
2,2,1,1,1.5,3.6,6.5,1.53,3.55,6.25,1.55,3.5,4.8,1.4,3.75,7.0,1.44,3.75,6.5,1.44,3.75,6.5,1.5,3.4,6.0,1.6,2.15,1.8,2.0,2.2,1.65,-1.25,1.8,2.05,-1.0,2.1,1.8,-1.25
0,3,0,1,2.6,3.2,2.5,2.65,3.1,2.55,2.5,3.0,2.5,2.5,3.2,2.5,2.6,3.25,2.6,2.5,3.2,2.5,2.5,3.1,2.5,1.9,1.79,2.0,1.8,2.0,1.8,0.0,2.05,1.8,0.0,2.075,1.825,0.0
2,3,0,1,2.0,3.25,3.4,2.2,3.25,3.0,2.1,3.0,3.1,2.0,3.2,3.2,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2,1.85,1.85,2.0,1.8,1.85,1.95,-0.25,1.8,2.05,-0.25,1.85,2.05,-0.25
0,1,0,0,1.5330000000000001,3.4,6.5,1.55,3.55,6.1,1.55,3.5,4.8,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.5,6.0,1.5,3.4,6.0,1.75,1.95,1.8,2.0,2.0,1.8,-1.0,2.1,1.75,-1.0,2.075,1.825,-1.0
0,3,0,1,1.6669999999999998,3.4,5.0,1.75,3.4,4.4,1.8,3.1,3.8,1.7269999999999999,3.2,4.333,1.67,3.4,4.5,1.72,3.25,4.33,1.72,3.2,4.33,1.85,1.85,2.0,1.8,1.7,2.1,-0.5,2.0,1.85,-0.75,2.0,1.9,-0.75
0,0,0,0,2.75,3.2,2.375,2.7,3.3,2.4,2.4,3.2,2.4,2.625,3.4,2.25,2.5,3.2,2.5,2.5,3.2,2.5,2.62,3.2,2.3,1.85,1.85,1.95,1.85,1.75,2.05,0.25,2.05,1.8,0.0,2.0,1.9,0.0
1,2,1,0,4.0,3.4,1.8,4.3,3.45,1.75,4.2,3.2,1.7,4.333,3.6,1.615,4.33,3.4,1.8,4.33,3.25,1.72,4.5,3.3,1.66,1.6,2.15,1.8,2.0,1.5,2.4,1.0,2.1,1.75,0.5,2.075,1.825,0.5
1,0,0,0,5.0,3.4,1.6669999999999998,4.9,3.5,1.65,4.4,3.3,1.65,5.0,3.5,1.571,5.0,3.6,1.67,5.0,3.4,1.61,5.0,3.5,1.57,1.65,2.05,1.75,2.05,1.77,2.05,1.0,2.0,1.85,0.75,2.075,1.825,0.75
1,1,1,1,1.28,4.5,10.0,1.27,5.0,10.0,1.3,4.2,8.0,1.222,5.0,10.0,1.22,5.0,10.0,1.22,5.0,10.0,1.22,5.0,9.5,1.6,2.25,1.61,2.25,1.85,1.95,-1.5,1.9,1.95,-1.5,1.85,2.05,-1.5
1,3,1,1,2.8,3.25,2.3,2.75,3.2,2.4,2.7,3.0,2.3,2.5,3.2,2.5,2.62,3.2,2.38,2.62,3.2,2.37,2.6,3.1,2.4,1.85,1.85,1.95,1.85,2.05,1.77,0.0,2.05,1.8,0.0,2.025,1.875,-1.5
2,0,1,0,2.3,3.2,2.87,2.3,3.2,2.9,2.2,3.0,2.9,2.375,3.0,2.75,2.2,3.25,2.8,2.25,3.2,2.8,2.25,3.1,2.8,1.95,1.75,2.0,1.8,1.95,1.85,-0.25,,,,2.1,1.8,-0.25
0,2,0,0,5.0,3.6,1.61,5.5,3.65,1.57,4.4,3.3,1.65,4.5,3.5,1.615,5.5,3.5,1.53,5.5,3.4,1.57,5.0,3.5,1.57,1.71,2.0,1.8,2.0,1.8,2.0,1.0,1.85,2.0,1.0,2.1,1.8,0.5
4,2,2,1,1.53,3.6,6.0,1.5,3.65,6.65,1.55,3.5,4.8,1.5330000000000001,3.5,5.5,1.44,3.5,7.0,1.5,3.5,6.0,1.53,3.25,6.0,1.8,1.9,1.75,2.05,1.95,1.85,-1.25,2.0,1.85,-1.25,2.075,1.825,-1.25
2,2,0,0,2.37,3.2,2.75,2.4,3.2,2.75,2.3,3.0,2.7,2.4,3.25,2.5,2.38,3.2,2.62,2.3,3.2,2.7,2.37,3.1,2.62,1.8,1.9,1.9,1.9,1.8,2.0,0.0,1.8,2.05,0.0,1.8,2.1,-1.25
2,0,1,0,1.61,3.4,5.5,1.6,3.55,5.4,1.7,3.2,4.2,1.615,3.25,5.0,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5.0,1.85,1.85,1.95,1.85,1.8,2.05,-0.75,1.8,2.05,-0.75,1.85,2.05,-0.75
2,2,1,1,1.83,3.25,4.0,1.95,3.25,3.6,2.0,3.1,3.2,1.8330000000000002,3.0,4.0,1.8,3.4,4.33,1.83,3.3,3.75,1.83,3.2,3.75,1.9,1.79,2.05,1.75,1.9,1.9,-0.5,2.05,1.8,-0.5,2.025,1.875,-0.5
4,1,0,1,1.83,3.25,4.0,1.95,3.25,3.65,2.0,3.1,3.2,1.8330000000000002,3.0,4.0,2.0,3.4,3.5,1.83,3.3,3.75,1.83,3.3,3.6,1.79,1.9,1.9,1.9,1.9,1.9,-0.5,1.95,1.9,-0.5,1.975,1.925,-0.5
4,0,2,0,2.6,3.2,2.5,2.65,3.2,2.5,2.4,3.2,2.4,2.5,3.2,2.5,2.75,3.4,2.38,2.5,3.2,2.5,2.5,3.1,2.5,1.85,1.85,2.0,1.8,1.77,2.05,0.25,2.05,1.8,0.0,2.025,1.875,-0.5
2,1,1,0,1.9,3.25,3.75,1.9,3.3,3.75,1.8,3.1,3.8,1.909,3.2,3.5,1.83,3.25,3.75,1.85,3.25,3.75,1.83,3.2,3.75,1.85,1.85,2.0,1.8,1.65,2.15,-0.25,1.9,1.95,-0.5,2.0,1.9,-0.5
2,2,0,0,2.3,3.25,2.8,2.4,3.25,2.7,2.3,3.0,2.7,2.25,3.2,2.75,2.38,3.2,2.62,2.37,3.2,2.62,2.5,3.1,2.5,1.85,1.85,1.9,1.9,1.8,2.0,0.0,1.85,2.0,0.0,1.85,2.05,0.0
0,2,0,0,2.1,3.25,3.2,2.15,3.25,3.15,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.25,2.75,1.85,1.85,2.05,1.75,1.9,1.9,-0.25,1.85,2.0,-0.25,1.85,2.05,-0.25
2,1,1,0,1.3,4.5,9.5,1.32,4.3,10.0,1.35,4.0,7.0,1.3330000000000002,3.75,9.0,1.33,4.0,8.5,1.33,4.2,8.0,1.33,4.0,8.0,1.65,2.05,1.8,2.0,1.75,2.08,-1.25,1.8,2.05,-1.25,1.825,2.075,-1.25
0,0,0,0,1.5,3.6,6.5,1.53,3.5,6.5,1.55,3.5,4.8,1.5,3.4,6.0,1.53,3.5,5.5,1.53,3.4,6.0,1.5,3.4,6.0,1.71,2.0,1.8,2.0,1.92,1.9,-1.0,1.85,2.0,-1.0,1.9,2.0,-1.0
1,2,0,2,2.25,3.25,2.87,2.3,3.25,2.87,2.3,3.0,2.7,2.1,3.2,3.0,2.25,3.25,2.75,2.25,3.2,2.8,2.3,3.2,2.62,1.71,2.0,1.95,1.85,2.0,1.8,-0.25,2.0,1.85,-0.25,2.05,1.85,-0.25
1,3,0,2,2.0,3.25,3.4,2.1,3.25,3.25,1.9,3.1,3.5,2.2,3.2,2.8,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1.85,1.85,2.0,1.8,1.85,1.95,-0.25,1.85,2.0,-0.25,1.825,2.075,-0.25
0,5,0,2,6.5,3.6,1.5,5.95,3.65,1.5,5.0,3.7,1.5,6.0,3.4,1.5,7.5,4.0,1.44,6.0,3.6,1.5,6.5,3.6,1.44,1.65,2.05,1.7,2.1,1.95,1.85,1.25,2.0,1.85,1.25,1.95,1.95,1.25
0,0,0,0,2.0,3.25,3.4,2.15,3.25,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.4,3.5,2.2,3.1,3.0,2.2,2.87,3.1,1.75,1.95,1.8,2.0,1.9,1.92,-0.25,1.85,2.0,-0.25,1.875,2.025,-0.25
1,0,1,0,2.3,3.25,2.8,2.33,3.25,2.82,2.3,3.0,2.7,2.2,3.2,2.8,2.4,3.25,2.8,2.3,3.2,2.7,2.3,3.2,2.62,1.85,1.85,1.95,1.85,2.08,1.78,-0.25,2.05,1.8,-0.25,2.025,1.875,-0.25
3,2,1,1,1.53,3.5,5.5,1.55,3.7,5.7,1.5,3.7,5.0,1.444,3.75,6.0,1.5,3.75,7.0,1.5,3.5,6.0,1.5,3.4,6.0,1.79,1.9,1.75,2.05,1.9,1.9,-1.0,2.05,1.8,-1.0,2.05,1.85,-1.0
2,0,1,0,1.9,3.25,3.75,2.0,3.25,3.5,1.9,3.1,3.5,1.8330000000000002,3.2,3.75,1.91,3.25,3.5,1.9,3.25,3.5,2.0,3.2,3.2,1.9,1.79,2.0,1.8,2.0,1.8,-0.5,2.05,1.8,-0.5,2.0,1.9,-0.5
1,1,0,1,1.61,3.6,5.0,1.67,3.45,5.0,1.65,3.3,4.4,1.6669999999999998,3.4,4.333,1.62,3.4,5.0,1.61,3.4,5.0,1.72,3.2,4.33,1.85,1.85,1.9,1.9,1.8,2.0,-0.75,1.8,2.05,-0.75,1.85,2.05,-0.75
1,0,1,0,1.33,4.33,8.5,1.35,4.3,8.5,1.35,4.0,7.0,1.3330000000000002,4.0,8.0,1.3,4.33,8.5,1.36,4.0,7.5,1.3,4.2,8.5,1.71,2.0,1.7,2.1,2.0,1.8,-1.5,2.0,1.85,-1.5,2.05,1.85,-1.5
1,4,0,3,6.5,3.6,1.5,6.5,3.7,1.5,4.8,3.5,1.55,6.5,3.6,1.444,6.5,3.75,1.44,6.0,3.6,1.5,7.0,3.5,1.44,1.71,2.0,1.8,2.0,1.95,1.85,1.0,2.0,1.85,1.0,1.975,1.925,1.0
0,1,0,1,1.8,3.2,4.33,1.8,3.25,4.4,1.8,3.1,3.8,1.7269999999999999,3.2,4.333,1.67,3.4,4.5,1.8,3.25,4.0,1.66,3.4,4.33,1.9,1.79,2.05,1.75,1.8,2.0,-0.5,1.8,2.05,-0.5,1.85,2.05,-0.5
0,2,0,1,1.8,3.4,4.0,1.75,3.35,4.5,1.8,3.1,3.8,1.6669999999999998,3.4,4.333,1.73,3.25,4.33,1.72,3.25,4.33,1.66,3.3,4.5,1.79,1.9,1.85,1.95,2.0,1.8,-0.75,2.0,1.85,-0.75,2.05,1.85,-0.75
3,2,2,1,4.33,3.2,1.8,4.15,3.25,1.85,3.6,3.1,1.85,3.75,3.25,1.8,4.33,3.4,1.8,4.0,3.25,1.8,4.2,3.25,1.72,1.9,1.79,1.9,1.9,1.95,1.85,0.5,2.0,1.85,0.5,2.0,1.9,0.5
4,0,3,0,1.83,3.25,4.0,1.85,3.33,4.0,1.8,3.1,3.8,1.7269999999999999,3.4,4.0,1.73,3.25,4.33,1.72,3.3,4.33,1.8,3.3,3.75,1.9,1.79,1.85,1.95,1.85,1.95,-0.5,2.0,1.85,-0.75,1.8,2.1,-0.5
0,0,0,0,1.72,3.4,4.5,1.75,3.4,4.4,1.85,3.1,3.6,1.6669999999999998,3.4,4.333,1.73,3.5,4.75,1.75,3.25,4.2,1.72,3.4,4.0,1.75,1.95,1.75,2.05,1.95,1.85,-0.75,2.05,1.8,-0.75,2.05,1.85,-0.75
2,0,1,0,1.61,3.6,5.0,1.71,3.5,4.5,1.65,3.3,4.4,1.615,3.5,4.5,1.62,3.4,5.0,1.66,3.4,4.5,1.66,3.3,4.5,1.85,1.85,1.8,2.0,1.9,1.9,-0.75,1.85,2.0,-0.75,1.9,2.0,-0.75
2,1,2,0,2.5,3.3,2.5,2.5,3.25,2.6,2.3,3.1,2.6,2.4,3.25,2.5,2.63,3.2,2.38,2.37,3.2,2.62,2.6,3.4,2.25,1.79,1.9,1.9,1.9,1.9,1.9,0.0,2.0,1.85,0.0,1.975,1.925,0.0
1,2,1,1,2.5,3.3,2.5,2.45,3.25,2.65,2.4,3.0,2.6,2.6,3.2,2.375,2.5,3.4,2.6,2.4,3.2,2.6,2.6,3.1,2.4,1.85,1.85,1.9,1.9,1.87,1.95,0.0,1.9,1.95,0.0,1.9,2.0,0.0
3,0,1,0,1.3,4.5,9.5,1.31,4.5,9.0,1.35,4.0,7.0,1.3330000000000002,3.75,9.0,1.29,4.5,8.5,1.28,4.5,9.0,1.28,4.5,8.0,1.65,2.1,1.75,2.05,1.9,1.9,-1.5,1.95,1.9,-1.5,1.975,1.925,-1.5
1,0,1,0,1.72,3.5,4.33,1.87,3.45,3.65,1.7,3.2,4.2,1.6669999999999998,3.25,4.5,1.8,3.4,3.75,1.72,3.25,4.33,1.72,3.4,4.0,1.79,1.9,1.95,1.85,1.87,1.95,-0.5,1.8,2.05,-0.5,1.825,2.075,-0.5
1,2,1,0,2.1,3.25,3.2,2.05,3.25,3.4,1.9,3.1,3.5,2.2,3.2,2.8,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1.85,1.85,1.95,1.85,1.85,1.95,-0.25,1.9,1.95,-0.25,1.875,2.025,-0.25
