FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,0,0,0,,,,1.3,4.0,7.0,1.3,4.5,7.5,1.3,4.33,8.0,1.3,4.33,8.0,1.28,4.5,8.0
3,3,2,1,,,,1.75,3.1,3.6,1.91,3.25,3.4,,,,1.8,3.25,3.75,1.83,3.3,3.6
3,1,1,0,,,,1.25,4.3,8.0,1.2,5.0,11.0,1.25,4.75,9.0,1.3,4.33,8.0,1.28,4.5,8.0
0,2,0,0,,,,2.7,2.9,2.2,2.87,3.25,2.1,2.75,3.2,2.25,2.5,3.25,2.38,2.62,3.2,2.3
1,0,1,0,,,,2.2,2.8,2.8,2.2,3.25,2.75,2.4,3.1,2.62,2.38,3.25,2.5,2.4,2.87,2.8
1,1,0,1,,,,1.8,3.0,3.5,1.8,3.25,3.75,1.83,3.2,3.8,1.83,3.2,3.75,1.72,3.4,4.0
0,2,0,1,,,,2.0,2.9,3.0,2.1,3.25,2.87,2.1,3.0,3.2,2.1,3.2,3.0,2.1,3.2,3.0
0,0,0,0,,,,1.9,2.9,3.2,2.1,3.2,3.0,2.0,3.2,3.2,2.1,3.2,3.0,2.1,3.1,3.1
2,1,0,1,,,,1.6,3.2,4.2,1.61,3.5,4.5,1.62,3.4,4.75,1.73,3.4,4.0,1.53,3.3,5.0
0,3,0,2,,,,3.0,2.9,2.0,3.2,3.2,2.0,3.5,3.25,1.91,3.75,3.2,1.83,3.3,3.1,2.0
1,1,1,0,,,,2.1,2.9,2.9,2.1,3.25,2.87,2.2,3.0,3.0,2.0,3.2,3.2,2.0,3.1,3.3
1,2,1,2,,,,1.65,3.1,4.0,1.57,3.5,5.0,1.6,3.4,5.0,1.73,3.4,4.0,1.66,3.3,4.5
2,0,0,0,,,,2.7,2.9,2.2,2.5,3.25,2.4,2.7,3.2,2.3,2.5,3.2,2.4,2.5,3.1,2.5
0,4,0,2,,,,2.0,2.9,3.0,1.91,3.25,3.4,1.91,3.2,3.5,1.91,3.25,3.4,2.0,2.9,3.6
