FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
1,2,1,0,2.0,3.3,3.2,1.9,2.9,3.2,1.9,3.2,3.5,1.7,3.4,4.2,1.83,3.3,3.6
0,0,0,0,2.35,3.25,2.6,2.35,3.0,2.35,2.5,3.25,2.4,2.6,3.2,2.4,2.4,3.25,2.5
2,2,2,0,2.0,3.3,3.2,1.8,3.0,3.5,2.1,3.4,2.85,2.05,3.2,3.2,2.0,3.2,3.2
1,0,0,0,1.85,3.3,3.7,2.0,2.9,3.0,2.0,3.2,3.2,2.05,3.2,3.4,1.9,3.25,3.4
2,1,1,0,1.25,4.8,9.0,1.35,3.8,6.2,1.25,4.5,10.0,1.33,4.0,9.0,1.25,4.33,10.5
2,0,1,0,1.53,3.8,5.0,1.4,3.6,5.5,1.5,3.4,6.0,1.5,3.5,6.0,1.57,3.5,5.0
1,0,1,0,2.6,3.3,2.3,2.7,2.9,2.2,2.75,3.2,2.25,2.63,3.2,2.38,2.62,3.25,2.3
1,3,0,3,4.4,3.4,1.66,3.5,3.0,1.8,4.3,3.2,1.7,5.0,3.5,1.62,4.33,3.3,1.7
1,2,1,1,1.35,3.9,8.0,1.35,3.8,6.2,1.4,4.0,6.5,1.44,3.6,7.0,1.5,3.4,6.0
2,0,0,0,2.75,3.35,2.2,2.9,2.9,2.1,2.75,3.2,2.25,2.75,3.25,2.25,2.75,3.25,2.2
2,1,1,0,1.65,3.4,4.1,1.8,3.0,3.5,1.8,3.25,3.75,1.67,3.25,4.75,1.72,3.4,4.0
0,2,0,1,1.45,3.65,6.2,1.5,3.4,4.7,1.5,3.4,6.0,1.5,3.5,6.0,1.53,3.4,5.5
1,1,0,0,2.1,3.3,2.9,2.2,3.0,2.6,2.2,3.25,2.75,2.2,3.25,2.8,2.3,3.25,2.62
1,1,0,1,3.0,3.3,2.0,2.7,2.9,2.2,2.75,3.2,2.25,2.75,3.25,2.25,2.62,3.25,2.3
0,1,0,1,2.05,3.2,3.1,2.1,2.9,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.25,2.75
0,3,0,2,2.2,3.15,2.85,2.1,2.9,2.9,2.4,3.25,2.5,2.3,3.2,2.7,2.2,3.25,2.75
1,1,0,1,2.75,3.05,2.25,2.35,3.0,2.35,2.75,3.25,2.2,2.75,3.25,2.25,3.2,3.2,2.0
1,1,0,0,4.2,3.25,1.75,3.3,3.0,1.85,4.3,3.4,1.65,4.0,3.2,1.8,4.5,3.3,1.66
1,1,1,1,1.33,4.1,7.5,1.4,3.6,5.5,1.35,3.75,8.0,1.4,3.75,7.0,1.4,3.75,7.0
3,3,3,2,1.55,3.5,5.1,1.6,3.2,4.2,1.6,3.5,4.5,1.62,3.4,5.0,1.61,3.5,4.5
1,1,0,0,2.3,3.35,2.6,2.3,2.9,2.5,2.25,3.2,2.75,2.3,3.2,2.7,2.37,3.1,2.62
0,1,0,1,1.45,3.7,6.3,1.45,3.5,5.0,1.5,3.4,6.0,1.44,3.6,7.0,1.44,3.6,6.5
0,0,0,0,1.55,3.5,5.2,1.6,3.3,4.0,1.55,3.5,5.0,1.6,3.5,5.0,1.53,3.4,5.5
1,1,1,0,1.85,3.25,3.65,1.75,3.1,3.6,1.7,3.2,4.3,1.95,3.2,3.4,1.8,3.3,3.75
4,1,2,0,1.5,3.45,5.3,1.5,3.4,4.7,1.55,3.5,5.0,1.5,3.4,6.0,1.53,3.4,5.5
2,2,0,1,1.8,3.3,3.7,1.8,3.0,3.5,1.85,3.25,3.6,1.83,3.25,3.75,1.8,3.3,3.75
0,3,0,1,1.7,3.2,4.3,1.75,3.1,3.6,1.65,3.25,4.5,1.73,3.2,4.5,1.72,3.4,4.0
4,3,0,1,1.66,3.4,4.2,1.8,3.0,3.5,1.7,3.2,4.3,1.73,3.25,4.33,1.72,3.4,4.0
0,1,0,0,2.4,3.3,2.5,2.3,2.9,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.25,2.5
1,3,0,2,2.15,3.2,2.85,2.1,3.0,2.8,2.1,3.2,3.0,2.1,3.25,3.0,2.2,3.25,2.75
1,1,1,0,1.5,3.55,6.1,1.55,3.3,4.5,1.55,3.5,5.0,1.4,3.75,6.5,1.44,3.6,6.5
1,0,1,0,2.55,3.2,2.45,2.3,2.9,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,2.9,2.62
3,0,2,0,2.0,3.3,3.15,2.1,2.9,2.9,2.1,3.2,3.0,2.1,3.1,3.2,2.2,3.0,3.0
0,0,0,0,2.05,3.2,3.15,1.9,3.0,3.1,2.1,3.2,3.0,2.0,3.2,3.3,1.9,3.2,3.5
1,0,0,0,1.47,3.5,6.0,1.6,3.2,4.2,1.4,3.75,7.0,1.53,3.4,6.0,1.53,3.4,5.5
2,1,2,0,2.6,3.1,2.4,2.3,2.9,2.5,2.5,3.25,2.4,2.6,3.2,2.4,2.62,3.1,2.37
1,1,0,0,1.85,3.25,3.7,1.8,3.0,3.5,1.9,3.25,3.4,1.91,3.25,3.5,1.8,3.3,3.75
1,1,1,0,2.2,3.2,2.9,2.2,2.9,2.7,2.4,3.25,2.5,2.3,3.2,2.7,2.37,3.1,2.62
3,1,1,0,1.5,3.25,6.3,1.55,3.3,4.5,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.6,5.5
0,3,0,1,3.7,3.3,1.85,3.1,3.0,1.9,3.75,3.2,1.85,3.75,3.25,1.85,3.75,3.3,1.8
2,0,2,0,1.7,3.35,4.2,1.7,3.1,3.8,1.7,3.5,3.75,1.75,3.4,4.0,1.8,3.3,3.75
1,0,0,0,3.05,3.05,2.15,2.35,3.0,2.35,2.75,3.2,2.25,2.88,3.0,2.3,3.0,3.2,2.1
0,4,0,1,3.3,3.2,1.95,3.2,2.9,1.9,3.4,3.25,1.9,3.75,3.25,1.83,3.75,3.2,1.83
1,3,0,1,2.45,3.1,2.55,2.4,2.9,2.4,2.35,3.2,2.6,2.38,3.2,2.63,2.5,3.1,2.5
0,2,0,1,2.3,3.15,2.75,2.2,2.9,2.7,2.35,3.2,2.6,2.38,3.0,2.75,2.25,3.2,2.75
1,0,0,0,2.2,3.25,2.8,2.2,2.9,2.7,2.2,3.25,2.75,2.2,3.2,2.88,2.1,3.2,3.0
6,1,2,0,1.4,3.8,6.5,1.5,3.4,4.7,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.6,7.5
1,0,0,0,1.5,3.5,5.5,1.5,3.4,4.7,1.5,3.4,6.0,1.53,3.5,5.5,1.5,3.4,6.0
3,0,1,0,1.5,3.55,6.0,1.5,3.4,4.7,1.55,3.5,5.0,1.4,3.6,6.0,1.44,3.6,6.5
0,1,0,0,1.6,3.4,5.0,1.55,3.3,4.5,1.5,3.4,6.0,1.53,3.4,6.0,1.53,3.4,5.5
3,1,2,1,1.55,3.4,5.65,1.5,3.4,4.7,1.45,3.75,6.0,1.5,3.5,6.0,1.44,3.6,6.5
1,2,0,2,3.35,3.2,1.95,2.9,2.9,2.1,3.4,3.25,1.9,3.3,3.2,2.0,3.0,3.2,2.1
0,0,0,0,1.75,3.35,4.0,1.6,3.2,4.2,1.8,3.2,4.0,1.8,3.25,4.0,1.72,3.4,4.0
0,2,0,1,1.95,3.2,3.4,2.0,2.9,3.0,2.0,3.2,3.2,2.0,3.25,3.25,1.9,3.25,3.4
5,0,1,0,1.31,4.25,8.0,1.3,4.0,7.0,1.25,4.5,10.0,1.3,4.33,8.5,1.28,4.5,8.0
2,1,2,0,1.7,4.3,3.2,1.6,3.2,4.2,1.6,3.25,5.0,1.62,3.4,5.0,1.61,3.25,5.0
3,0,2,0,1.66,3.2,4.7,1.7,3.1,3.8,1.55,3.5,5.0,1.5,3.4,5.5,1.61,3.25,5.0
2,1,2,0,2.2,3.2,2.85,2.1,2.9,2.9,1.85,3.2,3.75,2.0,3.2,3.2,2.1,3.2,3.0
2,1,1,1,1.6,3.35,4.9,1.6,3.2,4.2,1.5,3.4,6.0,1.6,3.25,5.5,1.66,3.1,5.0
