FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
1,0,0,0,2.2,3.25,2.8,2.22,3.0,3.2,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.9,2.2,3.2,2.8,1.85,1.75,,
1,1,0,1,5.0,3.4,1.615,5.6,3.6,1.6,4.4,3.3,1.65,4.5,3.25,1.6669999999999998,5.0,3.5,1.57,5.5,3.4,1.615,5.5,3.4,1.53,1.65,1.95,,
2,1,1,1,1.6669999999999998,3.4,4.5,1.63,3.45,5.0,1.65,3.3,4.4,1.571,3.5,5.0,1.62,3.4,5.0,1.615,3.4,5.5,1.57,3.3,5.5,1.85,1.85,,
1,0,0,0,2.625,3.2,2.375,2.85,3.2,2.32,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.875,3.2,2.3,2.87,3.1,2.2,1.85,1.75,,
0,2,0,2,1.7269999999999999,3.5,4.0,1.73,3.4,4.2,1.7,3.2,4.2,1.6669999999999998,3.4,4.333,1.73,3.25,4.33,1.8,3.25,4.333,1.72,3.2,4.33,1.85,1.85,,
1,0,0,0,2.5,3.0,2.625,2.53,3.15,2.7,2.4,3.0,2.6,2.6,3.2,2.375,2.63,3.2,2.38,2.5,3.2,2.625,2.5,3.1,2.5,1.9,1.9,,
1,1,1,0,3.0,3.0,2.25,2.88,3.25,2.4,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.9,3.2,2.25,2.87,3.0,2.25,1.75,1.91,,
2,2,0,0,1.615,3.4,5.0,1.67,3.56,4.86,1.65,3.3,4.4,1.571,3.5,5.0,1.62,3.4,5.0,1.6669999999999998,3.4,5.0,1.66,3.3,4.5,1.75,1.91,,
1,0,1,0,1.3330000000000002,4.0,9.0,1.33,4.68,9.0,1.35,4.0,7.0,1.286,4.5,8.0,1.29,4.5,8.5,1.3330000000000002,4.5,8.5,,,,1.72,1.95,,
2,1,2,1,1.3330000000000002,4.333,7.5,1.43,4.2,8.0,1.3,4.2,8.0,1.3,4.333,8.0,1.33,4.0,8.5,1.3330000000000002,4.5,8.0,1.3,4.33,8.0,1.65,2.22,,
3,0,2,0,2.1,3.0,3.25,2.11,3.05,3.45,2.0,3.0,3.3,2.0,3.0,3.4,1.91,3.0,3.75,2.1,3.1,3.4,2.0,3.0,3.4,2.05,1.68,,
2,0,0,0,1.8,3.25,4.0,1.96,3.25,4.12,1.9,3.1,3.5,1.909,3.2,3.5,1.83,3.25,3.75,1.85,3.25,4.0,1.8,3.25,3.8,1.93,1.83,,
2,3,2,1,2.5,3.2,2.5,2.61,3.0,2.7,2.5,3.0,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.7,2.37,3.1,2.62,1.9,1.73,,
3,2,0,2,2.375,3.2,2.625,2.55,3.2,2.6,2.5,3.0,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.4,3.1,2.8,2.4,3.1,2.6,2.0,1.72,,
2,2,1,0,1.25,4.5,11.0,1.27,4.6,12.0,1.25,4.5,9.0,1.3330000000000002,3.75,9.0,1.25,4.5,10.0,1.286,4.6,10.0,1.28,4.5,8.0,1.7,1.97,,
0,1,0,0,1.2,5.5,10.0,1.24,5.5,12.5,1.25,4.5,9.0,1.222,5.0,10.0,1.2,5.5,11.0,1.2,5.5,12.0,1.22,5.0,9.5,1.56,2.25,,
0,2,0,1,2.1,3.25,3.0,2.13,3.2,3.19,1.9,3.1,3.5,2.2,3.2,2.8,2.0,3.25,3.25,2.2,3.2,3.1,2.0,3.2,3.2,1.77,1.95,,
1,0,0,0,2.0,3.25,3.25,1.9,3.3,3.5,2.0,3.1,3.2,2.0,3.2,3.2,2.1,3.25,3.0,2.1,3.25,3.25,2.0,3.2,3.2,1.94,1.72,,
0,1,0,1,1.571,3.4,5.5,1.6,3.45,5.5,1.6,3.4,4.6,1.615,3.5,4.5,1.53,3.4,6.0,1.571,3.4,6.0,1.61,3.3,5.0,1.77,1.9,,
2,3,0,1,4.333,3.25,1.7269999999999999,4.75,3.3,1.77,3.8,3.1,1.8,5.0,3.25,1.615,4.5,3.4,1.67,4.333,3.4,1.75,4.33,3.2,1.72,1.75,1.9,,
0,3,0,1,5.0,3.4,1.615,4.75,3.4,1.73,4.2,3.2,1.7,4.5,3.25,1.6669999999999998,5.0,3.4,1.62,5.0,3.4,1.6669999999999998,4.5,3.3,1.66,1.73,1.9,,
3,0,2,0,1.909,3.25,3.5,2.05,3.25,3.25,1.8,3.1,3.8,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.5,2.0,3.2,3.2,1.7,1.9,,
2,1,1,1,2.3,3.2,2.7,2.25,3.25,2.85,2.3,3.0,2.7,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.2,2.875,2.37,3.1,2.62,1.95,1.75,,
1,0,0,0,2.75,3.0,2.375,2.9,3.25,2.41,2.7,3.0,2.3,2.6,3.2,2.375,2.88,3.2,2.2,2.875,3.2,2.3,2.87,3.0,2.25,1.75,1.85,,
0,3,0,1,2.1,3.25,3.0,2.21,3.25,2.95,2.2,3.0,2.9,2.25,3.2,2.75,2.2,3.25,2.8,2.2,3.25,3.0,2.2,3.2,2.8,1.92,1.75,,
1,0,0,0,2.25,3.25,2.75,2.25,3.2,2.9,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.9,2.2,3.2,2.8,1.9,1.7,,
2,2,0,1,1.909,3.25,3.5,2.05,3.2,3.3,2.1,3.0,3.1,2.0,3.2,3.2,2.0,3.25,3.25,2.05,3.2,3.4,2.0,3.2,3.2,1.67,2.0,,
3,2,0,0,1.6669999999999998,3.4,4.5,1.8,3.25,4.35,1.8,3.1,3.8,1.7269999999999999,3.2,4.333,1.67,3.4,4.5,1.7269999999999999,3.4,4.5,1.72,3.2,4.33,1.82,1.9,,
3,0,1,0,2.5,3.0,2.625,2.55,3.17,2.81,2.5,3.0,2.5,2.375,3.0,2.75,2.38,3.2,2.63,2.4,3.2,2.7,2.5,3.1,2.5,2.01,1.72,,
2,1,1,0,1.2,5.5,10.0,1.28,5.2,11.0,1.25,4.5,9.0,1.2,5.0,11.0,1.2,5.5,10.0,1.222,5.5,11.0,1.22,5.0,9.5,1.62,2.05,,
2,0,0,0,1.25,4.5,11.0,1.32,4.75,9.5,1.3,4.2,8.0,1.286,4.333,9.0,1.29,4.5,8.5,1.3,4.5,10.0,1.33,4.0,8.0,1.77,1.95,,
1,0,0,0,1.444,3.75,6.5,1.45,3.9,6.5,1.4,3.9,6.0,1.5,3.4,6.0,1.44,3.6,7.0,1.5,3.6,6.5,1.44,3.6,6.5,1.63,2.1,,
1,0,1,0,1.6669999999999998,3.4,4.5,1.72,3.3,4.55,1.75,3.2,4.0,1.6669999999999998,3.25,4.5,1.73,3.25,4.33,1.7269999999999999,3.4,4.5,1.66,3.3,4.5,1.9,1.7,,
2,0,2,0,1.7269999999999999,3.2,4.5,1.7,3.32,4.6,1.8,3.1,3.8,1.6669999999999998,3.25,4.5,1.73,3.25,4.33,1.7269999999999999,3.4,4.5,1.66,3.3,4.5,1.82,1.85,,
0,0,0,0,2.0,3.25,3.25,2.1,3.25,3.45,2.1,3.0,3.1,1.909,3.25,3.4,2.0,3.25,3.25,2.1,3.25,3.25,2.0,3.2,3.2,1.95,1.7,,
0,0,0,0,2.1,3.25,3.0,2.05,3.35,3.2,2.0,3.1,3.2,2.0,3.4,3.0,2.1,3.25,3.0,2.05,3.2,3.25,2.1,3.25,2.9,1.72,1.9,,
3,2,1,0,1.8330000000000002,3.25,3.75,1.85,3.2,4.0,1.85,3.1,3.6,1.8,3.2,4.0,1.91,3.25,3.5,1.909,3.2,3.8,1.9,3.1,3.6,2.02,1.75,,
1,0,1,0,2.75,3.25,2.25,2.75,3.2,2.3,2.9,3.0,2.2,2.6,3.2,2.375,2.63,3.2,2.38,2.8,3.2,2.3,2.6,3.1,2.4,1.82,1.85,,
0,0,0,0,2.625,3.0,2.5,2.65,3.15,2.47,2.7,3.0,2.3,2.75,3.2,2.25,2.75,3.25,2.25,2.75,3.25,2.375,2.5,3.1,2.5,1.7,1.92,,
0,2,0,1,2.625,3.2,2.375,2.55,3.05,2.45,2.7,3.0,2.3,2.5,3.25,2.4,2.5,3.2,2.5,2.6,3.2,2.5,2.75,3.2,2.25,1.75,1.85,,
1,1,0,0,2.0,3.25,3.25,2.05,3.29,3.45,2.0,3.1,3.2,2.2,3.2,2.8,2.0,3.25,3.25,2.0,3.25,3.5,2.0,3.2,3.2,1.95,1.65,,
