FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
0,0,0,0,1.8,3.35,3.8,1.9,2.9,3.2,1.85,3.2,3.75,1.8,3.25,4,1.72,3.4,4
1,2,1,2,1.8,3.2,3.9,1.75,3.1,3.6,1.85,3.2,3.75,1.8,3.2,4,1.8,3.3,3.75
2,0,1,0,2.05,3.1,3.3,2,2.9,3,2.1,3.2,3,2,3.1,3.4,2.1,3,3.2
1,1,0,0,1.4,3.8,6.5,1.35,3.8,6.2,1.3,3.75,9,1.44,3.6,7,1.3,4,9.5
1,0,0,0,1.45,3.55,6,1.45,3.5,5,1.4,3.75,7,1.4,3.6,6.5,1.4,3.5,8
1,0,0,0,1.7,3.25,4.4,1.75,3.1,3.6,1.7,3.2,4.3,1.75,3.2,4.33,1.72,3.2,4.33
0,3,0,1,1.61,3.15,3.75,1.45,3.5,5,1.4,3.75,7,1.45,3.5,6.5,1.5,3.4,6
2,1,2,0,1.85,3.15,3.75,1.8,3,3.5,,,,1.95,3.1,3.6,2,3.2,3.2
3,1,2,0,2.6,3.05,2.45,2.4,2.9,2.4,2.85,3,2.25,2.7,3.1,2.38,2.62,3.1,2.37
4,1,2,1,1.66,3.2,4.8,1.65,3.2,3.8,,,,1.67,3.3,4.75,1.66,3.3,4.5
4,2,2,1,1.95,3.2,3.45,1.75,3.1,3.6,1.9,3.2,3.5,1.91,3.2,3.6,1.83,3.2,3.75
1,1,1,1,1.66,3.25,4.7,1.6,3.2,4.2,1.6,3.25,5,1.67,3.25,4.75,,,
2,1,1,0,2,3.15,3.35,1.9,2.9,3.2,2,3.2,3.2,1.9,3.1,3.4,1.83,3.2,3.75
2,0,1,0,3.65,3,1.95,3,2.9,2,3.75,3.25,1.8,3.6,3.2,1.91,3.5,3.2,1.9
1,2,0,2,2.8,3.05,2.3,2.7,2.9,2.2,3,3.2,2.1,2.88,3.1,2.25,3,3,2.2
0,0,0,0,2.25,2.9,3,2.1,2.9,2.9,2.2,3.25,2.75,2,3.2,3.2,2.1,3,3.2
1,1,0,0,1.9,3.2,3.45,1.8,3,3.5,2,3.2,3.2,1.83,3.2,3.75,1.9,3.2,3.5
2,1,1,0,1.7,3.1,4.7,1.7,3.1,3.8,1.6,3.25,5,1.6,3.3,5,1.61,3.25,5
2,0,1,0,1.95,3.15,3.45,1.8,3,3.5,1.7,3.4,4,1.75,3.2,3.75,1.8,3.25,3.75
1,2,1,1,3.4,3.1,2,3,2.9,2,3.75,3.2,1.85,3.5,3.2,1.95,,,
1,4,0,2,3.55,3.05,1.95,3.1,3,1.9,3.75,3.25,1.8,3.75,3.25,1.8,3.75,3.2,1.83
0,1,0,1,2.05,3,3.4,1.9,2.9,3.2,2.1,3.2,3,1.9,3.1,3.75,1.83,3.2,3.75
4,0,1,0,1.31,4,8.1,1.3,4,7,1.3,4,8,1.36,4,7.5,1.33,4,8
0,1,0,0,1.66,3.15,4.8,1.8,3,3.5,1.6,3.25,5,1.5,3.4,5.5,1.53,3.25,6
1,2,0,1,1.85,3.15,3.9,1.8,3,3.5,1.65,3.25,4.5,1.73,3.25,4.33,1.8,3.1,4
1,1,0,0,1.2,4.7,10,1.2,4.7,9,1.2,5,11,1.25,4.8,9,1.25,4.5,10
3,1,2,1,1.8,3.15,4,1.7,3.2,3.6,1.6,3.5,4.5,1.73,3.3,4.2,,,
4,1,2,1,2.25,3.2,2.8,2.1,2.9,2.9,2.6,3.2,2.35,2.3,3.2,2.7,2.3,3.1,2.75
0,2,0,0,1.3,4.3,8,1.2,4.7,9,1.3,4.3,8,1.3,4.5,8,1.28,4.5,8
3,1,2,0,1.95,3.2,3.3,1.8,3,3.5,1.85,3.2,3.75,1.91,3.2,3.5,2,3.2,3.2
1,0,0,0,1.66,3.25,4.7,1.6,3.2,4.2,1.55,3.5,5,1.53,3.4,5.5,1.61,3.25,5
1,1,0,1,1.95,3.15,3.5,1.7,3.1,3.8,1.9,3.2,3.5,1.9,3.2,3.6,1.9,3.1,3.6
1,0,0,0,1.6,3.5,4.8,1.5,3.4,4.7,1.55,3.5,5,1.6,3.3,5,1.53,3.4,5.5
1,0,0,0,3,3.05,2.2,2.7,2.9,2.2,3,3.2,2.1,3.1,3.1,2.1,3.2,3,2.1
0,1,0,0,3.25,3.1,2.05,3,2.9,2,3.2,3.2,2,3.75,3.2,1.83,3.2,3.2,2
3,1,2,1,3.75,3.05,1.9,3.2,2.9,1.9,4,3.4,1.7,3.75,3.2,1.83,3.75,3.2,1.83
3,2,1,1,2.9,3.1,2.2,2.7,2.9,2.2,3.5,3.2,1.9,3.1,3.1,2.1,3.4,3,2
4,0,2,0,1.66,3.2,5,1.6,3.2,4.2,1.6,3.25,5,1.57,3.3,5.5,1.57,3.25,5.5
1,1,0,1,2.3,3,2.9,2.2,2.8,2.8,2.35,3.2,2.6,2.25,3,2.88,,,
0,1,0,0,2.3,3.1,2.8,2,2.9,3,2.35,3.2,2.6,2.3,3.1,2.7,2.37,2.9,2.75
2,1,1,0,1.85,3.05,4,1.85,2.9,3.4,1.8,3.2,4,1.83,2.9,4.33,1.72,3.1,4.5
2,0,1,0,1.8,3.2,4,1.75,3.1,3.6,1.85,3.2,3.75,1.7,3.2,4.2,1.72,3.2,4.33
2,0,1,0,1.5,3.65,5.5,1.45,3.5,5,1.45,3.6,6.5,1.4,3.6,6.5,1.5,3.4,6
2,1,1,1,2.3,3,2.9,2.2,2.9,2.7,2.25,3.2,2.75,2.3,3.1,2.8,2.3,3.1,2.75
1,2,1,1,1.28,4.25,9.5,1.25,4.3,8,1.25,4.5,10,1.25,4.6,10,1.28,4.5,8
0,0,0,0,2.05,3.1,3.3,2.1,2.9,2.9,2,3.2,3.2,2.05,3.1,3.25,1.9,3.2,3.5
2,1,2,0,1.65,3.35,4.65,1.6,3.2,4.2,1.5,3.4,6,1.55,3.4,5.25,1.61,3.25,5
1,0,0,0,1.85,3.15,3.9,1.9,3,3.1,1.9,3.25,3.4,1.75,3.25,4.2,1.8,3.3,3.75
5,1,2,1,1.25,4.7,10,1.2,4.7,9,1.3,4.5,8,1.25,4.6,10,1.28,4.5,8
