FTHG,FTAG,HTHG,HTAG,HHW,AHW,HO,AO,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
3,1,1,1,0,1,7,4,0,10,2.68,3.1,2.38,2.5,3,2.5,2.75,3.2,2.25,2.6,3.1,2.5,,,,2.62,3.1,2.37
3,4,1,1,0,0,0,2,20,10,,,,1.9,3.1,3.5,1.73,3.2,4.33,1.83,3.1,4.2,1.67,3.4,4.5,1.8,3.1,4
1,1,1,0,0,0,2,0,45,20,2.3,3.2,2.7,2.2,3,2.9,2.25,3.2,2.75,2.4,3.1,2.8,2.25,3.25,2.75,2.37,3.1,2.62
6,1,3,0,0,0,11,2,10,10,1.25,4.8,9.25,1.25,4.5,9,1.25,5,8,1.25,5,9,1.3,4.5,8,1.25,4.5,10
1,0,0,0,0,0,3,6,10,40,1.7,3.4,4.4,1.7,3.2,4.2,1.8,3.2,4,1.7,3,4.8,1.8,3.2,4,1.72,3.2,4.33
1,2,1,1,1,0,4,5,35,20,1.42,3.75,6.8,1.5,3.7,5,1.4,3.75,7,1.44,3.6,7,1.4,3.75,7.5,1.4,3.6,7.5
5,1,2,1,0,0,3,6,20,20,1.4,3.85,7,1.45,3.8,5.4,1.36,3.75,8,1.4,3.75,7.5,1.4,4,6.5,1.36,3.75,8
1,2,0,1,1,0,2,2,10,65,2.1,3.15,3.1,2,3.1,3.2,2.1,3.2,3,2.1,3.1,3.2,2.2,3.2,2.88,2.2,3,3
2,1,0,1,0,0,7,0,20,40,1.85,3.2,3.8,2,3.1,3.2,1.83,3.2,3.75,1.91,3.2,3.6,1.8,3.4,3.75,1.83,3.3,3.6
1,2,1,1,1,1,6,3,10,0,2.85,3.25,2.2,2.9,3,2.2,2.75,3.2,2.25,3,3.1,2.2,2.8,3.25,2.2,2.87,3.1,2.2
0,3,0,2,0,2,3,4,35,20,2,3.2,3.3,2,3.1,3.2,1.73,3.4,4,1.91,3.2,3.6,2,3.25,3.25,2.1,3.2,3
0,3,0,2,0,1,1,5,10,30,3.6,3.2,1.9,3.6,3.1,1.85,3.5,3.2,1.91,3.5,3.25,1.91,3.5,3.25,1.91,4,3.1,1.8
0,2,0,0,0,0,1,2,0,10,4.8,3.55,1.6,4.4,3.3,1.65,4.5,3.25,1.67,5,3.4,1.62,4.5,3.6,1.62,5,3.3,1.61
0,0,0,0,0,3,2,8,20,10,1.8,3.25,3.95,1.75,3.2,4,1.8,3.2,4,1.73,3.25,4.33,1.73,3.25,4.33,1.72,3.2,4.33
2,0,0,0,0,0,0,0,0,20,1.9,3.2,3.6,1.8,3.1,3.8,1.91,3.25,3.4,1.8,3.25,4,1.91,3.25,3.5,1.83,3.3,3.6
3,0,1,0,0,0,3,4,0,10,1.6,3.5,4.9,1.7,3.2,4.2,1.61,3.5,4.5,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5
1,0,0,0,0,0,3,4,0,30,2.67,3.1,2.4,2.5,3,2.5,2.62,3.4,2.25,2.7,3.2,2.3,2.75,3.25,2.25,2.5,3.25,2.4
4,0,1,0,0,0,2,1,10,55,1.65,3.5,4.5,1.75,3.2,4,1.67,3.4,4.33,1.67,3.4,4.5,1.67,3.4,4.5,1.61,3.3,5
2,1,0,1,0,0,7,4,30,40,1.26,4.5,10,1.35,4,7,1.28,4.5,8,1.29,4.33,9.5,1.29,4.5,8.5,1.25,4.5,10
1,1,0,1,0,0,4,3,0,30,2.23,3.15,2.85,2.1,3,3.1,2.2,3.2,2.8,2.25,3.1,2.88,2.25,3.25,2.75,2.2,3.1,2.87
0,1,0,1,0,0,5,5,20,40,1.62,3.4,4.9,1.7,3.2,4.2,1.61,3.5,4.5,1.62,3.4,5,1.62,3.4,5,1.61,3.3,5
2,2,1,2,1,0,2,5,70,55,2.1,3.2,3.05,2,3.1,3.2,2.1,3.2,3,2,3.2,3.3,2.1,3.25,3,2.2,3.2,2.8
0,3,0,1,0,0,0,2,10,30,1.9,3.2,3.65,1.9,3.1,3.5,1.8,3.2,4,1.8,3.1,4.2,1.83,3.25,3.75,1.83,3.2,3.75
5,0,4,0,0,1,0,1,10,10,2.3,3.2,2.7,2.3,3,2.7,2.1,3.2,3,2.2,3.2,2.9,2.25,3.25,2.75,2.25,3.3,2.62
1,2,1,2,0,0,6,1,0,30,2,3.2,3.3,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3.1,1.91,3.4,3.4,2.1,3.2,3
0,1,0,0,0,1,0,5,10,10,3.45,3.2,1.95,3.2,3.1,2,3.5,3.2,1.91,3.5,3.1,2,3.25,3.25,2,3.5,3.4,1.83
1,1,1,0,0,0,2,0,10,0,3.5,3.3,1.9,3.2,3.1,2,3.2,3.2,2,3.3,3.1,2.05,3.25,3.25,2,3.4,3.25,1.9
2,3,1,2,2,0,1,3,0,20,4.5,3.5,1.65,4.2,3.2,1.7,4.5,3.25,1.67,4.33,3.4,1.7,4.5,3.4,1.67,4.5,3.5,1.61
3,2,2,2,0,1,6,5,20,20,1.95,3.2,3.55,2.1,3.1,3,2,3.4,3,2.1,3.1,3.3,2,3.25,3.25,2.1,3.2,3
2,4,2,1,0,0,2,10,20,10,1.4,3.9,7,1.35,4,7,1.33,4,8,1.36,3.75,8.5,1.36,4,7.5,1.33,4,8
3,0,2,0,0,0,0,2,30,20,1.5,3.6,6,1.45,3.8,5.4,1.53,3.5,5.5,1.5,3.5,6,1.44,3.75,6.5,1.5,3.4,6
1,1,0,0,0,0,3,5,10,40,1.3,4.5,8,1.25,4.5,9,1.28,4.5,8,1.3,4.2,9,1.29,5,7.5,1.25,5,8
1,0,0,0,0,1,1,0,10,20,1.9,3.25,3.55,1.75,3.2,4,1.8,3.2,4,1.95,3,3.75,1.91,3.2,3.6,1.83,3.2,3.75
1,1,0,0,0,0,4,5,10,30,2.15,3,3.15,2,3.1,3.2,2.25,3.2,2.75,2.1,3,3.25,2.1,3,3.25,2.1,2.87,3.3
1,0,1,0,0,0,5,7,0,10,1.63,3.45,4.75,1.65,3.3,4.4,1.61,3.5,4.5,1.62,3.3,5.2,1.62,3.6,4.5,1.57,3.3,5.5
0,1,0,0,0,0,6,5,10,20,2.4,3.1,2.65,2.2,3,2.9,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.2,2.5,2.5,3.1,2.5
3,1,1,0,0,0,2,4,10,10,1.45,3.6,6,1.6,3.4,4.6,1.53,3.75,5,1.5,3.5,6,1.53,3.5,5.5,1.5,3.6,5.5
2,0,0,0,0,0,3,4,0,10,3.9,3.4,1.76,3.5,3.1,1.9,3.5,3.2,1.91,3.5,3.25,1.91,3.5,3.25,1.91,4,3.4,1.72
2,1,2,1,0,0,5,5,20,55,1.53,3.5,5.65,1.6,3.4,4.6,1.5,3.4,6,1.5,3.4,6.5,1.53,3.5,5.5,1.5,3.4,6
4,1,2,0,1,1,7,3,0,25,2.1,3.1,3.15,2,3.1,3.2,2.1,3.2,3,2.05,3.1,3.3,2.1,3.25,3,2,3.2,3.2
2,2,0,0,0,0,5,6,0,10,3.25,3.35,1.95,3.8,3.1,1.8,3.2,3.2,2,3.5,3.2,1.95,3.6,3.4,1.83,3.4,3.25,1.9
1,0,1,0,0,0,2,0,10,10,2.2,3.1,2.95,2.1,3,3.1,2.1,3.2,3,2.2,3.2,2.88,2.2,3.25,2.8,2.1,3.2,3
2,1,2,1,0,0,2,4,10,20,1.71,3.3,4.4,1.75,3.2,4,1.73,3.2,4.33,1.73,3.25,4.33,1.67,3.4,4.5,1.72,3.25,4.2
2,1,1,0,0,0,0,0,0,10,2.4,3.25,2.55,2.3,3,2.7,2.4,3.25,2.5,2.3,3.1,2.8,2.5,3.2,2.5,2.37,3.1,2.62
3,1,1,1,0,0,0,2,30,85,,,,2.2,3,2.9,2.37,3.2,2.6,2.3,3.2,2.7,2.25,3.25,2.75,2.25,3.2,2.75
1,0,1,0,0,0,6,2,10,20,1.6,3.5,5,1.65,3.3,4.4,1.61,3.25,5,1.53,3.3,6,1.57,3.4,5.5,1.57,3.3,5.5
1,1,0,0,1,0,3,3,10,10,1.9,3.25,3.55,2,3.1,3.2,1.91,3.2,3.5,2,3.2,3.3,1.91,3.25,3.5,1.9,3.1,3.6
1,3,1,2,2,1,3,1,10,10,5.15,3.6,1.55,4.4,3.3,1.65,4.5,3.5,1.61,5,3.5,1.6,5.5,3.75,1.5,5,3.5,1.57
1,3,0,0,0,1,5,0,0,20,2.3,3.15,2.75,2.3,3,2.7,2.4,3.25,2.5,2.38,3.2,2.62,2.38,3.2,2.6,2.37,3.1,2.62
0,0,0,0,0,0,3,3,20,20,3.95,3.25,1.7,4.2,3.2,1.7,4.33,3.4,1.67,5.25,3.4,1.57,4.5,3.4,1.67,4.33,3.4,1.66
1,1,1,0,0,1,0,3,0,10,1.34,4.2,7.8,1.4,3.9,6,1.4,3.75,7,1.4,3.75,7.5,1.36,4.33,6.5,1.36,3.75,8
2,1,1,0,1,0,4,2,10,0,1.25,5,9,1.3,4.2,8,1.28,4.33,9,1.25,5,9,1.2,5.5,10,1.22,5,9.5
1,1,1,0,0,0,4,4,10,10,1.95,3.2,3.45,1.75,3.2,4,1.83,3.2,3.75,1.91,3.2,3.6,1.91,3.25,3.5,1.9,3.25,3.4
1,1,0,1,0,1,1,4,30,20,2.15,3.1,3.05,2.2,3,2.9,2.2,3.2,2.8,2.2,3.1,3,2.25,3.25,2.75,2.2,3.2,2.8
1,1,1,1,1,0,4,3,0,20,1.6,3.4,5.2,1.65,3.3,4.4,1.61,3.25,5,1.57,3.4,5.5,1.62,3.4,5,1.57,3.5,5
5,1,1,0,0,0,0,4,30,35,1.55,3.4,5.65,1.6,3.4,4.6,1.61,3.5,4.5,1.57,3.4,5.5,1.62,3.4,5,1.61,3.25,5
1,1,1,1,0,0,1,0,10,20,2.6,3.15,2.42,2.3,2.9,2.8,2.37,3.2,2.6,2.4,3.2,2.62,2.38,3.25,2.6,2.5,3.1,2.5
1,2,0,2,0,0,7,7,10,10,2.28,3.15,2.8,2.2,2.9,3,2.37,3.2,2.6,2.25,3.2,2.8,2.25,3.25,2.75,2.25,3.2,2.75
0,1,0,0,0,0,0,1,10,20,1.7,3.35,4.2,1.7,3.2,4.2,1.67,3.4,4.33,1.62,3.4,5,1.62,3.4,5,1.66,3.3,4.5
1,3,0,2,0,1,2,2,20,0,5.85,3.6,1.5,4.8,3.5,1.55,5.5,3.5,1.53,7,3.6,1.44,6,3.6,1.5,5.5,3.6,1.5
0,4,0,2,0,1,1,4,0,0,5.75,3.6,1.51,4.6,3.4,1.6,6,3.4,1.5,6,3.4,1.533,6,3.6,1.5,6.5,3.6,1.44
1,0,0,0,0,0,3,6,10,20,1.7,3.35,4.4,1.7,3.3,4,1.8,3.2,4,1.667,3.25,4.75,1.727,3.25,4.333,1.66,3.3,4.5
0,1,0,1,0,0,3,3,0,45,1.9,3.2,3.6,2,3.1,3.2,1.91,3.2,3.5,1.909,3.2,3.6,1.909,3.2,3.6,1.9,3,3.75
0,0,0,0,1,0,0,2,10,30,1.65,3.3,4.85,1.7,3.2,4.2,1.73,3.2,4.33,1.727,3.2,4.5,1.667,3.4,4.5,1.61,3.3,5
2,3,2,2,0,0,2,7,20,45,3.65,3.25,1.88,3.5,3.1,1.9,4,3.2,1.8,3.75,3.25,1.85,3.5,3.25,1.909,4,3.1,1.8
2,0,2,0,1,0,1,6,10,20,2.28,3.15,2.8,2.1,3,3.1,2.25,3.2,2.75,2.375,3.2,2.625,2.25,3.25,2.75,2.3,3.1,2.75
1,0,1,0,0,0,4,1,10,20,2.2,3.2,2.9,2.2,3,2.9,2.2,3.25,2.75,2.2,3.2,2.875,2.2,3.25,2.8,2.2,3.1,2.87
1,0,0,0,0,0,3,1,10,20,1.25,4.75,9.5,1.35,4,7,1.25,4.5,10,1.25,4.5,11,1.25,4.5,11,1.22,5,9.5
2,0,1,0,0,0,2,1,0,30,2.05,3.15,3.25,2,3.1,3.2,1.91,3.25,3.4,2.1,3.2,3.1,2.1,3.25,3,2,3.2,3.2
1,3,1,0,0,0,1,2,10,10,2.2,3.2,2.9,2.2,3,2.9,2.1,3.2,3,2.1,3.2,3,2.25,3.25,2.75,2.2,3.25,2.75
1,1,1,0,1,0,6,7,20,30,1.3,4.5,8,1.35,4,7,1.33,3.75,9,1.333,4.333,8,1.286,4.5,8.5,1.3,4.33,8
1,0,1,0,0,0,6,7,30,20,2.82,3.25,2.2,2.9,3,2.2,2.75,3.2,2.25,2.8,3.25,2.25,2.8,3.25,2.2,2.8,3.2,2.2
1,2,1,2,0,0,3,0,10,0,2.02,3.3,3.15,1.9,3.1,3.5,1.91,3.25,3.4,2.1,3.2,3.1,2,3.25,3.25,2.1,3.2,3
0,0,0,0,0,0,3,3,10,20,2.05,3.1,3.25,2,3,3.3,2.1,3.2,3,2.05,3.2,3.2,2.1,3.25,3,2,3.1,3.3
2,3,1,0,0,0,3,1,10,30,3.9,3.35,1.78,4,3.2,1.75,4.33,3.2,1.73,4.333,3.4,1.7,4.333,3.25,1.727,4.5,3.5,1.61
4,1,4,1,1,0,4,2,10,30,1.22,5.1,10,1.25,4.5,9,1.25,4.5,10,1.25,4.75,10,1.2,5.5,10,1.2,5,11
3,2,2,2,0,0,2,2,0,0,1.42,3.7,7,1.4,3.9,6,1.4,3.75,7,1.4,3.75,7.5,1.364,4.333,6.5,1.36,3.75,8
2,0,1,0,0,1,1,1,20,30,1.9,3.25,3.55,1.85,3.1,3.6,2.1,3.2,3,2.1,3.2,3.1,1.909,3.25,3.5,1.9,3.25,3.4
0,4,0,1,0,1,2,0,20,10,2.25,3.2,2.78,2.2,3,2.9,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.25,2.75,2.3,3.2,2.62
0,0,0,0,0,0,0,5,10,20,2.02,3.25,3.2,1.9,3.1,3.5,2,3.2,3.2,2,3.2,3.3,,,,2,3.2,3.2
1,1,1,0,0,0,4,4,10,10,2.48,3.1,2.55,2.7,3,2.3,2.6,3.2,2.37,2.6,3.1,2.5,2.375,3.2,2.6,2.5,3.1,2.5
1,0,1,0,0,0,1,4,10,30,2.2,3.2,2.9,2.2,3,2.9,2.25,3.2,2.75,2.2,3.2,2.9,2.375,3.2,2.6,2.25,3.1,2.8
0,1,0,0,1,0,1,8,0,10,2.25,3.15,2.85,2.2,3,2.9,2.25,3.2,2.75,2.15,3.2,3,2.2,3.25,2.8,2.2,3.2,2.8
2,0,1,0,1,2,4,1,30,45,1.85,3.2,3.8,1.8,3.1,3.8,1.8,3.2,4,1.95,3.1,3.6,1.833,3.25,3.75,1.9,3,3.75
0,6,0,2,0,0,2,4,0,0,3.35,3.25,1.95,3.2,3.1,2,3.2,3.2,2,3.2,3.2,2.05,3.25,3.25,2,3.4,3.25,1.9
2,2,0,1,0,0,4,6,10,10,3.05,3.2,2.1,2.8,2.9,2.3,3,3,2.2,3,3.1,2.2,2.8,3.25,2.2,3,3.2,2.1
3,1,3,1,2,0,3,3,0,10,1.48,3.7,5.85,1.5,3.7,5,1.5,3.4,6,1.5,3.5,6.5,1.444,3.75,6.5,1.5,3.4,6
2,1,1,0,1,0,3,5,0,10,1.42,3.65,7.25,1.55,3.5,4.8,1.44,3.6,6.5,1.444,3.6,7,1.4,4,6.5,1.36,3.75,8
0,2,0,1,0,0,1,2,0,10,7,3.8,1.4,5,3.7,1.5,6,3.75,1.44,7,4,1.4,6.5,3.75,1.444,8,3.75,1.36
0,1,0,0,1,0,3,6,0,50,3.9,3.15,1.85,4,3.2,1.75,4.33,3.2,1.73,4.2,3.25,1.8,4.333,3.25,1.727,3.8,3.25,1.8
2,1,1,0,1,0,6,3,10,20,2.35,3.2,2.65,2.2,2.9,3,2.5,2.87,2.62,2.4,3,2.75,2.375,3,2.75,2.4,2.9,2.75
4,1,3,1,1,0,4,1,0,10,1.4,3.75,7.45,1.55,3.5,4.8,1.4,3.75,7,1.444,3.6,7,1.4,4,6.5,1.44,3.5,7
0,3,0,0,0,0,1,0,40,20,2.1,3.25,3,2.1,3,3.1,2.2,3.25,2.75,2.2,3.2,2.9,2.2,3.25,2.8,2.1,3.2,3
1,1,0,0,0,0,4,2,0,20,1.47,3.5,6.7,1.55,3.5,4.8,1.44,3.6,6.5,1.5,3.4,6.5,1.533,3.4,6,1.5,3.3,6.5
1,0,0,0,0,0,5,4,0,0,1.35,4,8,1.35,4,7,1.33,4,8,1.4,3.75,7.5,1.3,4.333,8.5,1.33,4,8
0,0,0,0,0,0,1,7,35,30,1.9,3.2,3.6,2,3.1,3.2,1.8,3.2,4,2,3.2,3.3,1.8,3.4,3.75,2,3.2,3.2
1,0,0,0,0,0,1,1,20,75,1.9,3.15,3.7,1.9,3.1,3.5,1.83,3.2,3.75,1.85,3.25,3.8,1.833,3.25,3.75,1.9,3.2,3.5
0,0,0,0,1,0,5,3,0,30,1.45,3.6,6.7,1.45,3.8,5.4,1.57,3.5,5,1.444,3.6,7,1.444,3.75,6.5,1.5,3.4,6
0,1,0,0,0,1,1,1,30,10,2.75,3.1,2.33,2.7,3,2.3,2.8,2.87,2.37,2.75,3.1,2.375,2.75,3.25,2.25,2.8,3.1,2.25
2,1,1,1,0,0,3,1,0,10,1.68,3.35,4.55,1.7,3.2,4.2,1.67,3.25,4.5,1.727,3.25,4.5,1.727,3.25,4.333,1.66,3.3,4.5
1,1,1,0,0,0,3,1,10,25,2.25,3.15,2.8,2.3,2.9,2.8,2.25,3.2,2.75,2.3,3.1,2.875,2.2,3.25,2.8,2.37,3.1,2.62
2,1,0,0,0,0,9,2,20,10,3.05,3.15,2.12,3,2.9,2.2,2.8,3.2,2.2,3,3.1,2.2,2.875,3.2,2.2,3,3,2.2
0,2,0,1,1,0,0,3,30,20,3.05,3.1,2.15,3.1,3,2.1,3,3,2.2,3.1,3.1,2.15,2.875,3.2,2.2,3.1,2.87,2.2
1,3,0,0,0,0,1,0,0,10,1.95,3.15,3.5,1.9,3.1,3.5,1.83,3.2,3.75,1.833,3.2,4,,,,1.8,3.3,3.75
1,0,1,0,1,0,7,3,20,40,1.55,3.5,5.5,1.5,3.7,5,1.57,3.5,5,1.615,3.3,5.5,1.571,3.4,5.5,1.5,3.4,6
0,2,0,2,0,0,3,4,0,10,2.5,3.05,2.6,2.4,3,2.6,2.5,3.25,2.4,2.5,3.1,2.6,2.5,3.2,2.5,2.5,3.1,2.5
2,1,1,1,0,0,2,2,0,10,1.73,3.3,4.25,1.7,3.2,4.2,1.67,3.25,4.5,1.667,3.4,4.6,1.615,3.4,5,1.61,3.3,5
2,2,1,1,0,2,4,5,20,0,6.8,3.75,1.4,5,3.7,1.5,7,4,1.36,7.5,4,1.4,7.5,4,1.364,10,4,1.28
0,0,0,0,0,0,1,1,10,45,2.87,3.1,2.25,2.9,3,2.2,2.75,3.2,2.25,2.875,3.2,2.25,2.8,3.25,2.2,2.87,3,2.25
1,0,0,0,1,0,7,2,10,20,1.2,5.2,11,1.25,4.5,9,1.17,5.5,12,1.222,5,11,1.167,5.5,13,1.2,5,11
3,0,1,0,3,0,7,5,10,20,2.15,3.2,2.95,2.1,3,3.1,2.2,3.2,2.8,2.1,3.2,3.2,2.25,3.2,2.75,2.1,3.2,3
1,0,1,0,0,0,6,4,20,10,1.85,3.25,3.75,1.9,3.1,3.5,1.91,3.2,3.5,1.909,3.2,3.75,1.833,3.25,3.75,1.83,3.2,3.75
3,2,2,1,0,1,7,3,10,0,1.6,3.25,5.5,1.6,3.4,4.6,1.57,3.5,5,1.6,3.4,5.5,1.615,3.4,5,1.61,3.1,5.5
2,0,0,0,0,0,1,2,10,30,1.5,3.5,6.1,1.5,3.5,5.4,1.67,3.4,4.33,1.533,3.5,6,1.533,3.5,5.5,1.5,3.4,6
3,0,1,0,1,0,5,1,0,0,1.77,3.4,3.9,1.85,3.1,3.6,1.67,3.4,4.33,1.75,3.25,4.333,1.667,3.5,4.333,1.66,3.3,4.5
4,0,2,0,0,0,4,1,20,55,1.3,4.4,8,1.35,4,7,1.36,4,7,1.3,4.333,9,1.333,4,8.5,1.3,4.33,8
1,1,1,0,0,0,5,3,10,35,1.9,3.3,3.55,2,3.1,3.2,1.8,3.2,4,1.9,3.2,3.75,1.909,3.25,3.5,1.9,3.25,3.4
1,0,0,0,0,0,4,0,0,20,1.95,3.2,3.4,1.8,3.1,3.8,1.73,3.2,4.33,1.909,3.1,4,1.727,3.25,4.333,1.9,3.1,3.6
1,1,1,1,0,1,1,4,10,30,2.7,3.2,2.3,2.8,3.1,2.2,2.8,3.2,2.2,2.75,3.2,2.3,2.75,3.25,2.25,2.75,3.25,2.2
2,1,2,0,0,0,9,8,30,20,1.73,3.3,4.2,1.75,3.2,4,1.8,3.2,4,1.7,3.25,4.5,1.667,3.5,4.333,1.72,3.25,4.2
4,0,1,0,0,0,0,5,10,55,1.57,3.6,5,1.55,3.5,4.8,1.61,3.25,5,1.571,3.4,5.5,1.667,3.4,4.5,1.61,3.25,5
1,3,0,1,0,1,3,4,25,0,2.1,3.05,3.2,2,3,3.3,2.2,3.25,2.75,2.25,3.2,2.875,2,3.25,3.25,2.2,3,3
4,0,1,0,0,0,0,7,20,20,1.43,3.7,6.6,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.4,6.5,1.444,3.6,7,1.44,3.6,6.5
2,1,2,0,0,1,3,3,45,40,2.32,3,2.85,2,3,3.3,2.37,3.2,2.6,2.3,3.1,2.875,2.5,3,2.625,2.37,2.9,2.75
1,2,0,1,0,0,3,7,0,20,3.8,3.2,1.85,3.2,3.1,2,3.2,3.5,1.91,4,3.2,1.8,4,3.2,1.8,3.5,3.2,1.9
2,2,0,0,0,0,2,0,10,10,1.42,3.8,6.7,1.4,3.9,6,1.5,3.4,6,1.444,3.75,7,1.444,3.75,6.5,1.4,3.6,7.5
2,2,1,2,1,1,1,10,0,30,1.47,3.6,6.5,1.6,3.4,4.6,1.5,3.4,6,1.533,3.4,6.5,1.444,3.75,6.5,1.4,3.6,7.5
3,5,2,2,0,0,1,2,20,20,5.1,3.4,1.6,4.2,3.2,1.7,5,3.25,1.61,4.5,3.4,1.667,5,3.75,1.533,5,3.5,1.57
1,2,1,0,0,0,0,5,10,20,3.35,3.1,2,3.3,3,2,3.75,3.2,1.83,3.5,3.25,1.95,3.75,3.25,1.833,3.75,3.2,1.83
3,1,2,0,0,0,3,0,20,10,1.54,3.45,5.65,1.6,3.4,4.6,1.67,3.25,4.5,1.571,3.4,5.75,1.533,3.5,5.5,1.57,3.25,5.5
0,1,0,0,1,0,0,3,10,0,1.9,3.1,3.7,1.9,3.1,3.5,1.8,3.2,4,1.8,3.4,3.8,1.727,3.25,4.333,1.8,3.1,4
1,2,0,2,0,0,5,6,10,20,1.78,3.25,4.05,1.9,3.1,3.5,1.67,3.4,4.33,1.8,3.25,4,1.571,3.6,5,1.66,3.3,4.5
3,4,0,1,0,0,6,9,20,30,2,3.2,3.3,2.1,3,3.1,1.83,3.2,3.75,2,3.2,3.3,2,3.25,3.25,2,3.1,3.3
0,0,0,0,1,0,4,3,10,20,2.27,3.1,2.85,2.1,3,3.1,2.2,3.25,2.75,2.3,3.2,2.7,2.375,3.2,2.6,2.4,3.1,2.6
0,2,0,2,2,2,0,0,20,20,5.5,3.6,1.52,4.6,3.4,1.6,4.5,3.5,1.61,5,3.4,1.615,4.5,3.6,1.615,4.5,3.3,1.66
0,1,0,1,0,0,3,1,40,20,1.21,5,11,1.25,4.5,9,1.25,4.5,10,1.222,5.5,9,1.2,5.5,10,1.22,5,9.5
1,1,0,0,0,0,5,0,20,30,1.92,3.15,3.65,1.9,3.1,3.5,2.1,3.2,3,1.95,3.25,3.4,,,,1.9,3.2,3.5
0,2,0,2,0,0,1,1,20,20,2.15,3.15,2.95,2.1,3,3.1,2.1,3.2,3,2.1,3.1,3.1,2.2,3.25,2.8,2.2,3.1,2.87
1,0,0,0,0,0,11,1,10,10,1.86,3.15,3.85,2,3.1,3.2,1.91,3.2,3.5,1.909,3.2,3.75,1.8,3.25,4,1.83,3.2,3.75
6,2,2,2,0,0,1,0,0,30,1.58,3.4,5.2,1.55,3.5,4.8,1.61,3.5,4.5,1.571,3.4,5.5,1.571,3.4,5.5,1.53,3.4,5.5
3,0,3,0,0,0,5,6,0,30,1.26,4.7,9,1.3,4.2,8,1.25,4.5,10,1.25,4.5,10,1.222,5,10,1.25,4.5,10
3,2,2,2,0,0,8,3,30,10,2.3,3.1,2.8,2.1,2.9,3.2,2.2,3.25,2.75,2.3,3.2,2.7,2.5,3.2,2.5,2.5,3.1,2.5
2,1,0,0,3,0,6,9,30,40,1.35,4.1,7.8,1.4,3.7,6.4,1.44,3.6,6.5,1.333,4.2,8,1.4,4,6.5,1.36,4,7
3,4,1,3,0,1,3,1,10,20,2.9,3.15,2.2,2.8,3.1,2.2,2.75,3.2,2.25,2.875,3.2,2.2,2.8,3.25,2.2,3.1,3.1,2.1
2,1,1,0,0,1,3,0,0,10,3.25,3.15,2.05,,,,3.4,3.25,1.91,3.5,3.4,1.85,3.4,3.4,1.909,3.2,3.2,2
2,0,2,0,0,0,4,8,10,20,1.3,4.5,8,1.35,4,7,1.33,4,8,1.3,4.333,8.5,1.286,4.5,8.5,1.3,4.2,8.5
1,1,0,1,0,1,3,1,0,30,2.2,3.15,2.9,2,3,3.3,2.25,3.2,2.75,2.2,3.2,2.875,2.1,3.25,3,2.25,3.2,2.75
1,1,1,1,1,1,5,3,10,10,2.05,3.1,3.25,2.1,3,3.1,1.83,3.4,3.6,2,3.1,3.4,1.833,3.4,3.6,2,3.1,3.3
3,1,1,0,0,0,4,2,0,20,1.82,3.25,3.9,1.8,3.1,3.8,1.8,3.25,3.75,1.85,3.25,3.75,1.8,3.25,4,1.8,3.1,4
2,0,2,0,0,0,7,4,0,10,1.84,3.25,3.7,1.9,3.1,3.5,1.91,3.2,3.5,1.909,3.25,3.5,1.909,3.25,3.5,2,3.2,3.2
0,3,0,3,0,0,3,0,20,20,5.4,3.5,1.55,4.6,3.4,1.6,5.5,3.6,1.5,6,3.5,1.5,5,3.6,1.571,5,3.5,1.57
0,1,0,1,0,0,2,9,10,0,2.08,3.2,3.1,1.9,3.1,3.5,2,3.2,3.2,2.05,3.2,3.2,2.1,3.25,3,2.2,3.1,2.87
3,1,1,0,0,2,5,1,35,35,1.87,3.2,3.75,2,2.9,3.4,1.8,3.2,4,1.909,3.25,3.5,1.8,3.4,3.75,1.8,3.3,3.75
0,1,0,1,0,0,3,0,10,10,2,3.15,3.35,1.9,3.1,3.5,2.1,3.2,3,1.95,3.2,3.5,2.2,3.25,2.8,2.25,3.1,2.8
0,0,0,0,0,0,4,8,0,0,3.12,3.2,2.07,3.2,3.1,2,2.87,3.4,2.1,3.2,3.2,2.05,2.875,3.4,2.1,3.2,3.2,2
2,1,2,1,1,0,1,5,30,20,1.5,3.6,6,1.5,3.7,5,1.5,3.4,6,1.5,3.5,6,1.5,3.5,6,1.5,3.6,5.5
2,1,2,0,0,0,3,1,20,0,2.85,3.2,2.2,3.1,3,2.1,2.8,3.2,2.2,3.3,3.2,2.05,2.625,3.2,2.375,2.5,3.1,2.5
1,1,1,1,0,1,4,5,0,0,2.7,3.2,2.32,2.9,3,2.2,2.75,3.2,2.25,2.75,3.2,2.25,2.6,3.2,2.375,2.75,3.2,2.25
2,1,1,0,0,0,1,5,10,40,1.5,3.6,5.8,1.4,3.9,6,1.5,3.4,6,1.444,3.75,7,1.444,3.75,6.5,1.44,3.25,8
4,1,4,0,0,0,3,1,0,0,2.02,3.2,3.25,1.9,3.1,3.5,2,3.4,3,2.1,3.4,3,2.1,3.25,3,2,3.2,3.2
