FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,5,0,1,1.95,3,3.7,2.1,2.9,3.2,2.1,2.8,3.4,,,,1.91,3,3.75,2,2.9,3.6
1,0,1,0,2.45,2.85,2.8,2.5,2.8,2.7,2.25,3,2.87,,,,2.38,2.88,2.8,2.4,2.8,2.87
0,2,0,1,1.75,3.2,4.3,1.75,3.2,4,1.61,3.25,5,,,,1.73,3.2,4.33,1.72,3.1,4.5
2,4,1,0,,,,2.3,2.8,2.9,2.5,2.87,2.62,,,,2.5,2.88,2.62,2.5,2.8,2.7
0,1,0,1,2.1,2.9,3.4,2.2,2.8,3.1,2.2,2.75,3.25,,,,2.1,3,3.2,2.1,2.8,3.4
5,1,2,0,1.32,4.1,8,1.35,4,7,1.3,4.33,8,,,,1.3,4.33,8,1.33,4,8
1,0,1,0,2.1,2.9,3.4,2,2.9,3.4,2,3,3.4,,,,2,2.88,3.6,2.1,2.8,3.4
0,0,0,0,3.4,3,2.05,3.6,3,1.9,4,3,1.83,,,,3.2,3,2.1,3.6,2.9,2
0,0,0,0,2,3.05,3.45,2,2.9,3.4,,,,2,3.1,3.3,1.91,3,3.75,1.9,3.1,3.6
2,0,0,0,2.2,3,3.05,2.1,2.9,3.2,,,,2.2,3.1,2.9,2.2,3,3,2.2,2.87,3.1
3,2,0,0,1.63,3.2,5.25,1.55,3.4,5,1.67,3.2,5,1.67,3.2,4.75,1.57,3.25,5.5,1.66,3.1,5
3,0,1,0,1.68,3.15,4.9,1.8,3,4,1.73,3.2,4.33,1.73,3.1,4.5,1.73,3.2,4.33,1.66,2.9,5.5
0,2,0,1,1.83,3.05,4.15,1.85,3,3.8,1.73,2.87,5,1.83,3.1,4,1.83,2.88,4.33,1.8,2.9,4.5
0,0,0,0,1.45,3.6,6.5,1.4,3.7,6.4,1.4,3.75,7,1.44,3.6,6.5,1.4,3.75,7,1.44,3.5,7
2,2,1,2,1.6,3.25,5.4,1.6,3.2,5,1.61,3.25,5,1.6,3.3,5,1.57,3.25,5.5,1.61,3.1,5.5
1,0,0,0,1.93,3,3.75,1.85,3,3.8,1.91,3,3.75,1.85,3.1,3.8,2,2.8,3.75,1.9,2.87,4
1,2,1,0,1.68,3.5,4.2,1.85,3,3.8,1.8,3.2,4,1.8,3.1,4.2,1.8,3.1,4,1.72,3.25,4.2
0,0,0,0,2.7,3,2.3,2.6,2.8,2.6,,,,2.75,3,2.4,2.75,2.88,2.4,2.75,2.9,2.4
1,1,0,0,3.65,3.05,1.95,3.4,2.9,2,3.75,3,1.91,3.4,3.1,2,3.75,3,1.91,3.6,2.87,2
3,2,3,2,1.7,3.2,4.65,1.8,3.1,3.8,1.73,2.87,5,1.73,3.1,4.6,1.73,3.2,4.33,1.72,3.1,4.5
2,0,2,0,1.3,4.35,8.5,1.35,4,7,1.25,4.5,10,1.3,4.33,8.5,1.29,4.33,8.5,1.28,4.33,8.5
5,0,3,0,1.5,3.55,6,1.65,3.2,4.6,1.53,3.25,6,1.57,3.3,5.6,1.53,3.25,6,1.61,3.1,5.5
2,1,1,0,1.6,3.3,5.3,1.55,3.4,5,1.61,3.2,5.5,1.62,3.25,5.25,1.62,3.1,5.5,1.61,3.1,5.5
