HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,bit0,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8,bit9,bit10,bit11,bit12,bit13,bit14,bit15
Stuttgart,Augsburg,,,,,1.8,3.75,4.2,1.85,3.5,4.15,1.85,3.5,4.15,2.0,3.3,3.6,1.75,3.8,4.33,1.85,4.0,3.75,1.87,4.0,3.8,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Schalke 04,Bayern Munich,,,,,9.0,5.0,1.33,8.5,5.5,1.3,8.5,5.5,1.3,10.0,5.2,1.27,10.0,5.75,1.29,11.0,6.0,1.25,13.0,6.5,1.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sociedad,Sevilla,,,,,2.6,3.2,2.7,2.6,3.2,2.7,2.6,3.2,2.7,2.65,3.3,2.5,2.62,3.3,2.62,2.62,3.4,2.6,2.7,3.5,2.55,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1
Real Madrid,Barcelona,,,,,2.2,3.5,3.1,2.1,3.7,3.1,2.1,3.7,3.1,2.1,3.5,3.2,2.05,3.7,3.0,2.2,3.8,2.9,2.2,3.8,3.0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1
Espanol,Malaga,,,,,2.5,3.1,2.9,2.35,3.1,3.1,2.35,3.1,3.1,2.5,3.2,2.75,2.5,3.1,2.8,2.4,3.1,3.1,2.38,3.25,3.12,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1
La Coruna,Celta,,,,,3.4,3.3,2.15,3.4,3.25,2.15,3.4,3.25,2.15,2.9,3.3,2.3,3.1,3.4,2.25,2.9,3.4,2.37,3.0,3.5,2.3,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1
Bologna,Roma,,,,,6.0,3.8,1.57,5.75,3.75,1.6,5.75,3.75,1.6,4.7,3.6,1.7,5.5,3.8,1.62,4.75,3.6,1.75,5.4,3.6,1.7,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1
Juventus,Milan,,,,,1.57,4.0,5.75,1.6,3.8,5.5,1.6,3.8,5.5,1.6,3.7,5.4,1.62,3.75,5.75,1.61,3.6,6.0,1.6,3.7,6.5,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0
Bastia,Ajaccio,,,,,2.0,3.4,3.75,2.0,3.25,3.8,2.0,3.25,3.8,2.1,3.15,3.45,2.05,3.2,3.8,2.05,3.1,4.0,2.0,3.12,4.33,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0
Monaco,Nantes,,,,,1.57,4.0,5.5,1.65,3.6,5.5,1.65,3.6,5.5,1.7,3.5,4.85,1.65,3.6,5.75,1.7,3.4,5.5,1.7,3.5,5.75,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
