Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E3,08/08/15,Accrington,Luton,1,1,D,0,0,D,G Eltringham,12,10,4,4,12,15,3,4,1,0,0,0,3.2,3.4,2.4,3.1,3.2,2.15,2.8,3.1,2.2,3.1,3.25,2.4,3.08,3.34,2.46,2.9,3.2,2.5,3,3.4,2.5,44,3.25,2.96,3.4,3.19,2.5,2.38,37,2.28,2.16,1.7,1.65,25,0.25,1.82,1.77,2.14,2.06
E3,08/08/15,AFC Wimbledon,Plymouth,0,2,A,0,1,A,B Toner,14,11,3,6,9,7,11,5,1,0,0,0,2.5,3.4,3,2.35,3.25,2.75,2.4,3.1,2.5,2.5,3.2,3,2.58,3.26,2.98,2.5,3.1,3,2.6,3.4,2.9,44,2.6,2.48,3.4,3.16,3,2.83,37,2.38,2.23,1.67,1.61,27,0,1.86,1.8,2.11,2.01
E3,08/08/15,Bristol Rvs,Northampton,0,1,A,0,0,D,M Heywood,2,11,2,3,11,8,1,9,1,1,0,0,2.35,3.4,3.3,2.2,3.25,2.95,2.2,3.1,2.8,2.38,3.25,3.2,2.33,3.41,3.24,2.3,3.1,3.3,2.38,3.4,3.25,44,2.38,2.28,3.41,3.24,3.3,3.09,41,2.2,2.1,1.8,1.7,26,-0.25,2.01,1.95,1.93,1.86
E3,08/08/15,Cambridge,Newport County,3,0,H,1,0,H,D Handley,10,14,7,2,9,12,3,7,1,2,0,0,1.95,3.6,4.33,1.85,3.4,3.75,1.85,3.2,3.5,1.91,3.25,4.5,2.03,3.57,3.9,1.95,3.25,4.2,2.05,3.6,3.9,44,2.05,1.93,3.6,3.36,4.5,3.89,41,2.2,2.1,1.76,1.69,27,-0.5,2.04,1.95,1.92,1.86
E3,08/08/15,Exeter,Yeovil,3,2,H,2,0,H,G Ward,9,6,4,3,5,10,5,5,1,0,0,0,2.45,3.4,3.1,2.4,3.2,2.7,2.3,3.1,2.6,2.4,3.25,3.1,2.47,3.36,3.05,2.5,3.1,3,2.45,3.4,3.1,44,2.5,2.4,3.4,3.21,3.1,2.91,38,2.17,2.09,1.77,1.69,27,0,1.8,1.73,2.2,2.11
E3,08/08/15,Hartlepool,Morecambe,2,0,H,1,0,H,D England,11,15,5,4,12,14,4,4,4,2,0,0,2.45,3.4,3.1,2.4,3.25,2.65,2.2,3.1,2.8,2.5,3.2,3,2.51,3.36,2.99,2.4,3.1,3.1,2.55,3.4,2.9,44,2.55,2.41,3.4,3.2,3.2,2.9,41,2.2,2.09,1.8,1.71,26,-0.25,2.16,2.09,1.79,1.75
E3,08/08/15,Leyton Orient,Barnet,2,0,H,0,0,D,I Williamson,9,8,5,2,9,13,1,3,4,1,0,0,2.15,3.5,3.6,2,3.3,3.4,2,3.2,3.1,2.1,3.25,3.75,2.06,3.42,3.96,2.1,3.1,3.4,2.15,3.5,3.6,44,2.2,2.05,3.5,3.28,3.96,3.55,37,2.27,2.16,1.7,1.65,27,-0.5,2.14,2.05,1.86,1.78
E3,08/08/15,Mansfield,Carlisle,1,1,D,1,1,D,L Swabey,14,10,6,3,13,12,6,5,0,1,0,0,2.45,3.4,3.1,2.4,3.2,2.7,2.4,3.1,2.5,2.4,3.25,3.1,2.5,3.28,3.09,2.5,3.1,3,2.45,3.4,3.1,44,2.5,2.39,3.4,3.19,3.1,2.94,38,2.29,2.18,1.7,1.64,27,0,1.76,1.71,2.28,2.14
E3,08/08/15,Oxford,Crawley Town,1,1,D,0,0,D,J Simpson,9,6,6,2,11,16,6,3,1,3,0,0,1.8,3.75,5,1.72,3.5,4.25,1.8,3.3,3.6,1.8,3.4,5,1.76,3.79,5.06,1.75,3.5,4.6,1.75,3.75,5,39,1.83,1.74,3.79,3.55,5.06,4.63,39,2.11,2.01,1.85,1.76,26,-0.5,1.81,1.75,2.21,2.09
E3,08/08/15,Portsmouth,Dag and Red,3,0,H,0,0,D,C Boyeson,12,4,5,0,3,6,11,2,0,0,0,0,1.7,3.9,5.5,1.62,3.5,5,1.55,3.5,4.8,1.67,3.75,5.5,1.75,3.82,5.11,1.67,3.6,5.5,1.75,3.9,5,44,1.75,1.67,3.9,3.64,6,5.05,43,2.16,2.04,1.82,1.74,24,-0.75,1.99,1.91,1.94,1.9
E3,08/08/15,Stevenage,Notts County,0,2,A,0,1,A,G Salisbury,8,11,3,6,16,16,11,12,1,4,1,1,2.5,3.4,3,2.2,3.2,3,2.2,3.1,2.8,2.4,3.2,3.1,2.5,3.35,3.02,2.5,3.1,3,2.5,3.4,3,44,2.5,2.41,3.4,3.2,3.1,2.9,38,2.29,2.17,1.7,1.64,26,-0.25,2.17,2.08,1.81,1.76
E3,08/08/15,Wycombe,York,3,0,H,2,0,H,O Langford,7,6,3,0,14,13,6,3,3,1,0,0,2.25,3.4,3.5,2.15,3.25,3.1,2.1,3.1,3,2.25,3.2,3.4,2.27,3.37,3.42,2.25,3.1,3.4,2.25,3.4,3.5,44,2.3,2.19,3.4,3.22,3.5,3.28,38,2.28,2.16,1.7,1.65,26,-0.25,1.96,1.89,1.99,1.92
E3,14/08/15,Notts County,Mansfield,0,2,A,0,1,A,T Robinson,13,10,4,4,14,16,3,5,3,4,0,0,1.95,3.6,4.2,1.9,3.4,3.6,1.8,3.3,3.6,1.95,3.5,4,1.94,3.63,4.24,2,3.3,3.6,1.95,3.6,4.33,44,2,1.91,3.63,3.42,4.33,3.86,43,2.05,1.96,1.9,1.8,27,-0.5,1.97,1.91,1.99,1.9
