1.36,5.4,11.5,1.44,5,8.8,0.9936,1,0.968,1.3,4.6,8.5,1.35,4.75,6.55,0.9315,0.95,0.7205,1.33,4.6,8.5,1.44,4.5,8,0.9936,0.9,0.88,1.35,5,7.2,1.33,5,8,0.9177,1,0.88,1.3,5.25,10,1.33,5,9.5,0.9177,1,1.045,1.33,4.33,8.5,1.4,4.5,8,0.966,0.9,0.88,1.35,4.75,8.25,1.44,4.5,6.5,0.9936,0.9,0.715,1.36,5,7.5,1.45,4.75,8,1.0005,0.95,0.88,1.33,4.75,9,1.33,4.75,9,0.9177,0.95,0.99,1.35,4.5,7.3,1.44,4.75,7.25,0.9936,0.95,0.7975,1.12,-1.5,0.77,1.05,-1.25,0.87,1.06,2.75,0.8,0.87,2.75,1.03,0.1,12,-1
2.48,3.4,3.2,2.52,3.25,3.35,0.9828,0.975,1.0385,2.3,3.25,2.75,2.2,3.2,2.95,0.858,0.96,0.9145,2.37,3.25,2.8,2.3,3.2,3.4,0.897,0.96,1.054,2.2,3.3,3.1,2.3,3.3,2.9,0.897,0.99,0.899,2.4,3.2,3,2.4,3.2,3,0.936,0.96,0.93,2.4,3.3,2.7,2.37,3.2,3,0.9243,0.96,0.93,2.4,3.1,3,2.5,3.2,3.1,0.975,0.96,0.961,2.25,3.5,3,2.3,3.25,3.5,0.897,0.975,1.085,2.4,3.2,2.9,2.25,3.1,3.25,0.8775,0.93,1.0075,2.25,3.3,2.8,2.28,3.2,3.45,0.8892,0.96,1.0695,1,-0.25,0.88,0.96,-0.25,0.96,0.98,2.25,0.88,0.85,2,1.05,0,1,-1
3.25,3.45,2.42,3.15,3.45,2.48,0.9765,1.0005,0.992,2.8,3.3,2.25,2.75,3.25,2.3,0.8525,0.9425,0.92,3.5,3.25,2.05,3.2,3.4,2.3,0.992,0.986,0.92,3.1,3.3,2.2,2.9,3.3,2.3,0.899,0.957,0.92,3.1,3.3,2.3,3,3.3,2.35,0.93,0.957,0.94,3.2,3.3,2.1,3.1,3.1,2.4,0.961,0.899,0.96,3.2,3.3,2.2,2.95,3.25,2.55,0.9145,0.9425,1.02,3,3.5,2.25,3.1,3.4,2.45,0.961,0.986,0.98,3,3.3,2.3,2.95,3.3,2.35,0.9145,0.957,0.94,2.9,3.3,2.2,3,3.4,2.42,0.93,0.986,0.968,0.87,0.25,1.01,0.84,0.25,1.08,0.98,2.5,0.88,0.8,2.5,1,12,22,0
2.08,3.4,4.2,1.91,3.55,5.1,0.955,0.994,1.122,1.93,3.32,3.5,1.95,3.25,3.55,0.975,0.91,0.781,2,3.25,3.6,1.9,3.4,4.33,0.95,0.952,0.9526,2.1,3.3,3.3,2,3.3,3.6,1,0.924,0.792,1.95,3.4,3.85,1.83,3.4,4.5,0.915,0.952,0.99,2.1,3.3,3.2,1.85,3.3,4.5,0.925,0.924,0.99,2,3.3,3.7,1.95,3.4,4.33,0.975,0.952,0.9526,2,3.4,3.75,2,3.3,4.5,1,0.924,0.99,2,3.3,3.75,1.8,3.3,4.6,0.9,0.924,1.012,2.02,3.35,3.25,2,3.3,4.2,1,0.924,0.924,1.05,-0.5,0.83,1.01,-0.5,0.91,0.96,2.25,0.9,1.11,2.25,0.8,0,1,-1
3.7,3.55,2.16,3.85,3.65,2.12,1.001,1.022,0.9752,3.18,3.3,2.05,3.4,3.2,2,0.884,0.896,0.92,3.3,3.3,2.1,3.75,3.4,2.05,0.975,0.952,0.943,3.1,3.3,2.2,3.1,3.3,2.2,0.806,0.924,1.012,3.6,3.4,2.05,3.75,3.4,2,0.975,0.952,0.92,3.2,3.3,2.1,3.6,3.3,2.05,0.936,0.924,0.943,3.3,3.4,2.1,3.6,3.5,2.1,0.936,0.98,0.966,3.2,3.4,2.2,3.8,3.6,2.05,0.988,1.008,0.943,3.4,3.3,2.1,3.6,3.4,2,0.936,0.952,0.92,3.1,3.3,2.1,3.85,3.45,2.02,1.001,0.966,0.9292,1.05,0.25,0.83,0.9,0.5,1.02,0.96,2.5,0.9,0.95,2.5,0.95,0,1,-1
2.28,3.4,3.65,2.18,3.5,3.75,0.9592,1.015,1.0125,2.1,3.27,3.1,2,3.1,3.55,0.88,0.899,0.9585,2.3,3.3,2.9,2.2,3.4,3.5,0.968,0.986,0.945,2.2,3.3,3.1,2.2,3.3,3.1,0.968,0.957,0.837,2.15,3.3,3.4,2.1,3.3,3.5,0.924,0.957,0.945,2.25,3.3,2.9,2.05,3.2,3.8,0.902,0.928,1.026,2.2,3.3,3.1,2.2,3.4,3.4,0.968,0.986,0.918,2.3,3.5,2.87,2.1,3.5,3.75,0.924,1.015,1.0125,2.15,3.2,3.4,2.05,3.25,3.6,0.902,0.9425,0.972,2.15,3.3,3,2.04,3.3,4,0.8976,0.957,1.08,0.9,-0.25,0.98,1.04,-0.5,0.88,1.12,2.5,0.75,1,2.25,0.9,11,22,0
1.31,5.9,12.5,1.3,6,14.5,0.975,1.02,1.16,1.25,5,9.5,1.25,5.2,8.85,0.9375,0.884,0.708,1.3,4.8,9,1.28,6,11,0.96,1.02,0.88,1.33,5,7.8,1.3,5,9,0.975,0.85,0.72,1.28,5.5,10,1.25,5.5,13,0.9375,0.935,1.04,1.25,5,10,1.3,5,10,0.975,0.85,0.8,1.3,5.25,9.25,1.33,5.5,9.75,0.9975,0.935,0.78,1.33,5,8.5,1.3,5.75,12,0.975,0.9775,0.96,1.28,5.25,9.5,1.25,5.5,12,0.9375,0.935,0.96,1.28,5,8.3,1.29,5.85,10.2,0.9675,0.9945,0.816,0.93,-1.5,0.95,1.02,-1.5,0.9,0.96,2.75,0.9,0.84,2.75,0.96,11,21,1
1.4,5.2,9.6,1.42,5.2,9.4,0.9798,0.988,1.034,1.33,4.5,7.6,1.35,4.5,7,0.9315,0.855,0.77,1.36,4.5,8,1.4,4.6,8.5,0.966,0.874,0.935,1.37,4.6,7.5,1.37,4.6,7.5,0.9453,0.874,0.825,1.37,4.75,8,1.35,5,8.5,0.9315,0.95,0.935,1.36,4.2,8,1.36,4.5,9,0.9384,0.855,0.99,1.36,4.75,7.75,1.42,4.75,7.75,0.9798,0.9025,0.8525,1.4,4.5,7.5,1.44,4.75,8.5,0.9936,0.9025,0.935,1.36,4.7,8,1.36,4.75,8,0.9384,0.9025,0.88,1.35,4.5,7.3,1.44,4.7,7.7,0.9936,0.893,0.847,1.08,-1.5,0.8,1,-1.25,0.92,0.85,2.75,1.01,0.8,2.75,1,10,21,1
6,4.6,1.62,5.9,4.4,1.65,1.062,1.056,0.957,5.4,3.8,1.52,5.3,4.1,1.48,0.954,0.984,0.8584,5,3.75,1.61,5,4.2,1.66,0.9,1.008,0.9628,4.9,3.7,1.65,4.9,3.6,1.67,0.882,0.864,0.9686,5.75,4,1.57,5.5,4,1.57,0.99,0.96,0.9106,6,3.8,1.5,5,3.75,1.67,0.9,0.9,0.9686,5.5,4,1.57,4.75,3.8,1.67,0.855,0.912,0.9686,5,3.75,1.66,5.75,4.33,1.61,1.035,1.0392,0.9338,5.5,4,1.57,5,4,1.6,0.9,0.96,0.928,5.2,3.8,1.55,5.4,4.2,1.61,0.972,1.008,0.9338,1.12,0.75,0.77,0.87,1,1.05,0.96,2.75,0.9,0.95,2.75,0.95,1,2,-2
10,5.1,1.4,10.5,5.1,1.4,1.155,1.02,0.966,7.3,4.4,1.35,9,4.45,1.3,0.99,0.89,0.897,9,3.8,1.4,9,4.8,1.4,0.99,0.96,0.966,6.8,4.6,1.4,6.8,4.6,1.4,0.748,0.92,0.966,8,4.75,1.37,9,4.75,1.35,0.99,0.95,0.9315,6,3.8,1.5,9,4.5,1.36,0.99,0.9,0.9384,7.5,4.6,1.4,7.5,4.6,1.4,0.825,0.92,0.966,6.5,4.5,1.44,9,5,1.4,0.99,1,0.966,8,4.7,1.36,8,4.7,1.36,0.88,0.94,0.9384,7.3,4.5,1.35,7.7,5,1.4,0.847,1,0.966,0.83,1.5,1.05,0.66,1.5,1.35,1.01,2.5,0.85,0.82,2.5,0.98,13,13,-2
