FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
1,1,1,0,2,3.25,3.25,2.1,3,3.3,2,3,3.6,2.1,2.9,3.2,2,3,3.4,2.1,3,3.25,1.9,3.1,3.6,2,1.65,1.85,1.95,-0.25,,,,,,
2,1,0,0,2.75,3.25,2.25,3.1,3,2.2,2.9,3,2.3,2.9,2.8,2.3,2.75,3.2,2.25,2.88,3,2.3,2.8,3.1,2.25,2.1,1.6,1.47,2.3,0.5,,,,,,
1,1,1,0,3,3.1,2.2,3.5,3.05,2,3.1,3,2.2,3.2,2.9,2.1,3.2,3.2,2,3.1,3,2.2,3,3,2.2,2.2,1.55,1.52,2.2,0.5,,,,,,
1,1,1,0,1.83,3.25,3.75,2,3.05,3.5,1.9,3.1,3.8,1.9,3.1,3.5,2,3,3.4,1.91,3.1,3.75,1.9,3.1,3.6,2.3,1.5,1.9,1.71,-0.5,,,,,,
1,1,1,1,2.37,3,2.75,2.25,3,3,2.5,3,2.65,2.4,2.9,2.7,2.38,3.2,2.6,2.38,3,2.75,2.37,3,2.7,2.2,1.55,1.85,1.95,0,,,,,,
1,0,0,0,1.57,3.4,5.5,1.6,3.5,5,1.61,3.3,5.35,1.65,3.3,4.4,1.5,3.4,6,1.57,3.4,5.5,1.57,3.3,5.5,1.95,1.71,1.8,2,-0.75,,,,,,
2,0,1,0,2,3,3.5,1.85,3.1,4,2.1,3.1,3.2,1.9,3.1,3.5,1.91,3.2,3.5,2.05,3,3.4,1.83,3.2,3.75,2.1,1.6,1.77,2.05,-0.25,,,,,,
1,1,1,1,2.5,3,2.62,2.4,3,2.75,2.5,3,2.65,2.3,2.9,2.8,2.38,3.2,2.6,2.5,3,2.62,2.37,3,2.7,2.1,1.6,1.8,2,0,,,,,,
1,0,1,0,1.53,3.4,6,1.55,3.5,5.5,1.53,3.4,6.1,1.55,3.5,4.8,1.44,3.6,6.5,1.53,3.4,6,1.5,3.4,6,1.95,1.71,1.95,1.85,-1,,,,,,
1,3,1,1,1.53,3.4,6,1.5,3.4,6.5,1.53,3.4,6.1,1.45,3.6,5.8,1.5,3.4,6,1.53,3.4,6,1.5,3.4,6,1.85,1.79,2,1.8,-1,,,,,,
2,2,1,2,1.72,3.25,4.33,1.75,3.15,4.5,1.8,3.1,4.25,2,3.1,3.2,1.83,3.2,2.75,1.83,3.1,4,1.9,3.1,3.6,2.2,1.55,1.8,1.79,-0.5,,,,,,
1,1,1,0,1.83,3.25,3.75,1.85,3.25,3.75,1.85,3.1,4,1.8,3.1,3.8,,,,1.85,3.2,3.75,1.72,3.2,4.33,2,1.65,1.85,1.75,-0.5,,,,,,
2,2,0,0,1.4,3.8,7,1.4,3.9,7,1.4,3.9,7.1,1.4,3.7,6.5,1.44,3.6,6.5,1.44,3.6,7,1.44,3.6,6.5,1.75,1.9,1.95,1.85,-1.25,,,,,,
1,0,1,0,2.5,3,2.6,2.35,3.3,2.6,2.45,3,2.7,2.3,2.9,2.8,2.375,3.2,2.6,2.5,3,2.6,2.5,3.1,2.5,2,1.65,1.8,2,0,,,,,,
1,0,0,0,2.5,3.1,2.5,2.6,3.2,2.4,2.65,3,2.5,2.5,3,2.5,2.5,3,2.6,2.6,3,2.5,2.62,2.9,2.5,2.2,1.55,1.9,1.9,0,,,,,,
1,1,1,0,3.5,3,2,4.3,3.1,1.8,3.6,3,2,3.6,3.1,1.85,3.4,3,2,3.6,3.2,1.9,3.75,3.2,1.83,1.95,1.71,1.64,2,0.5,,,,,,
1,0,0,0,1.909,3,3.75,1.9,3.1,3.8,1.9,3,3.95,2,2.9,3.4,1.909,3,3.75,1.9,3.1,3.75,1.83,3,4,2.2,1.55,1.9,1.71,-0.5,,,,,,
