FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
2,1,1,0,2.25,3.4,2.62,2.35,3.3,2.6,2,3.2,3.1,,,,2.25,3.25,2.75,2.25,3.3,2.55,1.75,1.95,,,
1,1,1,1,2.4,3.4,2.4,2.45,3.25,2.5,2.4,3.2,2.4,,,,2.4,3.3,2.5,2.3,3.3,2.5,1.75,1.95,,,
2,1,1,0,1.4,3.75,7,1.33,4.3,7.55,1.4,3.9,6,,,,1.44,3.75,6.5,1.45,3.6,5.8,1.65,2.05,,,
1,3,1,1,2.37,3.4,2.5,2.45,3.25,2.5,2.4,3.2,2.4,,,,2.4,3.2,2.6,2.37,3.3,2.5,1.71,2,,,
1,1,1,1,2.1,3.4,2.87,2.1,3.25,3,2.2,3.1,2.8,,,,2.1,3.4,2.87,2.1,3.3,2.8,1.85,1.85,,,
4,2,3,0,4.5,3.5,1.61,4.6,3.4,1.65,4.4,3.3,1.65,,,,4.5,3.4,1.66,5,3.8,1.5,1.65,2.05,,,
3,0,2,0,1.72,3.5,4,1.65,3.5,4.5,1.7,3.3,4,,,,1.66,3.4,4.33,1.55,3.5,4.8,1.65,2.05,,,
0,1,0,0,1.25,5,8,1.22,5,10.5,1.22,4.7,9,,,,1.25,4.5,9.5,1.22,5,9.5,1.35,2.85,,,
1,1,0,1,1.66,3.4,4.33,1.63,3.4,4.85,1.7,3.3,4,,,,1.66,3.25,4.6,1.65,3.35,4.25,1.65,2.05,,,
6,0,2,0,1.25,5,8,1.22,5,10.5,1.25,4.5,9,,,,1.25,4.5,9.5,1.22,5,9.5,1.3,2.9,,,
1,2,1,0,1.61,3.5,4.5,1.6,3.55,4.75,1.55,3.5,4.8,,,,1.53,3.6,5,1.5,3.6,5.2,1.65,2.05,,,
0,0,0,0,1.61,3.5,4.5,1.6,3.55,4.75,1.6,3.4,4.6,,,,1.57,3.5,5,1.65,3.3,4.4,1.71,2,,,
1,3,1,1,1.72,3.5,4,1.77,3.35,4,1.7,3.3,4,,,,1.8,3.4,3.6,1.7,3.3,4.1,1.71,2,,,
2,0,1,0,1.8,3.4,3.6,1.85,3.35,3.6,2,3.2,3.1,,,,1.9,3.2,3.5,1.8,3.3,3.6,1.65,2.05,,,
0,3,0,0,5,4,1.5,6,3.85,1.45,4.6,3.4,1.6,,,,5.5,3.5,1.53,4.5,3.5,1.61,1.65,2.05,,,
3,5,2,3,2,3.4,3,2.05,3.25,3.1,2,3.2,3.1,,,,2,3.25,3.25,1.85,3.35,3.35,1.65,2.05,,,
2,0,1,0,1.83,3.25,3.75,1.8,3.4,3.75,1.7,3.3,4,,,,1.75,3.4,4,1.75,3.35,3.75,1.6,2.15,,,
0,4,0,1,7.5,4.33,1.33,7.5,4.3,1.3,7,4,1.35,,,,6.5,4,1.4,5.5,4.33,1.4,1.5,2.35,,,
1,0,1,0,1.61,3.5,4.5,1.65,3.4,4.6,1.7,3.3,4,,,,1.72,3.4,4.2,1.7,3.4,3.9,1.6,2.15,,,
