FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
0,3,0,1,1.44,3.75,6,1.47,3.6,6.25,1.55,3.5,4.8,,,,1.44,3.75,6,1.44,3.6,6.5,,,,,
1,4,0,1,2.2,3.25,2.75,2.3,3.25,2.65,2.4,3.1,2.5,,,,2.3,3.25,2.6,2.2,3.25,2.75,,,,,
2,2,1,1,1.9,3.4,3.25,1.95,3.3,3.3,2,3.1,3.2,,,,1.91,3.25,3.4,1.9,3.4,3.25,,,,,
0,0,0,0,2.37,3.3,2.5,2.45,3.25,2.5,2.4,3.1,2.5,,,,2.38,3.25,2.5,2.4,3.25,2.5,,,,,
1,1,1,0,1.833,3.4,3.5,1.85,3.25,3.75,2,3.1,3.2,,,,1.85,3.3,3.6,1.85,3.2,3.5,1.71,1.95,,,
0,0,0,0,2.25,3.2,2.75,2.3,3.25,2.7,2.3,3.1,2.6,,,,2.2,3.25,2.75,2.2,3.2,2.7,1.55,2.2,,,
1,0,0,0,1.25,4.5,10,1.25,5,9,1.25,4.5,9,,,,1.22,5,9,1.22,5,9.5,1.45,2.45,,,
1,2,0,1,2.4,3.25,2.5,2.3,3.25,2.7,2.3,3,2.7,,,,2.25,3.25,2.7,2.2,3.2,2.7,1.71,1.95,,,
2,2,1,2,4.5,3.5,1.615,5.75,3.7,1.5,5,3.7,1.5,,,,5,3.5,1.57,5.5,3.4,1.53,1.6,2.1,,,
4,0,2,0,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.1,2.6,,,,2.25,3.25,2.7,2.1,3.2,2.85,1.65,2,,,
0,2,0,1,8,4.5,1.286,9,4.25,1.3,10,5,1.2,,,,8,4.33,1.3,8,3.75,1.36,1.45,2.5,,,
2,0,2,0,1.4,3.75,7,1.4,3.85,7,1.35,4,7,,,,1.4,3.75,7,1.4,3.7,6.5,1.6,2.1,,,
1,0,0,0,1.333,4,8,1.35,4.1,7.5,1.33,4,7.5,,,,1.4,3.75,7,1.4,3.7,6.5,1.5,2.3,1.35,2.65,-0.5
2,1,1,0,1.615,3.5,4.5,1.6,3.5,4.85,1.7,3.2,4.2,,,,1.66,3.4,4.33,1.7,3.35,4,1.65,2,1.6,2.03,-0.5
3,2,1,1,3.75,3.3,1.8,3.8,3.3,1.81,3.8,3.3,1.75,,,,4,3.2,1.8,4,3.4,1.72,1.6,2.1,1.77,1.81,0.5
1,2,0,0,2,3.2,3.2,1.9,3.3,3.45,2,3.1,3.2,,,,2,3.25,3.2,2,3.1,3.15,1.79,1.85,1.9,1.69,-0.5
2,1,0,1,2.8,3.4,2.1,2.95,3.3,2.1,3.2,3.1,2,,,,3,3.2,2.1,2.85,3.2,2.1,1.75,1.9,1.56,2.1,0.5
1,0,1,0,1.25,5,8,1.2,5.25,10.5,1.2,5,10,,,,1.25,5,8,1.2,5,11,1.55,2.2,1.2,3.5,-0.5
1,2,1,0,2.1,3.2,3,2.1,3.3,2.95,2.1,3.1,3,,,,2.1,3.2,3,2.1,3.2,2.85,1.71,1.95,2.1,1.56,-0.5
1,0,1,0,2.7,3.25,2.25,2.75,3.25,2.25,3,3.1,2.1,,,,2.7,3.25,2.25,2.55,3.3,2.25,1.6,2.1,1.49,2.25,0.5
4,1,1,0,4.5,3.5,1.61,4.25,3.45,1.7,4,3.2,1.75,,,,4.33,3.4,1.67,4.05,3.5,1.65,1.6,2.1,1.9,1.7,0.5
1,1,1,1,1.72,3.4,4,1.65,3.5,4.5,1.7,3.2,4.2,,,,1.7,3.5,4,1.6,3.6,4.3,1.6,2.1,1.65,1.97,-0.5
1,1,0,0,2.375,3.25,2.5,2.25,3.25,2.75,2.3,3,2.7,,,,2.37,3.25,2.5,2.3,3.2,2.6,1.71,1.95,2.25,1.49,-0.5
1,2,1,0,2.5,3.25,2.4,2.4,3.2,2.6,2.4,3.2,2.4,,,,2.5,3.1,2.5,2.4,3.2,2.45,1.71,1.95,2.4,1.43,-0.5
1,1,1,0,2.25,3.4,2.6,2.3,3.2,2.7,2.4,3,2.6,,,,2.25,3.2,2.7,2.25,3.2,2.65,1.75,1.9,2.3,1.46,-0.5
4,1,3,1,2.25,3.25,2.75,2,3.2,3.25,2,3.1,3.2,,,,2.2,3.2,2.8,2.25,3.2,2.65,1.65,2,2,1.61,-0.5
1,2,0,0,2.1,3.4,2.875,2.2,3.2,2.85,2.2,3.1,2.8,,,,2.1,3.25,2.9,2.1,3.2,2.9,1.71,1.95,2.2,1.51,-0.5
1,2,1,2,1.333,4.333,7,1.3,4.5,8,1.3,4.2,8,,,,1.3,4.33,8,1.36,4,7,1.55,2.2,1.3,2.88,-0.5
1,0,0,0,4.5,3.5,1.615,4.6,3.55,1.6,4.4,3.3,1.65,,,,4.75,3.4,1.61,4.5,3.5,1.61,1.55,2.2,2,1.6,0.5
0,2,0,0,2.375,3.2,2.625,2.2,3.2,2.85,2.3,3.1,2.6,,,,2.2,3.2,2.8,2.2,3.2,2.7,1.71,1.95,2.2,1.51,-0.5
0,3,0,0,2.625,3.2,2.375,2.55,3.2,2.42,2.5,3,2.5,,,,2.6,3.1,2.37,2.5,3.25,2.4,1.6,2.1,,,
0,1,0,1,2.1,3.25,3,2.1,3.2,3.1,1.9,3.2,3.4,2,3.2,3.2,2,3.2,3.2,2,3.2,3.1,1.65,2,2.1,1.57,-0.5
2,3,1,1,2.875,3.25,2.1,2.8,3.3,2.2,2.6,3.1,2.3,2.8,3.2,2.2,2.8,3.2,2.2,2.5,3.2,2.35,1.65,2,1.51,2.2,0.5
1,2,1,0,2.1,3.25,3,2,3.3,3.2,2.1,3.1,3,2.1,3.2,3,2.1,3.2,3,2.15,3.2,2.8,1.7,1.95,2,1.62,-0.5
1,1,0,0,1.25,5,8.5,1.28,4.6,8.5,1.3,4.2,8,1.3,4.33,8,1.3,4.33,8,1.3,4.25,7.5,1.6,2.1,,,
0,1,0,1,4.5,3.25,1.667,4.3,3.5,1.67,4.2,3.2,1.7,4.33,3.4,1.67,4.33,3.4,1.66,4,3.4,1.72,1.6,2.1,1.93,1.67,0.5
2,0,0,0,1.667,3.4,4.333,1.65,3.5,4.5,1.65,3.3,4.4,1.67,3.4,4.33,1.66,3.4,4.33,1.65,3.4,4.2,1.65,2,1.65,1.97,-0.5
2,2,0,1,1.615,3.5,4.5,1.57,3.45,5.3,1.65,3.3,4.4,1.57,3.5,5,1.57,3.5,5,1.57,3.5,5,1.6,2.1,1.57,2.08,-0.5
0,4,0,2,4,3.5,1.727,4,3.4,1.75,4,3.2,1.75,4,3.3,1.75,4,3.3,1.75,4,3.4,1.72,1.6,2.1,1.84,1.75,0.5
0,0,0,0,2.4,3.25,2.5,2.4,3.35,2.5,2.3,3,2.7,2.3,3.2,2.62,2.3,3.2,2.62,2.2,3.25,2.65,1.65,2,,,
2,5,1,1,1.615,3.5,4.5,1.6,3.55,4.75,1.65,3.3,4.4,1.53,3.5,5.5,1.57,3.5,5,1.6,3.3,4.75,1.55,2.2,1.6,2.03,-0.5
2,1,1,0,1.222,5,9.5,1.25,4.9,9,1.22,4.7,9.5,1.29,4.5,8,1.29,4.5,8,1.25,4.2,10,1.55,2.2,,,
3,1,2,1,1.4,3.75,7,1.4,4,6.6,1.4,3.9,6,1.4,3.75,7,1.4,3.75,7,1.45,3.55,6,1.6,2.1,1.4,2.49,-0.5
1,0,1,0,1.8,3.3,3.75,1.81,3.3,3.9,2,3,3.3,1.8,3.25,3.8,1.8,3.25,3.8,1.85,3.2,3.5,1.75,1.9,1.81,1.79,-0.5
4,2,3,1,1.286,4.5,8,1.3,4.5,8,1.3,4.2,8,1.25,4.5,10,1.25,4.5,10,1.28,4.5,8,1.55,2.2,1.3,2.88,-0.5
1,2,0,0,1.615,3.5,4.5,1.6,3.5,4.9,1.6,3.4,4.6,1.62,3.5,4.5,1.62,3.5,4.5,1.6,3.4,4.6,1.55,2.2,1.6,2.04,-0.5
0,1,0,1,1.667,3.3,4.5,1.7,3.35,4.4,1.75,3.2,4,1.67,3.3,4.5,1.67,3.3,4.5,1.72,3.25,4.2,1.6,2.1,1.7,1.9,-0.5
1,0,0,0,2.2,3.2,2.8,2.15,3.2,3,2.3,3,2.7,2.1,3.2,3,2.1,3.2,3,2.3,3.2,2.55,1.71,1.95,2.15,1.55,-0.5
1,1,0,0,2.1,3.2,3,2.05,3.25,3.15,2.2,3,2.9,2.1,3.2,3,2.1,3.2,3,2.05,3.15,3,1.75,1.9,2.05,1.6,-0.5
0,0,0,0,2.75,3.25,2.2,3,3.25,2.1,2.9,3,2.2,2.8,3.2,2.2,2.8,3.2,2.2,2.6,3.2,2.35,1.71,1.95,1.56,2.1,0.5
0,2,0,1,2.75,3.25,2.2,2.65,3.3,2.3,2.4,3.2,2.4,2.63,3.2,2.3,2.62,3.2,2.3,2.6,3.1,2.4,1.6,2.1,1.47,2.3,0.5
1,1,1,0,1.3,4.5,7.5,1.3,4.4,8.5,1.3,4.2,8,1.3,4.33,8,1.3,4.33,8,1.33,4,8,1.55,2.2,1.3,2.9,-0.5
6,1,3,0,1.909,3.25,3.4,1.91,3.25,3.5,1.9,3.1,3.5,1.91,3.2,3.5,1.9,3.2,3.5,2,3.1,3.3,1.71,1.95,1.91,1.69,-0.5
3,0,2,0,2.1,3.4,2.8,2.05,3.25,3.1,2,3.2,3.1,2.1,3.2,3,2.1,3.2,3,2,3.1,3.3,1.75,1.9,2.05,1.59,-0.5
5,0,3,0,1.167,5.5,12,1.16,5.75,12,1.2,5,10,1.17,6,10,1.16,6,10,1.14,6,12,1.55,2.2,1.16,3.89,-0.5
1,0,1,0,1.364,4,7,1.35,4.25,7.25,1.3,4.2,8,1.33,4.2,7.5,1.33,4.2,7.5,1.33,4.2,7.5,1.55,2.2,1.35,2.68,-0.5
0,0,0,0,1.727,3.4,4,1.75,3.4,4,1.8,3.3,3.6,1.75,3.3,4,1.75,3.3,4,1.75,3.3,4,1.83,1.83,1.75,1.84,-0.5
2,0,1,0,2.2,3.25,2.75,2.2,3.2,2.9,2.1,3.1,3,2.1,3.2,3,2.1,3.2,3,2.1,3.25,2.95,1.71,1.95,2.2,1.52,-0.5
1,1,1,1,1.667,3.4,4.333,1.73,3.4,4.1,1.8,3.1,3.8,1.7,3.3,4.33,1.7,3.3,4.33,1.8,3.2,3.9,1.71,1.95,1.73,1.86,-0.5
1,0,1,0,1.615,3.5,4.5,1.6,3.6,4.75,1.6,3.4,4.6,1.62,3.5,4.5,1.61,3.5,4.5,1.7,3.3,4.3,1.71,1.95,1.6,2.05,-0.5
5,2,5,0,1.833,3.25,3.75,1.8,3.3,3.9,1.85,3.1,3.6,1.8,3.3,3.75,1.8,3.3,3.75,1.85,3.25,3.6,1.71,1.95,1.8,1.79,-0.5
3,3,1,0,2.5,3,2.625,2.35,3.2,2.65,2.2,3,2.9,2.3,3.1,2.7,2.3,3.1,2.7,2.3,3.2,2.65,1.65,2,2.35,1.45,-0.5
1,1,0,0,3.5,3.5,1.833,3.35,3.4,1.91,3.2,3.1,2,3.4,3.25,1.91,3.4,3.25,1.9,3.4,3.25,1.9,1.65,2,1.69,1.91,0.5
3,0,1,0,1.5,3.75,5.5,1.51,3.7,5.5,1.5,3.7,5,1.5,3.6,5.5,1.5,3.6,5.5,1.44,3.6,6.5,1.45,2.45,1.51,2.21,-0.5
1,0,1,0,2.375,3.2,2.625,2.35,3.2,2.65,2.3,3,2.7,2.38,3.1,2.6,2.37,3.1,2.6,2.3,3.2,2.65,1.79,1.85,2.35,1.45,-0.5
1,2,0,0,2.4,3.2,2.25,2.8,3.3,2.2,2.6,3.1,2.3,2.75,3.2,2.25,2.75,3.2,2.25,2.65,3.2,2.3,1.65,2,1.51,2.2,0.5
3,1,0,0,3.5,3.25,1.909,3.45,3.3,1.91,3.6,3.3,1.8,3.4,3.25,1.91,3.4,3.25,1.9,3.5,3.4,1.83,1.71,1.95,1.69,1.91,0.5
4,0,2,0,2.4,3.4,2.4,2.25,3.25,2.75,2.4,3.2,2.4,2.25,3.25,2.7,2.25,3.25,2.7,2.25,3.25,2.65,1.65,2,2.25,1.49,-0.5
2,1,0,0,1.5,3.6,5.5,1.45,3.75,6.45,1.45,3.8,5.4,1.44,3.75,6,1.44,3.75,6,1.45,3.5,6.5,1.65,2,1.45,2.37,-0.5
0,1,0,0,2.25,3.2,2.75,2.2,3.2,2.9,2.2,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.15,3.3,2.8,1.71,1.95,2.2,1.52,-0.5
1,1,1,1,1.571,3.25,5.5,1.6,3.4,5.1,1.8,3.3,3.6,1.62,3.4,4.75,1.61,3.4,4.75,1.65,3.4,4.4,1.85,1.79,1.6,2.04,-0.5
1,2,0,0,1.4,3.75,7,1.4,4,6.8,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7,1.35,4,7.5,1.6,2.1,1.4,2.52,-0.5
0,4,0,1,3.75,3.4,1.8,4,3.25,1.8,4,3.3,1.7,3.75,3.3,1.8,3.75,3.3,1.8,3.5,3.4,1.83,1.65,2,1.79,1.8,0.5
2,1,0,0,1.143,6,13,1.15,6,13,1.15,6,12,1.17,5.5,12,1.14,5.75,13,1.16,5.5,12,1.45,2.45,,,
0,3,0,0,3.2,3.2,2,3.3,3.2,2,2.8,3.1,2.2,3.2,3.2,2,3.2,3.2,2,2.87,3.3,2.1,1.65,2,1.62,2,0.5
5,3,3,3,1.667,3.4,4.333,1.7,3.4,4.3,1.65,3.3,4.4,1.67,3.4,4.33,1.66,3.4,4.33,1.65,3.4,4.5,1.75,1.9,1.7,1.9,-0.5
4,0,1,0,1.727,3.4,4,1.7,3.4,4.4,1.7,3.2,4.2,1.67,3.4,4.33,1.66,3.4,4.33,1.72,3.5,3.8,1.55,2.2,1.7,1.92,-0.5
1,3,0,1,2.1,3.2,3,2.15,3.2,3,1.9,3.2,3.4,2,3.2,3.2,2,3.2,3.2,2.1,3.1,3.1,1.71,1.95,2.15,1.55,-0.5
4,0,3,0,1.615,3.5,4.5,1.62,3.4,4.85,1.6,3.4,4.6,1.67,3.4,4.33,1.66,3.4,4.33,1.7,3.4,4.2,1.65,2,1.62,2,-0.5
0,1,0,0,2.6,3.4,2.25,2.75,3.25,2.25,2.2,3.2,2.7,2.6,3.25,2.3,2.6,3.25,2.3,2.55,3.1,2.45,1.71,1.95,1.49,2.25,0.5
2,0,1,0,3.2,3.5,1.909,3.5,3.3,1.9,3.4,3.2,1.9,3.4,3.25,1.91,3.4,3.25,1.9,3.6,3.3,1.85,1.6,2.1,1.7,1.9,0.5
1,1,0,0,2.4,3.1,2.6,2.5,3.1,2.55,2.3,3,2.7,2.38,3.1,2.62,2.37,3.1,2.62,2.37,3.1,2.62,1.71,1.95,2.5,1.4,-0.5
5,0,2,0,1.167,5.5,11,1.15,5.75,14,1.15,6,12,,,,1.16,5.5,11,1.2,5,11,,,,,
1,2,1,0,2,3.2,3.2,2,3.2,3.3,2.1,3,3.1,1.91,3.25,3.4,1.9,3.25,3.4,2,3.2,3.2,1.83,1.83,2,1.62,-0.5
2,2,0,2,2.25,3.25,2.7,2.25,3.25,2.75,2,3.2,3.1,2.25,3.25,2.7,2.25,3.25,2.7,2.4,3.25,2.5,,,2.25,1.49,-0.5
1,1,0,0,1.727,3.4,4,1.7,3.4,4.3,1.8,3.3,3.6,1.8,3.4,3.75,1.8,3.25,4,1.72,3.4,4,1.65,2,,,
1,0,1,0,2.2,3.4,2.875,2.2,3.3,2.8,2,3.2,3.1,2.3,3.1,2.7,2.3,3.1,2.7,2.25,3.2,2.75,1.83,1.83,2.2,1.51,-0.5
3,0,1,0,1.2,5,11,1.18,5.5,12,1.15,6,12,1.2,5,11,1.2,5,11,1.22,5,9.5,1.45,2.45,,,
1,1,1,0,2.375,3.4,2.5,2.45,3.2,2.55,2.3,3.1,2.6,2.4,3.2,2.5,2.4,3.2,2.5,2.45,3.3,2.4,1.65,2,,,
1,0,1,0,3.2,3.2,2,3.35,3.3,1.95,3.4,3.2,1.9,3.2,3.2,2,3.2,3.2,2,2.9,3.3,2.1,1.75,1.9,1.66,1.95,0.5
1,1,1,1,1.143,6,13,1.16,6,12,1.2,5,10,1.17,5.5,12,1.16,5.5,12,1.12,6.5,12,,,,,
1,1,0,0,2.75,3.25,2.2,2.65,3.3,2.3,3,3.1,2.1,2.62,3.2,2.3,2.62,3.2,2.3,2.65,3.3,2.25,1.71,2,,,
0,3,0,0,3.5,3.5,1.833,3.7,3.3,1.85,3.4,3.2,1.9,3.4,3.25,1.91,3.4,3.25,1.9,3.5,3.4,1.83,1.65,2,1.74,1.85,0.5
4,2,2,2,2.6,3.4,2.25,2.45,3.25,2.5,2.3,3.1,2.6,2.5,3.1,2.5,2.5,3.1,2.5,2.5,3.25,2.4,1.71,1.95,,,
1,1,1,0,1.72,3.4,4,1.8,3.3,3.9,1.75,3.3,3.8,1.8,3.25,3.8,1.73,3.25,4.2,1.7,3.5,4,1.71,2,1.7,1.86,-0.5
7,0,2,0,1.61,3.5,4.5,1.6,3.5,4.9,1.55,3.5,4.8,1.57,3.6,4.75,1.57,3.6,4.75,1.6,3.4,4.9,1.65,2.05,1.6,2.04,-0.5
0,0,0,0,1.61,3.5,4.5,1.6,3.5,4.9,,,,1.57,3.6,4.75,1.57,3.6,4.75,1.6,3.4,4.9,,,1.6,2.04,-0.5
0,3,0,2,5,3.75,1.53,5.35,3.8,1.5,5.4,3.8,1.45,5,3.6,1.53,5.2,3.6,1.53,5.5,3.6,1.5,1.71,2,2.22,1.5,0.5
2,0,0,0,2,3.4,3,2,3.25,3.25,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3,2,3.2,3.2,1.71,2,2,1.63,-0.5
2,0,1,0,1.11,6.5,15,1.15,6.1,12,1.15,6,12,1.14,6,12,1.14,6,12,1.16,6,10,1.85,1.85,,,
2,2,2,0,2,3.2,3.2,2,3.25,3.25,1.9,3.1,3.5,2,3.2,3.2,2,3.2,3.2,2.05,3.2,3.1,1.79,1.9,2,1.63,-0.5
1,0,1,0,2,3.2,3.2,1.95,3.2,3.45,2.1,3.1,3,2,3.2,3.2,2,3.2,3.2,1.9,3.3,3.4,1.7,2,1.95,1.66,-0.5
0,0,0,0,4.5,3.5,1.61,4.5,3.5,1.65,4.8,3.5,1.55,4.5,3.5,1.62,4.5,3.5,1.62,4.33,3.4,1.66,1.6,2.15,1.97,1.65,0.5
2,2,2,0,1.61,3.5,4.5,1.55,3.5,5,1.65,3.3,4.4,1.57,3.5,5,1.55,3.5,5.1,1.57,3.5,5,,,1.55,2.06,-0.5
1,0,0,0,2.4,3.25,2.5,2.3,3.2,2.7,2.2,3.1,2.8,2.3,3.2,2.62,2.35,3.1,2.65,2.3,3.2,2.62,,,2.3,1.46,-0.5
1,2,1,1,2.1,3.2,3,2.1,3.2,3,2,3.2,3.1,2.1,3.2,3,2,3.15,3.25,2.1,3.2,3,,,2.1,1.55,-0.5
3,0,1,0,1.8,3.3,3.75,1.8,3.4,3.7,1.85,3.2,3.5,1.8,3.4,3.6,1.85,3.4,3.5,1.8,3.4,3.6,,,1.8,1.77,-0.5
1,2,0,0,1.2,5,11,1.18,5.5,11,1.12,6.5,13,1.17,5.5,11,1.14,6,12,1.17,5.5,11,,,1.18,3.67,-0.5
2,2,0,0,2,3.2,3.2,1.85,3.3,3.65,1.85,3.1,3.6,1.91,3.25,3.4,1.95,3.2,3.35,1.91,3.25,3.4,,,1.85,1.73,-0.5
0,5,0,1,6.5,4,1.4,6.5,4,1.36,8,4.2,1.3,5.5,4.33,1.4,7,4,1.36,5.5,4.33,1.4,,,2.48,1.36,0.5
1,0,0,0,2.3,3.1,2.7,2.1,3.2,3,2.4,3,2.6,2.2,3.2,2.8,2.1,3.3,2.9,2.2,3.2,2.8,,,2.1,1.55,-0.5
0,5,0,1,5,3.6,1.53,5,3.7,1.52,4.4,3.3,1.65,5,3.5,1.57,5,3.3,1.61,5,3.5,1.57,,,2.13,1.52,0.5
2,0,2,0,1.22,4.5,11,1.2,4.8,12,1.33,3.5,10,1.22,5,9,1.22,5,9,1.22,5,9.5,,,1.2,3.43,-0.5
1,0,0,0,2,3.2,3.2,1.85,3,3.8,1.8,3.1,3.8,1.91,3.1,3.5,1.95,3.1,3.5,1.9,3,3.75,1.75,1.9,1.85,1.68,-0.5
1,1,0,1,2.1,3.2,3,2,3.3,3.1,,,,2.2,3.4,2.62,2.2,3.4,2.62,2.15,3.4,2.75,1.75,1.9,2.05,1.57,-0.5
3,2,1,0,1.22,4.5,11,1.25,4.5,8,1.27,4,9,1.29,4,10,1.29,4,10,1.28,4.33,8.5,,,,,
2,0,2,0,1.8,3.25,4,1.85,2.9,4,,,,1.83,3.4,3.4,1.83,3.4,3.4,1.7,3.45,4,1.79,1.85,1.85,1.68,-0.5
1,4,1,2,4,3.4,1.72,4.25,3.3,1.7,3.2,3.1,2,4,3.4,1.73,4,3.25,1.75,4.2,3.25,1.72,,,1.86,1.7,0.5
2,0,1,0,1.72,3.4,4,1.7,3.2,4.4,1.8,3.1,3.8,1.73,3.4,4,1.73,3.4,4,1.7,3.4,4.2,,,1.7,1.85,-0.5
3,3,1,1,2,3.2,3.2,2,3.3,3.1,2,3.1,3.2,2.1,3.2,3,2.1,3.2,3,2,3.2,3.2,1.85,1.79,2,1.6,-0.5
0,0,0,0,,,,1.9,3.3,3.35,,,,1.83,3.5,3.4,1.85,3.5,3.4,1.8,3.6,3.4,1.83,1.83,1.9,1.66,-0.5
2,4,1,1,3.2,3.2,2,2.85,3.2,2.15,2.9,3,2.2,2.8,3.2,2.2,2.8,3.2,2.2,3,3.2,2.1,,,1.51,2.15,0.5
4,1,2,1,2.1,3.2,3,2.1,3.2,2.93,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3,2.05,3.3,3,,,2.1,1.53,-0.5
7,1,4,0,1.5,3.6,5.5,1.45,3.25,7,,,,1.5,3.2,7,1.5,3.2,7,1.5,3.2,7,,,,,
2,2,0,1,2.5,3.25,2.37,2.5,3.05,2.5,2.7,3,2.3,2.4,3.2,2.5,2.4,3.2,2.5,2.45,3.25,2.45,,,2.5,1.37,-0.5
5,3,2,2,1.83,3.2,3.75,1.85,3.25,3.55,1.85,3.1,3.6,1.91,3.2,3.5,1.91,3.2,3.5,1.9,3.2,3.5,,,1.85,1.7,-0.5
2,0,2,0,2.37,3.25,2.5,2.25,3.2,2.7,2.3,3,2.7,2.25,3.2,2.7,2.25,3.2,2.7,2.2,3.2,2.8,,,2.25,1.46,-0.5
3,0,2,0,1.66,3.3,4.5,1.45,4,5,,,,1.57,3.75,4.5,1.57,3.75,4.5,1.6,3.6,4.5,,,,,
2,1,1,0,1.66,3.6,4,1.53,3.75,4.5,,,,1.57,3.75,4.5,1.57,3.75,4.5,1.6,3.6,4.5,,,,,
2,5,1,1,3.4,3.25,1.9,3.45,3.2,1.9,3.4,2.9,2,3.2,3.2,2,3.2,3.2,2,3.5,3.2,1.9,,,1.66,1.9,0.5
