FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH
1,1,1,0,2.1,3,3.25,2.1,3.05,3.1,2.1,2.9,3.2,2.1,3.2,3,,,,2.1,3,3.25,2.1,3,3.2,2.2,1.51,1.85,1.95,-0.25,1.875,2.025,-0.25
0,3,0,2,2.5,3,2.62,2.45,3,2.6,2.7,2.8,2.5,2.5,2.875,2.625,,,,2.5,3,2.6,2.3,3.1,2.75,2,1.61,1.85,1.95,0,1.95,1.95,0
0,1,0,0,1.61,3.2,5.5,1.55,3.33,5.5,1.6,3.2,5,1.571,3.25,5.5,,,,1.57,3.25,5.5,1.53,3.4,5.5,2,1.61,1.8,2,-0.75,1.85,2.05,-0.75
2,0,1,0,2.6,2.87,2.6,2.55,3,2.65,2.3,2.9,2.8,2.5,3.2,2.5,,,,2.5,3,2.6,2.5,3.1,2.5,2.2,1.51,1.8,2,0,1.8,2.1,0
0,1,0,0,2.3,3,2.87,2.4,3,2.85,2.3,2.9,2.8,2.25,3.2,2.75,,,,2.3,3,2.87,2.3,3,2.8,2.2,1.51,1.75,2.08,0,2.125,1.775,-0.25
2,0,1,0,1.9,2.9,4,1.9,3.1,4,1.9,2.8,4,1.909,3.2,3.5,,,,1.9,2.9,4,,,,2.1,1.56,1.9,1.9,-0.5,1.9,2,-0.5
2,2,0,1,1.9,2.9,4,1.9,3.1,4,1.75,3.1,4.2,1.8,3.2,4,,,,1.85,3.1,4,1.9,3,3.75,2.1,1.56,1.9,1.9,-0.5,1.975,1.925,-0.5
0,1,0,0,3.25,3,2.1,3.15,3,2.15,3.3,3,2,3.5,3.2,1.909,,,,3.25,3,2.1,3.6,3.1,1.9,1.85,1.74,1.75,2.1,0.5,1.875,2.025,0.5
3,0,2,0,1.61,3.2,5.5,1.62,3.3,5.5,1.6,3.3,4.8,1.571,3.25,5.5,,,,1.61,3.4,5,1.57,3.3,5.5,1.8,1.8,1.8,2,-0.75,1.875,2.025,-0.75
3,2,1,2,1.8,3.1,4.2,1.8,3.1,4.5,1.75,3.1,4.2,1.909,3.2,3.5,,,,1.85,3.1,4,1.8,3.1,4,2,1.61,2,1.8,-0.75,2.1,1.8,-0.75
1,4,1,2,2.2,3,3.1,2.25,3,3.1,2.3,2.8,2.9,2.25,3.2,2.75,,,,2.25,3,3,2.2,3,3,1.95,1.66,1.8,2,0,2.05,1.85,-0.25
3,1,1,0,1.57,3.2,6,1.6,3.3,5.75,1.6,3.3,4.8,1.571,3.25,5.5,,,,1.57,3.4,5.5,1.57,3.3,5.5,2,1.61,2,1.8,-1,2.1,1.8,-1
1,1,0,1,2.1,3,3.25,2.2,3.1,3.1,2.3,2.9,2.8,2,3.2,3.2,,,,2.2,3,3.1,2.1,3,3.2,2.1,1.56,1.9,1.9,-0.25,2.025,1.875,-0.25
1,0,0,0,1.53,3.25,6.5,1.47,3.5,6.7,1.5,3.5,5.4,1.5,3.4,6,,,,1.5,3.5,6,1.5,3.4,6,1.71,1.9,1.8,2,-1,1.8,2.1,-1
1,3,1,1,2,3,3.5,2.05,3.15,3.25,2,3,3.3,2.1,3.2,3,,,,2.1,3,3.25,2,3.1,3.3,1.95,1.66,2,1.8,-0.5,2.025,1.875,-0.5
2,1,1,1,1.72,3.2,4.5,1.75,3.15,4.5,1.65,3.1,4.8,1.8,3.2,4,,,,1.67,3.2,5,1.66,3.3,4.5,2.1,1.56,1.85,1.95,-0.75,1.825,2.075,-0.75
1,2,0,1,2.37,3,2.75,2.4,3,2.75,2.5,2.9,2.6,2.4,3.25,2.5,,,,2.4,3,2.75,2.4,3.1,2.6,2.2,1.51,1.75,2.05,0,1.8,2.1,0
0,2,0,1,2.62,3,2.5,2.75,3,2.4,2.5,2.9,2.6,2.5,3.2,2.5,,,,2.6,3,2.5,2.5,3.1,2.5,2.1,1.56,2.05,1.75,0,2.05,1.85,0
0,2,0,0,2.5,3,2.62,2.5,3,2.65,2.5,2.9,2.6,2.5,3.2,2.5,,,,2.5,3,2.6,2.5,3.1,2.5,2.2,1.51,1.9,1.9,0,1.925,1.975,0
2,0,0,0,1.57,3.25,6,1.57,3.3,5.75,1.6,3.3,4.8,1.5,3.4,6,,,,1.57,3.4,5.5,1.61,3.3,5,1.74,1.85,1.95,1.85,-1,2.05,1.85,-1
3,1,1,1,1.72,3.2,4.5,1.75,3.15,4.5,1.7,3.1,4.4,1.8,3.2,4,,,,1.75,3.2,4.33,1.72,3.2,4.33,2,1.61,1.75,2.05,-0.5,1.9,2,-0.5
1,1,0,1,1.9,3.1,3.75,1.85,3,4.1,1.9,2.7,4.2,1.8,3.2,4,,,,1.83,3.1,4,1.9,3.1,3.6,2,1.61,1.85,1.95,-0.5,2.025,1.875,-0.5
0,0,0,0,1.66,3.2,5,1.65,3.2,5.25,1.65,3.1,4.8,1.667,3.2,5,,,,1.62,3.25,5.2,1.66,3.1,5,1.95,1.66,1.8,2,-0.75,1.85,2.05,-0.75
2,1,1,0,1.83,3.1,4,1.9,3.1,3.6,1.85,3.1,3.6,1.833,3.2,3.75,,,,1.91,3.1,3.75,1.8,3.1,4,2.2,1.51,1.9,1.9,-0.5,1.975,1.925,-0.5
4,0,3,0,2.5,3,2.62,2.55,2.9,2.55,2.6,2.8,2.6,2.375,3,2.75,,,,2.6,2.88,2.6,2.5,3.1,2.5,2,1.61,1.9,1.9,0,1.95,1.95,0
0,1,0,0,2.62,3,2.5,2.6,2.9,2.5,2.7,3,2.3,2.625,2.875,2.5,,,,2.6,2.88,2.6,2.5,3.1,2.5,2,1.61,1.95,1.85,0,2,1.9,0
1,1,1,1,1.72,3.2,4.5,1.75,3.1,4.25,1.75,3.1,4.2,1.727,3.2,4.333,,,,1.75,3.2,4.33,1.72,3.2,4.33,2.2,1.51,1.9,1.9,-0.75,2.1,1.8,-0.75
3,1,2,1,3,3,2.25,3.15,3,2.12,3.3,3,2,3.2,3.2,2,,,,3,3,2.25,3.1,3.1,2.1,1.95,1.66,2,1.8,0.25,2.1,1.8,0.25
2,2,0,1,1.72,3.2,4.5,1.75,3.2,4.1,1.65,3.2,4.6,1.727,3.2,4.333,,,,1.75,3.2,4.33,1.8,3.1,4,2,1.61,1.75,2.05,-0.5,1.95,1.95,-0.75
1,1,1,0,1.72,3.2,4.5,1.73,3.2,4.4,1.6,3.3,4.8,1.727,2.875,5,,,,1.67,3.25,4.75,1.72,3.2,4.33,2,1.61,1.9,1.9,-0.75,2.05,1.85,-0.75
2,1,1,0,1.61,3.4,5,1.62,3.3,5,1.55,3.4,5,1.615,3.25,5,,,,1.62,3.25,5.5,1.61,3.3,5,1.9,1.7,1.8,2,-0.75,1.8,2.1,-0.75
0,1,0,0,2,3,3.5,2,3,3.4,2,3,3.3,2,3.2,3.2,,,,2.1,3,3.25,2.1,2.87,3.3,1.95,1.66,1.8,2,-0.25,1.9,2,-0.25
3,2,3,0,2.2,3,3.1,2.15,2.95,3.1,2.3,2.9,2.8,2,3.2,3.2,,,,2.1,3,3.25,2,3.1,3.3,2,1.61,1.9,1.9,-0.25,1.875,1.975,-0.25
1,0,1,0,1.4,3.75,7.5,1.41,3.6,8,1.35,3.8,7.5,1.44,3.6,6.5,,,,1.4,3.75,7.5,1.36,3.75,8,1.85,1.74,1.8,2,-1,1.85,2.05,-1
3,2,1,1,1.8,3.25,4,1.85,3.2,3.8,1.85,3.1,3.6,1.8,3.2,4,,,,1.8,3.2,4,1.72,3.25,4.2,2,1.61,1.85,1.95,-0.5,2.05,1.85,-0.5
2,0,0,0,2.1,3,3.25,2.05,3.1,3.25,2,2.9,3.4,2.1,3.2,3,,,,2.1,3,3.25,2.1,3.1,3.1,1.9,1.7,2,1.8,-0.5,1.85,2.05,-0.5
2,0,1,0,2.37,3,2.75,2.52,3,2.58,2.5,2.9,2.6,2.5,3.2,2.5,,,,2.4,3,2.75,2.5,3.1,2.5,1.9,1.7,1.85,1.95,0,1.825,2.075,0
3,2,1,1,1.57,3.25,6,1.55,3.35,5.8,1.5,3.5,5.4,1.57,3.25,5.5,,,,1.53,3.4,6,1.57,3.3,5.5,,,2,1.8,-1,2.1,1.8,-1
1,2,0,0,2.5,3.2,2.5,2.58,3,2.52,2.5,3,2.5,2.62,2.88,2.5,,,,2.6,3,2.5,2.5,3.1,2.5,,,1.95,1.85,0,1.975,1.925,0
2,1,1,1,1.44,3.4,7.5,1.32,4.15,7.6,1.35,3.8,7.5,1.4,3.6,7.5,,,,1.4,3.75,7.5,1.36,3.75,8,1.96,1.66,1.95,1.85,-1.5,1.925,1.975,-1.25
1,2,1,0,2.37,3,2.75,2.35,2.95,2.75,2.3,2.8,2.9,2.5,2.875,2.625,,,,2.4,3,2.75,2.37,3,2.7,2.02,1.73,1.81,2,0,1.825,2.075,0
1,2,0,1,2.75,3,2.37,2.6,3.05,2.4,3,2.9,2.2,2.5,3.2,2.5,,,,2.6,3,2.5,2.5,3.1,2.5,1.85,1.74,2.01,1.8,0,2.1,1.8,0
2,1,2,0,1.66,3.2,5,1.62,3.25,5,1.6,3.2,5,1.727,3.2,4.333,,,,1.66,3.25,4.75,1.66,3.3,4.5,1.9,1.7,1.85,1.95,-0.75,1.875,2.025,-0.75
0,3,0,1,2,3,3.5,2,3.1,3.3,2,2.9,3.4,2,3.2,3.2,,,,2,3.1,3.4,2,3.1,3.3,1.85,1.74,2,1.8,-0.5,2.1,1.8,-0.5
1,1,1,1,1.57,3.4,5.5,1.48,3.45,6.05,1.5,3.5,5.4,1.444,3.6,6.5,,,,1.5,3.5,6,1.5,3.4,6,2,1.61,1.9,1.9,-1,2.1,1.8,-1
1,1,0,0,2.62,3.2,2.37,2.65,3,2.45,2.8,2.9,2.3,2.75,3,2.375,,,,2.7,3.1,2.37,2.6,3.1,2.4,2.1,1.56,1.96,1.85,0,2.05,1.85,0
4,2,3,1,1.9,3.2,3.6,1.82,3.2,3.75,1.8,3.1,3.8,1.8,3.2,4,,,,1.85,3.1,4,1.83,3.2,3.75,2,1.61,1.82,1.97,-0.5,2.05,1.85,-0.5
2,0,1,0,2.2,3,3.1,1.95,3.2,3.3,2,2.9,3.4,2.25,3.2,2.75,,,,2,3,3.5,2,3.2,3.2,1.9,1.7,1.95,1.85,-0.5,1.9,2,-0.25
2,1,2,0,1.9,3.2,3.6,1.88,3,3.8,1.9,3,3.6,1.909,3.2,3.5,,,,1.9,3.1,3.75,1.83,3.2,3.75,2,1.61,1.88,1.92,-0.5,2.075,1.825,-0.5
2,0,1,0,1.8,3,4.333,1.8,3.1,4.15,1.75,3.1,4.2,1.833,3,4,,,,1.8,3,4.33,1.72,3.2,4.33,1.9,1.7,2,1.8,-0.75,2.05,1.85,-0.75
0,0,0,0,2.8,3.2,2.25,2.7,3.1,2.35,2.7,3,2.3,2.75,3.2,2.25,,,,2.8,3.1,2.3,2.75,3.1,2.3,1.9,1.7,1.7,2.05,0.25,1.8,2.1,0.25
1,1,0,1,2.4,3.2,2.6,2.5,3.05,2.55,2.5,3,2.5,2.5,2.875,2.625,,,,2.5,3,2.62,2.37,3.1,2.62,2,1.61,1.9,1.9,0,1.925,1.975,0
1,1,0,1,1.8,3.25,4,1.85,3.1,3.9,1.9,2.8,4,1.833,3.2,3.75,,,,1.9,3.1,3.75,1.9,3.1,3.6,2.1,1.56,1.85,1.95,-0.5,1.9,2,-0.5
1,1,1,0,2.2,3.2,2.875,2.15,3.05,3.05,2.1,2.8,3.3,2.1,3.2,3,,,,2.2,3,3.1,2,3.1,3.3,2.1,1.56,1.9,1.9,-0.25,1.975,1.925,-0.25
2,1,1,1,1.727,3.2,4.5,1.7,3.15,4.7,1.8,3,4,1.667,3.25,4.5,,,,1.66,3.2,5,1.72,3.1,4.5,2,1.61,2,1.8,-0.75,2.1,1.8,-0.75
2,0,1,0,1.5,3.4,6.5,1.45,3.65,7,1.45,3.6,5.8,1.444,3.6,6.5,,,,1.44,3.6,7,1.44,3.6,6.5,1.9,1.7,1.85,1.95,-1,2.025,1.875,-1
1,1,1,0,2.5,3.2,2.5,2.55,3,2.55,2.6,2.8,2.6,2.5,2.875,2.625,,,,2.5,3,2.6,2.5,2.9,2.62,2.1,1.56,1.9,1.9,0,1.975,1.925,0
2,0,1,0,1.4,3.75,7.5,1.4,3.8,7,1.35,3.8,7.5,1.4,3.75,7,,,,1.4,3.75,7.5,1.4,3.75,7,1.9,1.7,2,1.8,-1.25,2.05,1.85,-1.25
1,1,0,1,1.909,3.2,3.6,1.85,3.2,3.65,1.9,3.1,3.5,1.833,3.2,3.75,,,,1.8,3.2,4,2,3,3.4,2,1.65,1.86,2,-0.5,1.95,1.95,-0.5
2,0,1,0,2.5,3,2.625,2.5,3,2.55,2.6,2.8,2.6,2.375,3.25,2.5,,,,2.6,3,2.5,2.4,3.1,2.6,2,1.65,1.9,1.95,0,1.925,1.975,0
0,2,0,1,1.8,3,4.333,1.8,3,4.15,1.8,3,4,1.8,3.2,4,,,,1.8,3.1,4.2,1.72,3.2,4.33,2,1.65,1.8,2.05,-0.5,1.9,2,-0.5
2,0,1,0,1.615,3.4,5,1.65,3.3,4.55,1.55,3.3,5.2,1.667,3.25,4.5,,,,1.66,3.25,4.75,1.66,3.3,4.5,2.1,1.6,1.9,1.95,-0.75,1.825,2.075,-0.75
2,2,1,0,2.7,3.2,2.3,2.7,3,2.35,2.7,2.9,2.4,2.6,3.2,2.375,,,,2.8,3.1,2.3,2.6,3.1,2.4,2.1,1.6,2.05,1.8,0,1.8,2.1,0.25
1,0,0,0,1.4,3.75,7.5,1.4,3.7,7,1.35,3.8,7.5,1.4,3.75,7,,,,1.4,3.75,7.5,1.33,4,8,1.83,1.83,1.9,1.95,-1.25,2.05,1.85,-1.25
1,0,1,0,2.375,3,2.75,2.35,3,2.7,2.4,2.9,2.7,2.25,3.2,2.75,,,,2.3,3.1,2.8,2.3,3.1,2.75,2.1,1.6,1.8,2.05,0,1.85,2.05,0
2,0,1,0,1.615,3.2,5.5,1.61,3.25,5,1.65,3,5,1.615,3.25,5,,,,1.61,3.25,5.25,1.57,3.3,5.5,2.1,1.6,1.9,1.95,-0.75,1.9,2,-0.75
1,0,0,0,3.25,3,2.1,3.15,3,2.1,3.3,2.8,2.1,3.2,3.2,2,,,,3.4,3.1,2,3.3,3.1,2,2.1,1.6,2,1.85,0.25,1.8,2.1,0.5
4,2,2,2,1.833,3.25,3.75,1.9,3.1,3.6,1.75,3.1,4.2,1.8,3.2,4,,,,1.9,3.1,3.75,1.8,3.1,4,1.9,1.75,1.9,1.95,-0.5,1.95,1.95,-0.5
3,0,1,0,2,3.25,3.4,2,3.2,3.2,2,2.9,3.4,1.91,3.2,3.5,,,,1.91,3.2,3.6,2,3,3.4,2.1,1.61,1.77,2.05,-0.25,1.825,2.075,-0.25
2,0,1,0,1.9,3.2,3.6,1.95,3.25,3.25,1.9,2.9,3.8,1.83,3.2,3.75,,,,1.91,3.1,3.75,1.9,3.1,3.6,2.2,1.55,1.95,1.85,-0.5,2,1.9,-0.5
2,0,2,0,2.1,3,3.25,2.1,3,3.2,2.1,2.9,3.2,2,3.2,3.2,,,,2.05,3.1,3.25,2,3.1,3.3,2,1.65,1.9,1.9,-0.25,1.9,2,-0.25
3,2,2,2,2.25,3.2,2.8,2.25,3,2.95,2.4,2.9,2.7,2.38,3.2,2.6,,,,2.38,3,2.75,2.3,3,2.8,2.1,1.6,2,1.8,-0.25,2.05,1.85,-0.25
0,0,0,0,2,3.25,3.25,2.1,3,3.2,2.2,3,2.9,2,3.2,3.2,,,,2.1,3,3.25,1.9,3.1,3.6,2,1.65,1.8,2,-0.25,2.1,1.8,-0.5
1,0,0,0,2.2,3,3.1,2.25,3,2.95,2.1,2.9,3.2,2.1,3.2,3,,,,2.25,3,3,2.2,2.87,3.1,2.3,1.5,2,1.8,-0.25,2,1.9,-0.25
1,2,0,1,2.25,3.2,2.8,2.25,3,2.9,2.5,2.9,2.6,2.1,3.2,3,,,,2.3,3,2.88,2.25,3,2.87,2,1.65,2.05,1.77,-0.25,2.1,1.8,-0.25
1,0,1,0,1.5,3.5,6,1.5,3.4,6,1.45,3.6,5.8,1.44,3.4,7.5,,,,1.5,3.5,6,1.5,3.3,6.5,1.95,1.71,2.1,1.74,-1,2.1,1.8,-1
0,0,0,0,1.8,3,4.33,1.8,3.1,4,1.7,3,4.6,1.73,3.2,4.33,,,,1.75,3.1,4.5,1.72,3.1,4.5,1.95,1.71,1.8,2,-0.5,1.825,2.075,-0.5
2,0,1,0,2.3,3,2.87,2.25,3,2.9,2.4,2.8,2.8,2.38,3.2,2.6,,,,2.4,3,2.75,2.37,3,2.7,2.2,1.55,2.05,1.77,-0.25,2.1,1.8,-0.25
0,0,0,0,3.75,3.25,1.83,3.65,3.05,1.95,3.3,3,2,3.4,3.25,1.91,,,,3.75,3.2,1.85,3.6,3.1,1.9,2,1.71,1.9,1.95,0.5,1.9,2,0.5
2,0,1,0,1.53,3.5,5.5,1.5,3.55,6,1.5,3.5,5.4,1.62,3.25,5,,,,1.53,3.5,5.5,1.5,3.4,6,2,1.71,1.95,1.9,-1,2.05,1.85,-1
0,1,0,1,1.72,3.2,4.5,1.75,3.2,4.5,1.75,3,4.4,1.73,3.2,4.33,,,,1.73,3.2,4.5,1.8,3.1,4,2.15,1.6,2.05,1.8,-0.75,2.1,1.8,-0.75
3,0,2,0,1.4,3.75,7.5,1.4,3.8,7.5,1.4,3.7,6.5,1.4,3.75,7,,,,1.44,3.6,7,1.36,3.75,8,1.79,1.9,1.85,2,-1.25,1.975,1.925,-1.25
4,0,2,0,1.72,3.25,4.33,1.7,3.35,4.5,1.65,3.2,4.6,1.73,3.2,4.33,,,,1.73,3.25,4.33,1.66,3.3,4.5,2.25,1.55,1.95,1.9,-0.75,2.05,1.85,-0.75
0,1,0,1,1.57,3.2,6,1.6,3.4,5.25,1.6,3.1,5.2,1.62,3.25,5,,,,1.57,3.4,5.5,1.61,3.1,5.5,2.15,1.6,1.8,2.05,-0.75,1.8,2.1,-0.75
0,0,0,0,1.44,3.5,7,1.45,3.7,6.5,1.45,3.6,5.8,1.44,3.6,6.5,,,,1.44,3.6,7,1.44,3.25,8,2,1.71,2.05,1.8,-1.25,2.1,1.8,-1.25
4,0,1,0,2.37,3,2.75,2.45,3,2.7,2.3,2.8,2.9,2.38,3.2,2.6,,,,2.38,2.88,2.88,2.25,3,2.9,2.05,1.65,1.85,2,0,1.85,2.05,0
0,2,0,1,2.5,3,2.62,2.5,3,2.65,2.5,2.9,2.6,2.5,3.2,2.5,,,,2.4,3,2.75,2.37,3,2.7,1.95,1.75,1.95,1.9,0,1.975,1.925,0
3,2,1,1,1.66,3.4,4.5,1.7,3.25,4.65,1.65,3.2,4.6,1.67,3.4,4.33,,,,1.75,3.2,4.33,1.61,3.3,5,1.95,1.75,1.9,1.95,-0.75,1.875,2.025,-0.75
1,1,1,0,1.5,3.25,7,1.5,3.25,7.25,1.55,3.3,5.2,1.444,3.6,6.5,,,,1.5,3.25,7,1.44,3.5,7,2,1.65,1.9,1.9,-1,1.845,2.05,-1
1,3,1,3,2.6,2.87,2.6,2.6,2.9,2.6,2.6,2.8,2.6,2.5,3.25,2.4,,,,2.6,2.88,2.6,2.5,2.9,2.62,2,1.65,1.9,1.9,0,2,1.9,0
1,1,0,0,2.75,3,2.37,2.55,3.1,2.45,2.7,2.9,2.4,2.4,3.25,2.5,,,,2.7,3.1,2.38,2.62,3.1,2.37,2.25,1.55,1.95,1.9,0,1.95,1.95,0
3,0,0,0,1.72,3,5,1.7,3.3,4.35,1.7,3.1,4.4,1.667,3.25,4.5,,,,1.7,3.25,4.5,1.66,3.3,4.5,2.05,1.65,1.9,1.95,-0.75,1.9,2,-0.75
1,1,1,1,1.833,3.2,4.5,1.85,3.1,4,1.85,3,3.8,1.833,3.2,3.75,,,,1.8,3.1,4.2,1.83,3,4,2.1,1.6,1.9,1.95,-0.5,1.925,1.975,-0.5
1,1,1,0,2.375,3,2.75,2.35,2.85,3,2.3,2.8,2.9,2.2,3,3,,,,2.37,2.87,2.87,2.3,2.9,2.9,2.3,1.5,2.1,1.77,-0.25,2.125,1.775,-0.25
5,0,4,0,1.833,3.1,4,1.85,3.1,4,1.75,3.1,4.2,1.8,3.2,4,,,,1.8,3.1,4.2,1.83,3,4,2.1,1.6,1.85,2,-0.5,1.85,2.05,-0.5
0,2,0,0,2.3,3,2.875,2.3,3,2.9,2.1,2.8,3.3,2.2,3,3,,,,2.37,2.87,2.87,2.25,3,2.9,2.3,1.5,2.1,1.77,-0.25,2.1,1.8,-0.25
0,1,0,1,2.5,3,2.625,2.5,3,2.65,2.5,2.9,2.6,2.4,3.25,2.5,,,,2.5,3,2.62,2.37,3,2.7,2.2,1.55,1.8,2.05,0,1.8,2.1,0
2,1,0,0,1.909,3.2,3.6,2,3.1,3.45,1.9,3,3.6,2,3.2,3.2,,,,2.05,3,3.4,1.9,3,3.75,2,1.65,2.05,1.8,-0.5,2.025,1.875,-0.5
0,1,0,1,2,3.1,3.4,2.05,3.1,3.3,2,2.8,3.5,2.1,3,3.2,,,,2.1,3,3.25,1.9,3.2,3.5,2.2,1.55,2.1,1.77,-0.5,2.05,1.85,-0.5
1,1,1,0,2,3.1,3.4,2.1,3,3.35,1.9,3,3.6,2.25,3.2,2.75,,,,2.1,3.1,3.2,2,3,3.4,2,1.65,1.85,2,-0.25,1.825,2.075,-0.25
2,1,1,1,2.2,3.1,3,2.1,3.1,3.2,1.9,3,3.6,2,3.2,3.2,,,,2.2,3.1,3,2.1,3,3.2,1.95,1.71,1.9,1.95,-0.25,1.85,2.05,-0.25
0,1,0,0,3.6,3.2,1.909,3.55,3.15,1.95,3.6,3,1.9,3.5,3.2,1.909,,,,3.6,3.2,1.9,3.6,3.1,1.9,1.95,1.71,1.9,1.95,0.5,1.9,2,0.5
0,1,0,0,2.8,3.1,2.3,2.7,3.1,2.37,2.8,2.9,2.3,2.6,3.2,2.38,,,,2.62,3.1,2.4,2.7,3,2.37,2,1.65,2.05,1.8,0,2.05,1.85,0
2,0,2,0,2.1,3,3.25,2.05,3.15,3.25,2.1,2.9,3.2,2,3.2,3.2,,,,2,3.1,3.4,1.9,3.1,3.6,2.1,1.6,1.8,2.05,-0.25,1.825,2.075,-0.25
1,0,1,0,1.8,3,4.333,1.8,3.2,4.1,1.85,3,3.8,1.727,3.2,4.333,,,,1.83,3,4.2,1.83,3,4,2.1,1.6,1.85,2,-0.5,1.9,2,-0.5
2,0,1,0,2.625,3,2.5,2.6,3.05,2.5,2.6,2.8,2.6,2.6,3.2,2.375,,,,2.6,2.87,2.6,2.5,3.1,2.5,2.1,1.6,2.02,1.83,0,2.125,1.775,0
0,1,0,0,1.286,4.5,8.5,1.27,4.7,8.8,1.27,4.2,9,1.25,4.5,10,,,,1.28,4.5,8.5,1.25,4.5,10,1.75,1.9,2.05,1.8,-1.5,2,1.9,-1.5
2,1,1,0,1.533,3.4,6,1.5,3.4,6,1.45,3.6,5.8,1.5,3.4,6,,,,1.53,3.5,5.5,1.44,3.6,6.5,2,1.65,1.95,1.9,-1,2,1.9,-1
0,2,0,1,3.5,3,2,3.45,3.2,1.95,3.3,3,2,3.2,3.2,2,,,,3.6,3.2,1.9,3.6,3.1,1.9,2,1.65,1.85,2,0.5,1.875,2.025,0.5
4,0,3,0,1.909,3,3.8,1.8,3,4.4,1.9,3,3.6,1.909,3,3.75,,,,1.83,3.1,4,1.9,3,3.75,2.1,1.6,2.05,1.8,-0.5,2.1,1.8,-0.5
6,1,2,0,1.444,3.75,6.5,1.4,3.8,7.4,1.4,3.7,6.5,1.364,3.75,8,,,,1.4,3.75,7.5,1.4,3.6,7.5,1.83,1.83,2.05,1.8,-1.25,1.85,2.05,-1
0,2,0,1,2.5,3,2.625,2.4,3.05,2.7,2.5,3,2.5,2.4,3.25,2.5,,,,2.5,3,2.6,2.37,3,2.7,2.2,1.55,1.83,2.02,0,1.925,1.975,0
3,0,0,0,1.833,3.25,3.75,1.8,3.25,4,1.8,3.1,3.8,1.8,3.25,3.75,,,,1.83,3.1,4,1.66,3.1,5,2,1.65,1.95,1.9,-0.5,,,
0,0,0,0,2.1,3.25,3,2.1,3.1,3.2,2.1,2.8,3.3,2,3.2,3.2,,,,2.1,3,3.25,2,3.1,3.3,2.05,1.65,1.85,2,-0.25,2.125,1.775,-0.5
1,0,1,0,2,3.2,3.2,2,3.1,3.45,1.9,3,3.6,2,3.2,3.2,,,,2,3,3.5,2.1,3,3.2,2.25,1.55,1.75,2.1,-0.25,2.1,1.8,-0.5
0,0,0,0,2.8,3.25,2.2,3.2,3.1,2.1,3,2.9,2.2,2.75,3.2,2.25,,,,3,3.1,2.2,2.75,3.1,2.3,2.25,1.55,2.05,1.8,0.25,1.775,2.125,0.5
2,1,1,0,1.833,3.25,3.75,1.8,3.2,4.1,1.85,3,3.8,1.909,3.2,3.5,,,,1.8,3.1,4.2,1.9,3.1,3.6,2.25,1.55,2.05,1.8,-0.75,2.125,1.775,-0.75
0,1,0,0,1.4,3.75,7.5,1.4,3.8,7.5,1.3,4,8.5,1.4,3.75,7,,,,1.4,3.75,7.5,1.4,3.6,7.5,2,1.71,1.9,1.95,-1.25,2.025,1.875,-1.25
0,1,0,1,2.1,3.25,3,2.05,3.1,3.3,2.1,2.9,3.2,2,3.2,3.2,,,,2.1,3,3.25,2,3.1,3.3,2.25,1.55,1.8,2.05,-0.25,1.85,2.05,-0.25
3,1,2,1,1.909,3.25,3.5,1.9,3.1,3.8,1.9,2.7,4.2,1.8,3,4.333,,,,1.9,3.1,3.75,1.9,3,3.75,2.35,1.5,2.05,1.8,-0.75,1.9,2,-0.5
1,1,0,0,1.833,3.25,3.75,1.8,3.2,4.1,1.8,3,4,1.8,3.2,4,,,,1.75,3.2,4.33,1.8,3.1,4,2.05,1.65,2.05,1.8,-0.75,2.125,1.775,-0.75
0,1,0,1,3.25,3.25,2,3.45,3.1,2,3.8,2.9,1.9,3.2,3.2,2,,,,3.75,3.1,1.9,3.4,3,2,2.25,1.55,2.1,1.75,0.25,1.8,2.1,0.5
1,2,0,1,2.1,3.25,3,2.1,3,3.3,2.1,2.9,3.2,2.1,3,3.2,,,,2.1,3,3.25,2.1,3.1,3.1,2,1.71,1.8,2.05,-0.25,1.775,2.125,-0.25
4,0,0,0,1.3,4.5,8,1.33,4.25,8,1.33,3.8,8,1.333,4.333,7,,,,1.28,4.5,8.5,1.28,4.5,8,1.85,1.79,1.95,1.9,-1.5,2.05,1.85,-1.5
0,0,0,0,2.6,3.2,2.4,2.7,3,2.4,2.7,3,2.3,2.6,3.2,2.375,,,,2.75,2.87,2.5,2.75,3.2,2.25,2.1,1.6,1.8,2.05,0.25,1.8,2.1,0.25
0,0,0,0,1.727,3.25,4.333,1.75,3.1,4.5,1.7,3.2,4.2,1.8,3.25,3.75,,,,1.8,3.1,4.2,1.66,3.3,4.5,2,1.65,2.05,1.8,-0.75,2.125,1.775,-0.75
1,2,0,1,2.1,3,3.25,2.05,2.8,3.7,2.1,2.7,3.5,2.1,3,3.2,,,,2.1,3,3.25,1.9,2.87,4,2.2,1.55,2.05,1.59,-0.5,2.1,1.8,-0.5
2,0,1,0,1.3,4.5,8,1.33,4.25,8,1.33,3.8,8,1.286,4.333,9,,,,1.28,4.5,8.5,1.3,4.2,8.5,1.83,1.83,1.33,2.78,-0.5,1.825,2.075,-1.25
