FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH
2,1,1,1,2.5,3,2.625,2.65,3,2.6,2.4,2.9,2.7,2.5,3,2.6,,,,2.5,3,2.6,2.5,2.9,2.62,2.25,1.5,1.9,1.9,0,1.875,2.025,0
1,0,0,0,1.909,3,3.75,1.9,3.1,3.75,1.85,3,3.8,2,3.2,3.2,,,,2,3,3.5,2,3,3.4,1.95,1.66,1.9,1.88,-0.5,2.025,1.875,-0.5
2,0,2,0,1.909,3,3.75,1.95,3.1,3.6,1.9,3,3.6,2,3,3.4,,,,1.9,3.1,3.75,1.83,3,4,2.1,1.56,1.95,1.8,-0.5,2.05,1.85,-0.5
1,1,0,1,1.667,3.1,5,1.65,3.25,5,1.7,3.1,4.4,1.727,3.2,4.333,,,,1.7,3.2,4.75,1.61,3.1,5.5,2,1.61,1.8,1.98,-0.75,1.9,2,-0.75
0,0,0,0,1.286,4.5,8,1.3,4.4,8.5,1.3,4.2,8,1.333,4,8,,,,1.33,4.2,8,1.36,3.75,8,1.66,1.95,1.9,1.88,-1.5,1.95,1.95,-1.5
2,0,1,0,1.667,3.1,5,1.65,3.25,5,1.7,3.1,4.4,1.615,3.25,5,,,,1.66,3.2,5,1.57,3.3,5.5,1.95,1.66,1.8,1.98,-0.75,1.925,1.975,-0.75
1,0,0,0,1.615,3.25,5,1.65,3.25,5,1.65,3.2,4.6,1.615,3.25,5,,,,1.61,3.25,5.25,1.61,3.1,5.5,2,1.61,1.8,1.98,-0.75,1.9,2,-0.75
2,2,1,1,1.667,3.1,5,1.7,3.2,4.75,1.7,3.1,4.4,1.727,3.2,4.333,,,,1.66,3.2,5,1.66,3.1,5,2,1.61,1.95,1.82,-0.75,2.05,1.85,-0.75
0,0,0,0,1.8,3.1,4,1.85,3.1,4,1.85,3,3.8,1.909,3.2,3.5,,,,1.9,3.1,3.75,1.9,3.1,3.6,2,1.61,1.85,1.92,-0.5,1.95,1.95,-0.5
0,1,0,1,2.25,2.875,3,2.25,2.9,3.1,1.9,3,3.6,2.1,3,3.2,,,,2.3,2.87,3,2.25,2.87,3,2.1,1.56,1.98,1.8,-0.25,2.1,1.8,-0.25
2,4,1,2,2.1,3,3.2,2.2,3,3.1,2.3,2.9,2.8,2.1,3,3.2,,,,2.2,2.87,3.2,2.1,2.87,3.3,1.95,1.66,1.92,1.85,-0.25,2.025,1.875,-0.25
2,1,1,0,1.667,3.2,5,1.7,3.1,5,1.75,3.2,4,1.667,3.25,4.5,,,,1.72,3.2,4.5,1.72,3.1,4.5,2,1.61,2.1,1.7,-1,1.925,1.975,-0.75
2,0,2,0,3.25,3,2.1,3.25,3.05,2.1,3.2,2.9,2.1,3.2,3,2.1,,,,3.2,2.87,2.2,3.3,3.1,2,1.9,1.7,2.1,1.7,0.25,1.975,1.925,0.25
0,3,0,1,2.1,3,3.25,2.15,3,3.2,2.2,2.7,3.2,2.25,3,2.875,,,,2.2,2.87,3.2,2.1,2.87,3.3,2.2,1.51,1.9,1.9,-0.25,2,1.9,-0.25
3,2,0,1,2.5,3,2.625,2.65,3,2.5,2.9,2.8,2.3,2.625,2.875,2.5,,,,2.6,2.87,2.6,2.62,2.9,2.5,2.1,1.56,2,1.8,0,2.05,1.85,0
0,0,0,0,2.1,3,3.25,2.1,3.05,3.25,1.9,3.1,3.5,2,3,3.4,,,,2.2,2.87,3.2,2.1,2.87,3.3,2.1,1.56,1.8,2,-0.25,1.825,2.075,-0.25
2,1,2,1,2.1,3,3.25,2.05,3.1,3.35,2,2.8,3.6,2.1,3,3.2,,,,2.1,3,3.25,2.1,2.87,3.3,2.2,1.51,1.85,1.95,-0.25,1.825,2.075,-0.25
0,2,0,2,2,3,3.5,2.1,3,3.3,2.1,2.7,3.5,1.727,3.2,4.333,,,,2,3,3.5,2,3,3.4,2.2,1.51,1.85,1.95,-0.25,1.8,2.1,-0.25
0,1,0,0,2.875,3,2.3,2.95,3,2.3,2.9,2.8,2.3,2.75,3,2.375,,,,2.87,2.87,2.37,2.8,3,2.3,2.2,1.51,1.8,2,0.25,1.85,2.05,0.25
1,0,0,0,1.909,3,3.8,2,3,3.6,2,2.8,3.6,1.909,3,3.75,,,,2,3,3.5,1.9,3,3.75,2.1,1.56,1.95,1.85,-0.5,2,1.9,-0.5
1,0,1,0,1.364,3.75,9,1.45,3.65,6.75,1.5,3.4,5.6,1.4,3.75,7,,,,1.44,3.6,7,1.4,3.5,8,1.95,1.66,1.9,1.9,-1.25,2,1.9,-1.25
4,2,2,0,1.83,3,4.33,1.85,3.1,4.15,1.85,3.1,3.6,1.909,3.2,3.5,,,,1.85,3.1,4,1.9,3.1,3.6,2.1,1.56,1.85,1.95,-0.5,1.95,1.95,-0.5
1,3,1,1,1.72,3.2,4.5,1.8,3.15,4.35,1.7,3.2,4.2,1.727,3.2,4.333,,,,1.72,3.2,4.5,1.66,3.3,4.5,2.1,1.56,1.8,2,-0.5,2.075,1.825,-0.75
1,1,0,1,2.6,2.87,2.6,2.5,3,2.7,2.8,2.8,2.4,2.5,3.2,2.5,,,,2.5,3,2.62,2.62,2.9,2.5,2.1,1.56,1.9,1.9,0,1.925,1.975,-0.75
1,1,1,1,1.66,3.2,5,1.7,3.15,5.1,1.6,3.3,4.8,1.667,3.25,4.5,,,,1.66,3.2,5,1.66,3.1,5,1.9,1.7,1.95,1.85,-0.75,1.95,1.95,-0.75
5,0,2,0,1.36,3.75,8.5,1.4,3.8,8,1.4,3.7,6.5,1.4,3.6,7.5,,,,1.4,3.75,7.5,1.33,4,8,2,1.61,1.8,2,-1.25,2.05,1.85,-1.5
2,1,1,0,2.2,3,3.1,2.1,3,3.4,2.1,2.9,3.2,2.1,3,3.2,,,,2.1,3,3.25,2.1,2.87,3.3,2.2,1.55,1.9,1.9,-0.25,1.95,1.95,-0.25
1,0,1,0,2.1,3,3.25,2.1,3,3.4,2.2,2.9,3,2.25,3,2.875,,,,2.1,3,3.25,2.2,3,3,2.1,1.56,1.9,1.9,-0.25,1.85,2.05,-0.25
2,0,1,0,2.37,3,2.75,2.3,2.9,3,2.3,2.8,2.9,2.375,3,2.75,,,,2.3,2.87,3,2.37,3,2.7,2.2,1.55,1.8,2,0,1.825,2.075,-0.25
3,2,3,2,1.8,3,4.33,1.9,3.2,3.8,1.9,2.9,3.8,1.8,3.2,4,,,,1.9,3.1,3.75,1.83,3,4,2.2,1.55,1.9,1.9,-0.5,1.95,1.95,-0.5
2,1,1,0,1.44,3.4,7.5,1.5,3.5,6.7,1.55,3.4,5,1.444,3.4,7.5,,,,1.53,3.4,6,1.57,3.3,5.5,2,1.61,1.9,1.9,-1,1.825,2.075,-1
1,0,1,0,2.1,3,3.25,2.12,3,3.35,2.1,2.9,3.2,2.2,3,3,,,,2.1,3,3.25,2.1,3,3.2,2.3,1.46,1.8,2,-0.75,2.1,1.8,-0.5
4,1,3,1,1.72,3.2,4.5,1.72,3.25,4.65,1.65,3.2,4.6,1.667,3.25,4.5,,,,1.72,3.2,4.5,1.66,3.3,4.5,2.2,1.51,1.9,1.9,0,1.925,1.975,-0.75
0,2,0,0,2.5,3,2.62,2.6,2.92,2.65,2.4,2.9,2.7,2.5,2.875,2.625,,,,2.5,3,2.6,2.5,3.1,2.5,2,1.61,1.88,1.92,0.5,1.9,2,0
1,0,1,0,2.1,3,3.25,2.05,3.05,3.52,2.2,2.7,3.2,1.909,3.2,3.5,,,,2,3,3.5,1.9,3.1,3.6,2,1.61,1.8,2,-0.25,1.9,2,-0.25
2,0,2,0,1.9,3,3.8,1.98,3,3.8,1.85,3,3.8,2,3,3.4,,,,1.9,3.1,3.75,1.9,3.1,3.6,2.2,1.51,1.85,1.95,0.25,1.95,1.95,-0.5
