FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
1,0,0,0,1.25,5,8,1.25,5.25,8,1.25,5,9,1.2,5,10,1.25,4.5,9,1.22,5,9.5,1.22,5,9.5,1.4,2.6,1.25,3.21,-0.5,,,,,,
4,1,0,1,2.375,3.1,2.625,2.35,3.25,2.65,2.35,3.1,2.75,2.3,3,2.7,2.375,3.25,2.5,2.37,3.1,2.6,2.3,3.25,2.6,1.71,1.95,2.35,1.46,-0.5,,,,,,
3,1,2,0,2.25,3.2,2.75,2.2,3.25,2.85,2.2,3.2,2.9,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.75,2.3,3.25,2.6,1.65,2,2.2,1.52,-0.5,,,,,,
3,3,1,3,5.5,3.6,1.5,5.55,3.75,1.5,6,3.6,1.5,5,3.7,1.5,6,3.75,1.44,5.5,3.6,1.5,6,3.75,1.44,1.5,2.3,2.25,1.5,0.5,,,,,,
3,1,1,1,1.3,4.5,7.5,1.25,5.25,8,1.3,4.5,8.3,1.3,4.2,8,1.25,4.5,9,1.3,4.5,7.5,1.3,4.33,8,1.5,2.3,1.3,2.92,-0.5,,,,,,
2,3,1,2,2.25,3.2,2.75,2.3,3.25,2.7,2.25,3.3,2.75,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.25,3.25,2.7,1.71,1.95,2.25,1.5,-0.5,,,,,,
1,0,0,0,1.727,3.4,4,1.8,3.4,3.8,1.8,3.25,4,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.25,3.8,1.7,3.4,4.2,1.65,2,1.8,1.79,-0.5,,,,,,
0,4,0,1,2.5,3.1,2.5,2.25,3.3,2.75,2.45,3.35,2.45,2.2,3,2.9,2.4,3.25,2.5,2.3,3.2,2.62,2.25,3.2,2.75,1.65,2,2.45,1.42,-0.5,,,,,,
2,2,0,0,2.25,3.2,2.75,2.15,3.3,2.9,2.25,3.15,2.85,2.3,3,2.7,2.25,3.2,2.75,2.2,3.25,2.75,2.2,3.25,2.75,1.65,2,2.25,1.5,-0.5,,,,,,
3,0,1,0,1.83,3.2,3.75,1.9,3.4,3.4,1.8,3.25,4,1.8,3.1,3.8,1.8,3.4,3.6,1.83,3.2,3.75,1.85,3.3,3.6,1.6,2.1,1.8,1.79,-0.5,,,,,,
