FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
3,3,1,2,2.25,3.2,2.75,2.32,3.15,2.8,2.2,3,2.9,,,,,,,2.3,3.2,2.7,2.2,3.1,2.87,1.85,1.75,,
3,1,1,1,1.909,3.25,3.4,2.01,3.15,3.65,2,3.1,3.2,,,,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.1,3.6,1.85,1.95,,
0,1,0,1,2.1,3,3.2,2.1,3.1,3.3,2,3.1,3.2,,,,2.1,3.2,3.1,2.1,3.2,3.1,2,3.1,3.3,1.8,1.8,,
1,2,0,0,2.625,3.1,2.375,2.75,3.2,2.37,2.5,3,2.5,2.5,3.2,2.5,2.75,3,2.38,2.5,3.1,2.5,2.75,3.1,2.3,1.75,1.85,,
3,0,1,0,2.75,3.25,2.2,2.58,3.15,2.5,2.5,3,2.5,2.5,3.25,2.4,2.75,3.25,2.25,2.625,3.25,2.375,2.5,3.1,2.5,1.8,1.85,,
1,1,0,1,4.5,3.3,1.667,3.05,3.1,2.1,4.2,3.2,1.7,4.5,3.25,1.67,4.5,3.4,1.67,4.75,3.3,1.615,4.33,3.2,1.72,1.67,1.95,,
0,2,0,1,1.727,3.2,4.333,1.71,3.35,4.3,1.7,3.2,4.2,1.8,3.25,3.75,1.73,3.25,4.33,1.73,3.25,4.5,1.72,3.25,4.2,1.8,1.8,,
1,1,1,1,1.364,3.75,8,1.38,3.9,8,1.4,3.9,6,1.33,4,8,1.36,3.75,8.5,1.36,4,8.5,1.36,3.75,8,1.65,1.95,,
2,2,2,2,1.615,3.25,5,1.66,3.35,4.98,1.65,3.3,4.4,1.67,3.25,4.5,1.67,3.25,5,1.67,3.25,5,1.57,3.5,5,1.65,1.95,,
0,0,0,0,2.1,3,3.2,2.13,3.2,3.1,2.1,2.9,3.2,2.2,3.25,2.75,2.2,3,3.1,2.2,3.2,3,2,3.1,3.3,1.9,1.7,,
2,3,1,1,2.3,3.2,2.625,2.38,3.25,2.7,2.5,3,2.5,2.6,3.2,2.38,2.38,3,2.75,2.5,3.1,2.5,2.37,3,2.7,1.8,1.8,,
1,1,0,0,1.833,3.2,3.75,1.98,3.4,3.75,2.1,2.9,3.2,2,3.2,3.2,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.2,3.5,1.9,1.7,,
3,0,2,0,1.286,4.5,8,1.36,4.5,9,1.3,4.2,8,1.36,3.75,8,1.33,4,8.5,1.33,4.2,8.5,1.28,4.5,8,1.7,1.95,,
1,2,0,0,2.5,3,2.625,2.45,3.25,2.6,2.3,3,2.7,2.38,3.2,2.6,2.38,3.2,2.63,2.375,3.2,2.7,2.37,3,2.7,1.8,1.8,,
2,2,2,2,1.286,4.5,8,1.27,4.85,10.5,1.2,5,10,1.25,4.5,10,1.29,4.5,8.5,1.286,4.5,9.5,1.25,4.5,10,1.45,2.35,,
0,2,0,1,1.333,4,8,1.33,4.5,9.25,1.3,4.2,8,1.3,4,9,1.3,4.33,8.5,1.3,4.333,9.5,1.28,4.33,8.5,1.65,1.95,,
3,1,1,0,2.1,3.2,3,2.18,3.2,3.1,2.1,3,3.1,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3.2,3,2.1,3.1,3.1,1.7,1.9,,
2,0,0,0,1.909,3.2,3.5,2.05,3.2,3.45,1.9,3.1,3.5,1.83,3.2,3.75,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3,3.75,1.8,1.8,,
5,2,2,1,1.25,4.5,10,1.26,4.85,10.5,1.25,4.5,9,1.25,4.5,10,1.25,5,8.5,1.25,5,9.5,1.22,5,9.5,1.45,2.35,,
1,1,0,1,2.75,3.2,2.25,2.98,3.16,2.25,3,2.9,2.2,2.88,3,2.25,2.75,3,2.38,3,3,2.25,2.9,2.8,2.37,1.8,1.8,,
