FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
0,0,0,0,,,,1.55,3.3,4.5,1.53,3.4,5.5,1.57,3.3,5.5,1.53,3.4,5.5,1.53,3.4,5.5
1,0,0,0,,,,1.75,3.1,3.6,1.8,3.2,4,1.73,3.25,4.33,,,,1.66,3.3,4.5
0,0,0,0,,,,1.85,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.5,,,,1.9,3.2,3.5
3,0,3,0,,,,1.45,3.5,5,1.33,4,8,1.4,3.8,7,,,,1.4,3.75,7
4,2,2,2,,,,3.2,2.9,1.9,4,3,1.83,3.75,3.2,1.85,,,,3.75,3.2,1.83
0,1,0,1,,,,1.8,2.9,3.6,2,3.2,3.2,1.95,3.2,3.4,,,,,,
2,0,1,0,,,,1.65,3.1,4,1.8,3.2,4,1.75,3.2,4.33,,,,1.72,3.2,4.33
0,1,0,1,,,,2,2.9,3,2,3.2,3.2,2,3.2,3.25,,,,2,3.2,3.2
1,1,1,0,,,,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.1,2.5,,,,2.4,3.1,2.6
3,2,1,1,,,,1.85,2.9,3.4,1.61,3.25,5,1.62,3.25,5,,,,1.72,3.2,4.33
1,1,0,1,,,,1.9,2.9,3.2,2.1,3,3.2,1.91,3.2,3.5,,,,2,3.2,3.2
2,1,0,1,,,,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.2,2.75,2.2,3.2,2.8,2.25,3.1,2.8
2,0,0,0,,,,1.6,3.3,4,1.5,3.4,6,1.4,3.75,7,1.44,3.75,6,1.44,3.6,6.5
1,0,0,0,,,,2,2.9,3,2,3.2,3.2,1.91,3.2,3.5,2,3.2,3.2,1.83,3.3,3.6
1,1,0,0,,,,1.7,3.1,3.8,1.83,3.2,3.75,1.75,3.2,4.2,1.67,3.4,4.33,,,
2,2,2,0,,,,2.4,2.9,2.4,2.75,3.2,2.25,2.62,3.1,2.38,2.6,3.2,2.38,2.6,3.1,2.4
0,1,0,0,,,,1.7,3.1,3.8,1.8,3.25,3.75,1.85,3.2,3.75,1.83,3.2,3.75,1.72,3.25,4.2
3,3,2,0,,,,2.1,2.8,3,2.37,3.2,2.6,2.2,3.1,2.9,2.1,3.2,3,2.2,3.2,2.8
3,1,1,1,,,,2,2.7,3.2,1.8,3.25,3.75,1.91,3.25,3.5,1.91,3.25,3.4,1.9,3.25,3.4
1,0,1,0,,,,1.6,3.2,4.2,1.73,3.2,4.33,1.8,3.1,4.25,1.62,3.5,4.5,1.8,3.1,4
1,0,1,0,,,,1.9,2.8,3.3,2,3.2,3.2,1.95,3.2,3.4,2,3.2,3.2,1.9,3.2,3.5
0,0,0,0,,,,2.9,2.9,2.1,2.8,3.2,2.2,,,,2.8,3.2,2.2,3,3.2,2.1
2,2,2,2,,,,2.1,2.9,3.2,1.91,3.2,3.5,,,,2,3.2,3.2,1.9,3.2,3.5
1,2,0,1,,,,2.5,3,2.5,2.8,3.2,2.2,,,,2.6,3.2,2.38,2.62,3.1,2.37
1,4,0,2,,,,1.6,3.4,4.6,1.73,3.2,4.33,,,,1.73,3.2,4.33,1.66,3.3,4.5
2,2,1,1,,,,1.65,3.3,4.4,1.73,3.4,4,,,,1.73,3.2,4.33,1.66,3.3,4.5
3,1,2,0,,,,1.7,3.2,4.2,1.67,3.25,4.5,,,,1.73,3.2,4.33,1.66,3.3,4.5
2,0,0,0,,,,2,2.9,3.4,2,3.2,3.2,,,,2.1,3,3.2,2.1,3.2,3
0,2,0,0,,,,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.83,3.2,3.75,,,
2,1,1,1,,,,2.2,2.9,3,2.1,3.2,3,,,,2,3.2,3.2,2,3.3,3.1
1,2,1,1,,,,1.7,3.2,4.2,1.67,3.25,4.5,,,,1.73,3.2,4.33,1.61,3.3,5
1,1,0,1,1.8,3.25,4,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.8,3.25,3.75,1.83,3.2,3.75
1,0,1,0,1.38,3.85,7.6,1.35,4,7,1.4,3.75,7,,,,1.4,3.75,7,1.33,4,8
1,1,0,1,2.05,3.1,3.25,2.1,2.9,3.2,2,3.2,3.2,,,,2,3.2,3.2,2,3.1,3.3
1,1,0,0,3.4,3.1,2,3.2,2.9,2.1,3,3.2,2.1,,,,3,3.2,2.1,3.1,3.1,2.1
2,1,0,1,1.87,3.25,3.5,2,2.9,3.4,1.83,3.4,3.5,,,,1.91,3.2,3.5,,,
2,0,2,0,1.8,3.25,4,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.73,3.2,4.33,1.8,3.3,3.75
3,0,1,0,1.7,3.35,4.35,1.65,3.3,4.4,1.61,3.25,5,,,,1.67,3.25,4.5,1.66,3.3,4.5
1,1,1,1,1.6,3.35,5.1,1.6,3.4,4.6,1.61,3.25,5,,,,1.62,3.25,5,1.61,3.3,5
2,0,1,0,1.47,3.8,5.75,1.45,3.8,5.4,1.44,3.6,6.5,,,,1.44,3.6,6.5,1.44,3.5,7
1,3,0,2,2.3,3.05,2.85,2.1,2.9,3.2,2.1,3.2,3,,,,2.25,3.2,2.75,2.25,3.2,2.75
3,0,1,0,1.5,3.6,6,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.5,6,1.44,3.6,6.5,1.53,3.4,5.5
4,0,2,0,2.25,3.1,2.9,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.2,3.25,2.75,,,
2,1,0,0,3.6,3.25,1.9,3.5,3.1,1.9,4.33,3.2,1.73,3.9,3.2,1.8,3.5,3.2,1.91,3.6,3.3,1.83
0,1,0,1,1.9,3.2,3.6,1.9,3,3.6,1.73,3.2,4.33,1.91,3.2,3.5,1.91,3.2,3.5,1.9,3.25,3.5
2,3,1,0,2.9,3.2,2.2,3,2.9,2.2,2.75,3.2,2.25,2.75,3.2,2.25,2.75,3.2,2.25,2.8,3.2,2.2
1,0,1,0,1.65,3.3,4.6,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.4,4.33,1.67,3.4,4.33,1.66,3.3,4.5
1,1,1,0,1.9,3.2,3.5,1.75,3.2,4,1.91,3.2,3.5,1.91,3.25,3.5,1.91,3.2,3.5,1.72,3.5,3.8
1,1,0,0,1.41,3.7,7,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7
1,1,0,1,2.75,3.1,2.3,2.7,2.9,2.4,2.8,2.87,2.37,2.7,3.1,2.3,2.6,3,2.5,2.75,3.1,2.3
0,2,0,1,1.9,3.2,3.6,2,3,3.3,1.8,3.2,4,1.91,3.25,3.4,1.91,3.2,3.5,1.9,3.25,3.4
2,1,2,0,2.3,3,2.87,2.2,2.9,3,2.25,3.2,2.75,2.4,3,2.7,2.38,3,2.75,2.2,3.1,2.87
0,1,0,0,1.7,3.3,4.4,1.75,3.2,4,1.73,3.2,4.33,1.67,3.25,4.8,1.67,3.25,4.5,1.61,3.3,5
5,1,4,1,1.33,4.25,7.7,1.35,4,7,1.3,4,9,1.33,4.2,8,1.3,4.33,8,,,
1,2,1,1,1.73,3.3,4.25,1.85,3.1,3.6,1.73,3.2,4.33,1.8,3.2,4,1.8,3.25,3.75,1.83,3.4,3.5
4,2,3,1,2.72,2.95,2.45,2.5,3,2.5,2.6,3.2,2.37,2.7,3.1,2.38,2.8,3,2.3,2.7,3,2.37
1,3,1,1,1.95,3.1,3.55,1.9,3,3.6,1.8,3.25,3.75,1.95,3.1,3.5,1.91,3.2,3.5,1.83,3.2,3.75
2,0,1,0,1.77,3.2,4.2,1.75,3.2,4,1.73,3.2,4.33,1.73,3.2,4.33,1.8,3.25,3.75,1.72,3.2,4.33
2,0,1,0,2,3.15,3.35,1.9,3,3.6,2,3.2,3.2,2,3.2,3.3,2,3.2,3.2,2,3.1,3.3
2,1,1,1,1.3,4.5,8,1.35,4,7,1.25,4.5,10,1.3,4.33,8.5,1.3,4.33,8,1.28,4.5,8
1,0,1,0,2.15,3.2,3,2,3,3.3,2.2,3.2,2.8,2.2,3.1,2.9,2.25,3.2,2.75,2.2,3.25,2.75
0,0,0,0,2.3,3,2.9,2.1,3,3.1,2.2,3,3,2.2,3.1,2.9,2.25,3,2.88,2.2,3,3
2,1,1,1,1.71,3.25,4.5,1.7,3.2,4.2,1.73,3.2,4.33,1.62,3.3,5,1.67,3.25,4.5,1.61,3.3,5
4,0,2,0,1.25,4.5,8.5,1.35,4,7,1.33,4,8,1.33,4,8,1.29,4.5,8,1.33,4.2,7.5
2,3,1,0,1.66,3.3,4.75,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.3,5,1.67,3.4,4.33,1.66,3.3,4.5
0,0,0,0,2.8,3,2.35,3,2.9,2.2,3,2.87,2.25,2.8,3,2.3,2.88,2.8,2.38,,,
1,2,0,0,2.05,3.1,3.3,2,2.9,3.4,2,3.2,3.2,2.1,3.2,3,2,3.2,3.2,2.1,3.1,3.1
3,0,2,0,2.25,3.1,2.9,2.2,2.9,3,2.25,3.2,2.75,2.25,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.75
3,1,1,1,3.45,3.15,1.95,3.3,3,2,3.2,3.2,2,3.4,3.25,1.91,3.2,3.2,2,3.2,3.2,2
2,0,1,0,1.75,3.2,4.3,1.8,3.1,3.8,1.8,3.2,4,1.73,3.25,4.2,1.8,3.2,4,1.8,3.3,3.75
2,1,1,0,3.6,3.2,1.9,3.3,3,2,3.5,3.2,1.91,3.3,3.1,2,3.2,3.2,2,3.4,3.25,1.9
3,1,1,1,1.31,4.25,8.5,1.35,4,7,1.36,3.75,8,1.33,4,8.5,1.3,4.33,8,1.3,4.5,7.5
0,0,0,0,3.3,3.2,2,3.2,2.9,2.1,3.2,3,2.1,3.3,3.1,2,3.2,3.2,2,2.8,3.1,2.25
2,1,1,0,1.3,4.5,8,1.4,3.7,6.4,1.33,4,8,1.3,4.33,8,1.3,4.33,8,1.33,4,8
1,0,1,0,2,3.2,3.3,2,2.9,3.4,2,3.2,3.2,2,3.1,3.3,2.1,3,3.2,2,3.1,3.3
0,0,0,0,2,3.2,3.3,1.8,3.1,3.8,1.91,3.2,3.5,2,3.1,3.3,1.91,3.2,3.5,1.9,3.2,3.5
2,0,0,0,1.64,3.45,4.6,1.7,3.2,4.2,1.73,3.2,4.33,1.67,3.3,4.5,1.67,3.25,4.5,1.72,3.2,4.33
2,1,1,1,2.15,3.15,3,2.2,2.9,3,2.2,3.2,2.8,2.25,3.1,2.8,2.2,3.2,2.8,2.2,3.1,2.87
2,1,2,0,2,3.2,3.3,1.85,3.1,3.6,1.91,3.2,3.5,2,3.1,3.3,1.91,3.2,3.5,,,
0,0,0,0,1.3,4.25,8.5,1.3,4.2,8,1.36,3.75,8,1.3,4.33,8,1.29,4.5,8,1.3,4.33,8
2,0,1,0,2.2,3.1,2.95,2.1,2.9,3.2,2.2,3.2,2.8,2.15,3.2,2.9,2.25,3.1,2.8,2.1,3.1,3.1
1,2,0,1,1.43,3.75,6.4,1.4,3.9,6,1.44,3.6,6.5,1.44,3.75,6.5,1.44,3.6,6.5,1.44,3.6,6.5
4,1,2,1,1.7,3.3,4.45,1.6,3.4,4.6,1.73,3.2,4.33,1.73,3.25,4.33,1.73,3.2,4.33,1.72,3.25,4.2
4,1,2,1,2.65,3.1,2.4,2.5,3,2.5,2.8,2.87,2.37,2.62,3.1,2.4,2.7,3.1,2.3,2.62,3.1,2.37
1,2,0,0,2.25,3.1,2.9,2.2,2.9,3,2.25,3,2.87,2.25,3.1,2.88,2.2,3.1,2.88,,,
2,0,1,0,2.85,3,2.35,3,2.9,2.2,3,2.87,2.25,3,2.9,2.25,2.88,2.8,2.38,2.9,2.8,2.37
0,3,0,2,4.2,3.3,1.75,4,3.3,1.7,4,3.2,1.8,4,3.25,1.8,3.75,3.25,1.8,3.75,3.3,1.8
4,0,1,0,2.05,3.1,3.3,2,2.9,3.4,2,3,3.4,1.95,3.2,3.4,1.91,3.2,3.5,1.9,3.25,3.4
1,0,0,0,1.95,3.1,3.6,2,3,3.3,2,3,3.4,1.91,3.1,3.6,2,3.2,3.2,2,3.2,3.2
1,0,1,0,2.15,3.2,2.95,2.3,2.9,2.8,2.2,3,3,2.2,3,3,2.2,3.1,2.88,2.2,3.2,2.8
2,1,1,0,1.77,3.25,4.1,1.75,3.2,4,1.73,3.2,4.33,1.75,3.2,4.2,1.73,3.4,4,1.72,3.2,4.33
2,0,1,0,2.62,3,2.4,2.5,3,2.5,2.6,3.2,2.37,2.6,3.1,2.4,2.6,3.1,2.38,2.5,3.1,2.5
1,0,0,0,2.3,3.1,2.8,2.3,3,2.7,2.25,3.2,2.75,,,,2.25,3.1,2.8,2.4,3.1,2.6
2,1,2,0,1.22,5,10,1.25,4.5,9,1.2,5,11,1.2,5,11,1.2,5,11,,,
1,1,0,1,1.55,3.5,5.5,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.25,5,1.62,3.25,5,1.57,3.3,5.5
2,1,1,0,1.82,3.15,4.05,1.75,3.2,4,1.83,3.2,3.75,1.8,3.2,4,1.73,3.2,4.33,1.8,3.25,3.8
1,0,0,0,1.6,3.35,5.25,1.6,3.4,4.6,1.67,3.25,4.5,1.6,3.3,5,1.57,3.5,5,1.57,3.3,5.5
3,1,1,0,1.75,3.25,4.2,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.2,4.33,1.8,3.25,3.75,1.66,3.25,4.5
1,0,0,0,2.1,3,3.25,2.1,2.9,3.2,2.1,3,3.2,2.1,3,3.2,2.1,3.1,3.1,2.1,3.2,3
1,0,1,0,1.95,3.15,3.5,2,3,3.3,2,3.2,3.2,1.95,3.2,3.3,2,3.1,3.3,1.83,3.4,3.5
