FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
2,1,1,0,1.75,3.35,4,1.65,3.3,4,1.8,3.25,3.75,1.727,3.4,4,1.7,3.4,4
0,1,0,0,1.64,3.45,4.5,1.65,3.3,4,1.7,3.3,4.2,1.727,3.2,4.333,1.6,3.5,4.5
3,0,1,0,1.32,4.25,8,1.3,4.3,7,1.364,3.8,8,1.3,4.5,7.5,1.3,4.5,7
0,0,0,0,2.7,3.1,2.33,2.4,3.1,2.4,2.625,3.2,2.3,2.7,3.2,2.25,2.6,3.2,2.3
0,1,0,1,3.05,3.25,2.05,2.8,3.1,2.2,2.75,3.4,2.1,2.8,3.4,2.1,2.85,3.25,2.1
1,2,1,0,2.15,3.1,2.95,2.2,3,2.7,2.2,3.2,2.75,2.1,3.2,3,2.1,3.25,2.85
4,0,3,0,1.38,3.85,7.2,1.4,3.9,6,1.4,3.8,6.5,1.444,3.75,6,1.35,4,7
3,3,1,0,2.1,3.15,3,2.2,3,2.9,2.1,3.2,2.9,2.1,3.25,2.9,2.1,3.25,2.85
0,0,0,0,2.3,3.15,2.7,2.3,3.1,2.5,2.4,3.2,2.5,2.3,3.25,2.6,2.25,3.2,2.65
0,2,0,0,2,3.15,3.25,2.2,3,2.7,2,3.25,3.1,2,3.2,3.2,1.85,3.3,3.4
1,1,1,1,1.9,3.1,3.65,1.9,3.1,3.5,1.95,3,3.5,2.1,3.2,3,2,3.1,3.3
3,1,1,1,1.83,3.2,3.8,1.85,3.1,3.4,1.833,3.25,3.6,1.8,3.4,3.6,1.8,3.3,3.65
0,5,0,3,6.15,3.85,1.42,5.4,3.8,1.45,5,3.75,1.5,5,3.6,1.533,5.25,3.65,1.5
0,2,0,1,1.9,3.3,3.4,2.1,3,3.1,1.909,3.2,3.5,2,3.2,3.2,1.8,3.25,3.7
1,0,0,0,1.45,3.8,5.9,1.4,3.9,6,1.444,3.75,6,1.4,3.75,7,1.45,3.75,5.5
3,1,1,1,1.35,4.1,7.15,1.35,4,7,1.364,3.75,8,1.364,4,7,1.35,4,7
3,0,2,0,1.5,3.7,5.3,1.55,3.4,4.6,1.5,3.6,5.5,1.5,3.6,5.5,1.45,3.75,5.5
1,1,0,0,1.25,4.65,9.05,1.25,4.5,9,1.3,4.333,8,1.3,4.333,8,1.3,4.2,8
3,1,0,1,2.45,3.25,2.45,2.5,3,2.5,2.7,3.2,2.25,2.7,3.2,2.25,2.6,3.2,2.3
4,1,2,0,1.55,3.5,5.15,1.6,3.4,4.6,1.571,3.5,5,1.571,3.5,5,1.6,3.5,4.5
3,1,0,0,1.5,3.65,5.45,1.55,3.4,4.6,1.5,3.4,6,1.444,3.75,6,1.4,3.75,6.5
4,3,1,1,1.18,5.5,10,1.2,5,10,1.222,5,9,1.167,5.5,11,1.2,5,10
2,0,2,0,1.35,4.25,6.8,1.5,3.4,4.7,1.4,4,6.25,,,,1.4,3.75,6.5
3,1,1,0,2.1,3.25,2.95,2,3,3,2.1,3.4,2.8,,,,2.15,3.3,2.75
0,0,0,0,1.75,3.25,4.1,1.7,3.3,4,1.8,3.25,3.8,,,,1.75,3,4.3
0,0,0,0,1.9,3.2,3.4,1.9,3.1,3.5,1.9,3.25,3.4,,,,1.8,3.2,3.75
3,0,1,0,1.25,4.6,9.7,1.3,4.2,7,1.3,4.5,7.5,,,,1.3,4.2,8
0,1,0,0,5.7,3.55,1.5,4.8,3.5,1.55,6,3.75,1.444,,,,5,3.75,1.5
0,0,0,0,1.35,4,7.5,1.4,3.9,6,1.364,3.75,8,,,,1.4,3.75,6.5
2,2,2,0,1.75,3.35,4,1.9,3.1,3.4,1.727,3.4,4,,,,1.85,3.25,3.5
2,2,2,1,1.85,3.3,3.6,1.9,3.1,3.4,1.909,3.2,3.5,2,3,3.4,1.85,3.25,3.5
1,2,0,0,2.85,3.2,2.15,3.1,3,2.1,2.8,3.2,2.2,2.7,3.2,2.25,2.7,3.25,2.2
3,1,0,0,2.2,3.2,2.8,2.2,3.1,2.8,2.3,3.1,2.7,2.25,3.2,2.7,2.3,3.25,2.55
2,0,0,0,4.3,3.6,1.6,,,,,,,,,,3.6,3.4,1.75
1,3,1,1,1.4,3.6,6.5,1.35,4,7,1.533,3.4,5.5,1.444,3.75,6,1.5,3.5,5.5
0,1,0,0,,,,2.5,3,2.5,2.75,3.25,2.2,2.7,3.2,2.25,2.7,3.2,2.2
2,0,1,0,1.9,3.15,3.5,1.9,3.1,3.5,1.909,3.2,3.5,1.909,3.2,3.5,1.9,3,3.75
1,2,0,1,1.9,3.2,3.5,1.9,3.1,3.4,1.909,3.25,3.4,1.909,3.4,3.25,1.85,3.3,3.6
0,4,0,1,7.5,4.4,1.31,7,4.5,1.3,7.5,4.6,1.286,8,4.333,1.3,7.5,4.3,1.3
1,2,1,1,7.8,4.6,1.3,7,4.5,1.3,7,4.5,1.286,,,,6.5,4.2,1.35
0,0,0,0,1.35,4.1,6.6,1.35,4,7,1.4,3.75,7,1.4,3.75,7,1.4,3.75,6.5
4,1,0,0,2.3,3.3,2.6,2.3,3.2,2.3,,,,2.3,3.2,2.625,2.3,3.3,2.5
0,1,0,1,5.8,3.8,1.47,5,4,1.45,5.5,3.75,1.444,5.5,3.6,1.5,5.25,3.6,1.5
1,1,1,0,4.6,3.65,1.6,5,3.7,1.5,5,3.5,1.571,5,3.5,1.571,4.5,3.5,1.6
2,2,1,2,1.8,3.6,3.5,1.9,3.1,3.1,1.8,3.4,3.6,1.8,3.5,3.5,1.85,3.3,3.4
1,0,1,0,1.25,5.1,8.4,1.25,4.5,9,1.25,4.6,9,1.3,4.333,8,1.3,4.3,7.5
2,1,0,0,1.88,3.4,3.4,1.9,3.1,3.1,1.85,3.4,3.5,1.833,3.3,3.6,1.8,3.3,3.6
2,0,0,0,1.35,4.2,7.3,1.5,3.5,5.4,1.364,4.2,6.5,1.364,4.333,6,1.35,4.2,6.5
6,0,3,0,1.2,5.35,10,1.2,5,10,1.222,5,9.5,1.2,5,11,1.2,5,10
3,2,0,1,1.6,3.5,4.6,1.6,3.4,4.6,1.571,3.5,5,1.615,3.5,4.5,1.65,3.4,4.25
1,0,0,0,5,3.6,1.52,4.6,3.4,1.6,4.8,3.4,1.6,4.5,3.5,1.615,4.25,3.4,1.65
2,0,1,0,1.15,6,11,1.15,6,12,,,,,,,,,
5,0,2,0,1.77,3.3,3.9,1.85,3.1,3.6,,,,,,,,,
3,2,1,1,1.47,3.8,5.5,1.45,3.8,5.4,,,,,,,,,
2,0,0,0,1.83,3.3,3.6,1.8,3.1,3.8,,,,,,,,,
3,1,1,0,1.25,4.85,8.25,1.25,4.5,8,,,,,,,,,
3,0,2,0,1.1,6.75,14,1.1,7,14,,,,,,,,,
1,0,0,0,1.75,3.4,3.85,1.9,3.1,3.4,,,,,,,,,
2,0,0,0,1.9,3.25,3.4,1.9,3.1,3.4,,,,,,,,,
4,2,2,1,1.33,4.3,7,1.4,3.9,6,,,,,,,,,
2,2,2,0,4.6,3.5,1.6,,,,5,3.5,1.533,,,,5.5,3.5,1.5
0,1,0,0,1.55,3.7,4.7,,,,1.571,3.5,4.75,1.571,3.5,5,1.6,3.5,4.5
0,0,0,0,3.15,3.2,2,,,,,,,3,3,2.2,2.9,2.9,2.25
0,0,0,0,1.42,3.9,6,,,,,,,1.5,3.6,5.5,1.4,3.75,6.5
0,2,0,2,6.75,3.2,1.5,,,,5.5,3.1,1.6,5.5,3.4,1.533,4.8,3.3,1.6
3,2,1,1,2.5,3.15,2.45,,,,,,,2.4,3.2,2.5,2.35,3.2,2.5
0,0,0,0,4.4,2.7,1.8,,,,,,,,,,4,2.8,1.9
0,0,0,0,1.9,3.2,3.45,,,,,,,2,3.4,3,1.85,3.25,3.5
0,0,0,0,2.25,3.25,2.6,,,,,,,,,,2.3,3.3,2.5
