FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
0,0,0,0,,,,2,3,2.9,,,,,,,2.1,3.3,2.8
5,0,4,0,,,,1.25,4.3,8,,,,,,,1.25,4.8,8
1,2,1,1,,,,1.6,3.3,4,,,,,,,1.75,3.4,3.75
0,1,0,1,,,,2.8,3,2.1,,,,,,,3.25,3.4,1.9
3,4,2,1,,,,2,2.9,3,,,,1.91,3.4,3.25,2,3.3,3
2,1,1,1,,,,1.55,3.3,4.5,,,,1.67,3.4,4.33,1.7,3.5,3.8
0,2,0,1,,,,2.8,3,2.1,,,,2.75,3.25,2.2,3,3.3,2
4,2,1,1,,,,2.35,3,2.35,,,,2.2,3.25,2.75,2.1,3.3,2.8
1,0,0,0,,,,1.25,4.3,8,,,,1.2,5,11,1.2,5,10
0,0,0,0,,,,1.85,2.9,3.4,,,,1.62,3.6,4.33,1.75,3.5,3.6
1,0,0,0,,,,2.9,3,2,,,,2.8,3.4,2.1,2.8,3.3,2.1
3,1,2,1,,,,2.1,3,2.8,,,,1.91,3.4,3.25,1.9,3.4,3.2
1,1,1,1,,,,,,,,,,,,,,,
1,0,0,0,1.33,4.3,7.55,1.3,4,7,,,,,,,1.35,3.75,8
1,3,1,3,3.05,3.15,2.1,3.3,3,1.85,,,,,,,3.1,3.3,1.95
4,0,2,0,1.3,4.25,8,1.25,4.3,8,,,,,,,1.3,4,8.5
0,3,0,1,2.1,3.15,3.05,2.1,3,2.8,,,,,,,2.1,3.3,2.8
1,0,0,0,1.44,3.75,6.15,1.4,3.6,5.5,,,,,,,1.45,3.75,5.5
3,1,1,1,1.85,3.2,3.7,1.9,3,3.1,,,,,,,1.8,3.3,3.6
1,1,0,0,2.2,3.15,2.85,2.3,2.9,2.5,,,,,,,2.35,3.25,2.5
1,1,1,1,2.48,3.15,2.48,2.7,2.9,2.2,,,,,,,2.5,3.2,2.35
2,0,1,0,2.15,3.15,2.95,2.3,2.9,2.5,,,,,,,2.1,3.3,2.8
5,1,1,0,,,,,,,,,,,,,,,
0,0,0,0,1.55,3.65,5,1.75,3.1,3.6,1.75,3.4,3.8,,,,1.85,3.4,3.3
3,0,1,0,1.55,3.5,5.25,1.6,3.3,4,1.44,3.75,6,,,,1.45,3.75,5.5
1,0,1,0,1.55,3.6,4.9,1.5,3.4,4.7,1.53,3.4,5.5,,,,1.5,3.6,5.25
