FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
1,0,1,0,3.5,3.25,2.2,3.2,3.2,2.25,3.45,3.15,2.1,3.3,3.25,2.2,3.44,3.48,2.24,3.4,3.1,2.25,3.6,3.4,2.2,43,3.6,3.32,3.5,3.31,2.26,2.19,42,2.12,2.03,1.85,1.77,29,0.25,2.02,1.96,1.93,1.88
0,1,0,0,8,4.2,1.45,8.5,4.2,1.5,6.3,3.9,1.5,8,4.2,1.45,9.1,4.4,1.46,7,4,1.5,8.5,4.3,1.45,40,9.1,7.91,4.4,4.13,1.5,1.45,38,2.25,2.11,1.8,1.71,26,1,2.15,2.07,1.85,1.77
0,2,0,2,2.3,3,3.6,2.3,2.9,3.4,2.2,3.1,3.3,2.2,2.8,3.5,2.31,3.04,3.8,2.3,2.9,3.6,2.38,3,3.7,39,2.38,2.27,3.2,2.97,3.8,3.54,31,3.07,2.86,1.45,1.4,23,-0.25,2,1.94,1.94,1.89
3,0,2,0,2.3,3,3.4,2.4,3,3.1,2.2,3.1,3.3,2.3,2.8,3.2,2.44,3.05,3.48,2.4,2.9,3.4,2.45,3,3.5,40,2.5,2.36,3.15,2.97,3.5,3.33,32,3,2.78,1.46,1.42,25,-0.25,2.05,2,1.88,1.84
1,2,1,1,1.57,3.75,7,1.57,3.75,6,1.6,3.6,5.6,1.57,3.5,5.75,1.62,3.88,6.65,1.62,3.5,6.5,1.6,3.9,7,40,1.62,1.57,4,3.74,7.5,6.5,38,2.27,2.17,1.72,1.67,26,-1,2.17,2.06,1.85,1.79
1,0,0,0,2.2,3.1,3.6,2.2,3,3.5,2.1,3.15,3.45,2.1,2.9,3.6,2.29,3.12,3.73,2.2,3,3.75,2.3,3.1,3.8,40,2.3,2.2,3.2,3.04,4,3.63,32,2.88,2.73,1.47,1.43,25,-0.25,1.97,1.9,2.02,1.94
2,1,0,0,2.2,3.3,3.4,2.3,3.4,3.2,2.3,3.1,3.1,2.15,3.1,3.2,2.28,3.37,3.46,2.3,3.2,3.2,2.3,3.4,3.4,40,2.3,2.23,3.4,3.25,3.5,3.27,38,2.15,2.04,1.84,1.76,24,-0.25,1.98,1.92,1.98,1.92
1,1,1,0,3.1,3.1,2.5,3.1,3.25,2.55,2.9,3.15,2.4,2.9,2.9,2.4,3.06,3.22,2.58,3,3.1,2.5,3.2,3.2,2.5,40,3.25,2.99,3.3,3.14,2.6,2.45,32,2.38,2.28,1.65,1.59,25,0.25,1.82,1.77,2.17,2.08
0,0,0,0,2.1,3.2,3.8,2.15,3.1,3.5,2.2,3.1,3.3,2,3,3.75,2.11,3.28,4.06,2.15,3,3.8,2.15,3.25,4,40,2.25,2.1,3.3,3.16,4.06,3.73,32,2.62,2.43,1.59,1.53,25,-0.5,2.14,2.08,1.81,1.77
0,1,0,0,2.63,3,3,2.65,3,2.8,2.6,3.2,2.6,2.5,2.8,2.8,2.67,3.08,3.07,2.62,3,2.9,2.75,3,3,40,2.75,2.6,3.3,3.02,3.07,2.89,32,2.7,2.59,1.5,1.48,26,0,1.88,1.82,2.1,2.01
6,0,1,0,1.62,3.8,6,1.67,3.9,6,1.55,3.7,6,1.62,3.5,5.25,1.65,3.91,6.07,1.67,3.6,5.5,1.65,4,6,40,1.7,1.62,4,3.76,6.5,5.67,39,2.01,1.94,1.95,1.86,25,-0.75,1.88,1.82,2.08,2.02
2,0,0,0,4,3.3,2,3.6,3.3,2.05,3.75,3.2,2,3.75,3.3,2.05,4.25,3.34,2.06,3.8,3.25,2.05,4.3,3.3,2.05,37,4.33,3.9,3.4,3.25,2.1,2.02,33,2.42,2.32,1.65,1.59,24,0.5,1.89,1.84,2.07,2.01
1,1,1,0,2.3,3.1,3.4,2.3,3.1,3.2,2.2,3.1,3.3,2.2,2.9,3.3,2.29,3.18,3.64,2.25,3,3.5,2.3,3.13,3.7,37,2.5,2.24,3.25,3.08,3.7,3.4,28,2.63,2.51,1.55,1.5,22,-0.25,1.97,1.92,1.99,1.92
0,4,0,2,3.3,3.3,2.25,3.3,3.1,2.25,3.1,3.1,2.3,3.1,3.2,2.15,3.47,3.42,2.25,3.4,3.1,2.25,3.5,3.4,2.25,37,3.5,3.29,3.42,3.24,2.3,2.22,35,2.05,1.97,1.91,1.83,22,0.25,2,1.94,1.97,1.91
1,0,1,0,1.4,4,10,1.5,4,6.5,1.5,3.9,6.3,1.4,3.75,8.5,1.48,4.11,9.5,1.44,3.8,9,1.45,4.2,10.5,37,1.5,1.44,4.33,3.96,10.5,8.6,28,2.51,2.39,1.6,1.55,24,-1,1.83,1.8,2.12,2.06
4,1,1,0,2.25,3.1,3.5,2.25,3.2,3.2,2.2,3.1,3.3,2.2,3,3.25,2.32,3.28,3.47,2.3,3,3.4,2.3,3.3,3.5,37,2.33,2.24,3.3,3.15,3.6,3.35,28,2.5,2.29,1.65,1.59,22,-0.25,1.99,1.94,1.97,1.91
3,1,1,1,2.15,3.25,3.6,2.2,3.25,3.2,2.1,3.15,3.45,2.15,3,3.3,2.23,3.25,3.72,2.2,3,3.6,2.25,3.2,3.75,37,2.25,2.17,3.31,3.15,3.8,3.51,28,2.56,2.42,1.57,1.53,23,-0.25,1.93,1.88,2.03,1.97
0,0,0,0,2.5,3.1,3,2.5,3.25,2.75,2.5,3.1,2.8,2.38,2.9,2.9,2.45,3.25,3.24,2.5,2.88,3.2,2.5,3.2,3.2,37,2.52,2.42,3.25,3.1,3.24,3.04,28,2.5,2.36,1.62,1.56,22,0,1.75,1.72,2.28,2.15
