FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
0,1,0,0,2.1,3.25,3,2.1,3.3,3.15,1.85,3.2,3.5,2.2,3.25,2.75,2.1,3.25,3,2,3.25,3.25,2.1,3.1,3.1,1.7,2,1.83,1.83,1.75,2.05,-0.25,1.8,2.05,-0.25,1.9,2,-0.25
4,0,2,0,1.667,3.5,4.333,1.75,3.5,4.15,1.8,3.1,3.8,1.727,3.5,3.75,1.62,3.5,4.75,1.61,3.5,4.75,1.61,3.5,4.5,1.55,2.25,1.61,2.2,2,1.8,-0.75,2.05,1.8,-0.75,2.1,1.8,-0.75
0,1,0,1,2.4,3.2,2.6,2.45,3.3,2.6,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.4,3.1,2.6,1.75,1.95,1.72,2,1.9,1.9,0,1.85,2,0,1.925,1.975,0
2,1,1,0,1.533,3.5,5.5,1.5,3.7,6.25,1.5,3.7,5,1.444,3.75,6,1.5,3.5,6,1.5,3.5,6,1.44,3.6,6.5,1.67,2.05,1.8,1.9,1.9,1.9,-1,1.8,2.05,-1,2.05,1.85,-1.25
5,1,0,0,2.2,3.25,2.8,2.25,3.2,2.95,2.2,3,2.9,2.1,3.4,2.8,2.2,3.2,2.88,2.2,3.2,2.87,2,3.2,3.2,1.75,1.95,1.9,1.8,1.95,1.85,-0.25,2.05,1.8,-0.25,2.025,1.875,-0.25
1,0,0,0,2.75,3.2,2.25,2.8,3.3,2.3,2.9,3,2.2,2.8,3.2,2.2,2.8,3.2,2.25,2.8,3.2,2.25,3,3.2,2.1,1.6,2.15,1.66,2.1,1.9,1.9,0.25,2,1.85,0.25,1.95,1.95,0.25
0,0,0,0,2.5,3.25,2.4,2.65,3.3,2.4,2.9,3,2.2,2.6,3.2,2.375,2.62,3.2,2.38,2.62,3.2,2.37,2.62,3.2,2.3,1.71,2,1.8,1.9,1.75,2.05,0.25,1.8,2.05,0.25,1.8,2.1,0.25
1,0,0,0,3.2,3.2,2,3.7,3.4,1.9,3.8,3.1,1.8,3.5,3.2,1.909,3.25,3.25,2,3.25,3.25,2,3.6,3.3,1.83,1.71,2,1.72,2,1.95,1.85,0.5,1.95,1.9,0.5,1.9,2,0.5
4,1,3,0,2.1,3.2,3,2.2,3.25,3,1.85,3.1,3.6,2.2,3.25,2.75,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.71,2,1.83,1.83,1.85,1.95,-0.25,1.85,2,-0.25,1.85,2.05,-0.25
1,0,0,0,2.1,3.2,3,2.2,3.3,3,2.2,3,2.9,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.65,2.05,1.8,1.9,1.9,1.9,-0.25,1.85,2,-0.25,1.95,1.95,-0.25
2,0,2,0,1.727,3.4,4,1.71,3.3,4.75,1.75,3.2,4,1.667,3.4,4.333,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.3,4.5,1.79,1.9,1.8,1.9,2.2,1.65,-1,1.75,2.1,-0.5,1.75,2.15,-0.5
4,1,3,0,2.1,3.2,3,2.2,3.3,2.95,2.2,3,2.9,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3.2,2.87,2.2,3.2,2.8,1.71,2,1.66,2.1,1.9,1.9,-0.25,1.95,1.9,-0.25,1.925,1.975,-0.25
0,2,0,1,3.75,3.25,1.833,4,3.4,1.8,3.5,3.1,1.9,3.75,3.25,1.8,3.5,3.25,1.91,3.5,3.25,1.9,3.4,3.25,1.9,1.65,2.15,1.72,2,1.6,2.3,1,1.75,2.1,0.75,2,1.9,0.5
3,3,1,1,1.727,3.4,4,1.8,3.4,4,1.75,3.2,4,1.8,3.25,3.75,1.8,3.25,4,1.75,3.25,4.2,1.83,3.2,3.75,1.6,2.15,1.72,2,1.8,2,-0.5,,,,,,
2,1,1,1,1.72,3.4,4.5,1.73,3.35,4.5,1.7,3.2,4.2,1.727,3.4,4,1.67,3.4,4.33,1.7,3.4,4.33,1.72,3.25,4.2,1.65,2.05,1.8,1.9,1.7,2.05,-0.5,2,1.85,-0.75,1.95,1.95,-0.75
0,2,0,0,1.9,3.25,3.75,1.9,3.3,3.7,1.8,3.1,3.8,1.833,3.2,3.75,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.2,3.5,1.75,1.95,1.8,1.9,1.9,1.9,-0.5,1.95,1.9,-0.5,2,1.9,-0.5
2,3,2,1,1.72,3.4,4.5,1.72,3.4,4.4,1.65,3.3,4.4,1.727,3.2,4.333,1.67,3.4,4.5,1.66,3.4,4.5,1.72,3.25,4.2,1.71,2,1.72,2,2,1.8,-0.75,2.05,1.8,-0.75,2.1,1.8,-0.75
1,0,1,0,1.72,3.4,4.5,1.75,3.4,4.3,1.75,3.2,4,1.727,3.4,4,1.73,3.25,4.33,1.72,3.25,4.33,1.66,3.3,4.5,1.65,2.05,1.66,2.1,1.75,2.05,-0.5,1.75,2.1,-0.5,1.875,2.025,-0.5
