FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
2,2,1,0,1.533,3.4,5.5,1.6,3.4,6,1.6,3.3,4.8,1.53,3.25,6,1.57,3.4,5.5,1.571,3.3,6,1.57,3.1,6,1.7,1.9,,
1,4,0,1,3.75,3,1.909,3.6,3.1,2.2,3.3,3,2,3.4,3,2,3.5,3,2,3.6,3,2.05,3.75,2.8,2,1.9,1.7,,
1,3,0,2,3.6,2.875,2,3.81,3.1,2,3.2,3.1,2,3.4,3,2,4,3,1.91,4,3,1.909,4,2.87,1.9,1.8,1.83,,
1,1,0,0,2.25,2.875,3,2.2,3,3.37,2.3,2.8,2.9,2.2,3,3,2.2,3,3.1,2.25,3,3.1,2.2,2.8,3.2,1.8,1.83,,
1,4,1,2,4,3,1.833,4.2,3.15,1.82,4.2,3.2,1.7,4,3.2,1.8,4,3.2,1.8,4.5,3.2,1.7,4,3,1.83,1.85,1.9,,
3,0,1,0,1.727,3.1,4.5,1.8,3.15,4.65,1.8,3,4,1.73,2.88,5,1.8,3.1,4.33,1.75,3.1,4.5,1.72,2.9,5,1.75,1.95,,
1,1,1,1,2.2,2.875,3.1,2.15,3,3.3,2,2.9,3.4,2.2,2.8,3.2,2.25,3,3,2.25,3,3.1,2.25,2.8,3.1,2,1.75,,
3,0,1,0,1.444,3.6,6.5,1.49,3.65,6.5,1.4,3.7,6.5,1.44,3.6,6.5,1.5,3.5,6.5,1.5,3.5,6.5,1.44,3.5,7,1.72,1.94,,
2,1,0,1,2.7,3,2.4,2.7,3.1,2.75,2.65,2.9,2.45,2.62,2.88,2.5,2.6,3,2.5,2.875,3,2.375,2.62,2.9,2.5,1.89,1.85,,
1,0,1,0,2.375,3,2.7,2.6,3,2.85,2.2,2.9,3,2.38,2.88,2.8,2.4,3,2.8,2.4,3,2.8,2.4,2.9,2.75,1.8,1.85,,
1,0,0,0,1.727,3.2,4.333,1.75,3.35,4.65,1.7,3.1,4.4,1.73,3.2,4.33,1.73,3.2,4.33,1.727,3.2,4.6,1.72,3.1,4.5,1.8,1.85,,
3,2,1,0,4,3.1,1.8,4.35,3.45,1.8,3.8,3.1,1.8,4,3.2,1.8,4.2,3.1,1.8,4.5,3.1,1.727,4,3,1.83,1.7,2.05,,
1,0,0,0,1.3,4,9.5,1.33,4.36,9.5,1.3,4.2,8,1.36,3.75,8,1.33,4.33,7.5,1.333,4.333,7.5,1.28,4.33,8.5,1.75,1.9,,
1,1,0,0,1.727,3.1,4.5,1.81,3.1,4.9,1.85,2.8,4.2,1.8,3.2,4,1.73,3.2,4.5,1.727,3.2,4.5,1.8,3,4.2,1.85,1.83,,
2,0,0,0,1.5,3.25,6.5,1.58,3.4,7,1.45,3.6,5.8,1.44,3.5,7,1.53,3.4,6,1.533,3.4,6,1.5,3.4,6,1.75,1.96,,
