FTHG,FTAG,HTHG,HTAG,HHW,AHW,HO,AO,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
3,0,3,0,1,0,1,3,10,50,1.5,3.6,5.6,1.55,3.3,4.5,,,,1.55,3.5,5.25,1.57,3.5,5
1,3,0,1,0,0,0,0,10,30,1.68,3.25,4.6,1.7,3.1,3.8,,,,1.67,3.3,4.5,1.66,3.4,4.33
4,0,3,0,2,0,1,2,10,55,1.5,3.5,5.9,1.45,3.5,5,,,,1.5,3.5,5.75,1.5,3.6,5.5
4,1,0,1,0,0,1,0,20,50,1.45,3.65,6.4,1.55,3.3,4.5,,,,1.44,3.6,6.5,1.44,3.5,7
2,0,0,0,1,0,2,0,20,25,1.55,3.5,5.4,1.65,3.2,3.9,,,,1.53,3.4,5.5,1.57,3.5,5
0,0,0,0,0,0,1,0,20,30,1.53,3.45,5.6,1.6,3.2,4.2,,,,1.53,3.5,5.25,1.61,3.25,5
0,0,0,0,0,0,5,3,20,40,1.6,3.4,4.8,1.6,3.2,4.2,,,,1.53,3.5,5.25,1.57,3.5,5
2,2,0,1,1,0,2,2,10,30,1.68,3.3,4.55,1.7,3.1,3.8,,,,1.65,3.25,4.5,1.66,3.4,4.33
0,2,0,0,1,0,1,3,50,40,2.18,3.2,2.75,2.1,2.9,2.9,,,,2.2,3.2,2.8,2.2,3.2,2.8
4,2,1,0,0,0,6,1,10,45,1.6,3.45,4.8,1.65,3.2,3.9,,,,1.57,3.5,5,1.57,3.5,5
2,1,1,1,0,0,1,4,45,30,3.3,3.15,2,3,2.9,2,,,,3.4,3.1,1.95,3.2,3.2,2
1,0,0,0,0,0,0,3,0,20,5.1,3.35,1.6,4.5,3.3,1.55,,,,4.5,3.3,1.67,4.5,3.3,1.66
2,1,2,0,1,0,2,0,10,20,2.33,3.1,2.7,2.2,2.9,2.7,,,,2.3,3.1,2.7,2.3,3.2,2.62
0,0,0,0,1,0,0,1,10,10,1.48,3.55,6.1,1.45,3.5,5,,,,1.44,3.6,6.5,1.53,3.4,5.5
0,1,0,1,0,1,4,3,20,40,2.25,3,2.9,2.2,2.9,2.7,,,,2.1,3.1,3.1,2.2,3.2,2.8
0,1,0,0,0,0,2,5,10,10,2.27,3,2.9,2.1,2.9,2.9,,,,2.25,3.1,2.8,2.3,3.2,2.62
1,3,0,2,1,1,2,4,20,40,1.25,4.2,8.7,1.3,4,7,,,,1.25,4.5,8.5,1.25,4.5,10
1,1,0,1,0,0,0,7,10,30,1.27,4.5,9,1.3,4,7,,,,1.33,4,8,1.3,4.33,8
1,2,0,1,2,0,4,4,20,10,2.2,3.1,2.95,2.1,2.9,2.9,,,,2,3.1,3,2.1,3.2,3
0,3,0,2,2,0,1,3,30,30,1.9,3.2,3.6,1.9,3,3.1,,,,1.8,3.1,4,1.8,3.3,3.75
3,2,2,1,1,0,4,0,20,30,2,3.1,3.35,2,2.9,3,,,,2,3.2,3.2,1.9,3.25,3.4
0,0,0,0,0,0,1,1,40,40,2.25,3.2,2.75,2.1,2.9,2.9,,,,2.1,3,3.2,2.1,3.2,3
0,0,0,0,1,0,7,3,20,20,2.27,3,2.87,2.2,2.9,2.7,,,,2.2,3.1,2.88,2.2,3.2,2.8
0,1,0,1,0,0,0,6,55,30,1.5,3.4,6.2,1.45,3.5,5,,,,1.5,3.4,6,1.5,3.4,6
6,1,1,0,1,0,4,2,30,55,1.42,3.8,6.7,1.45,3.5,5,,,,1.44,3.6,6.5,1.44,3.6,6.5
1,0,0,0,0,1,1,2,0,10,2.35,3,2.8,2.2,2.9,2.7,,,,2.25,3.2,2.75,2.37,3.3,2.5
0,2,0,0,1,0,1,0,20,25,2.45,3.1,2.6,2.3,2.9,2.5,,,,2.3,3.1,2.7,2.37,3.3,2.5
3,2,1,1,0,0,2,0,20,75,3.8,3.2,1.85,3.3,3,1.85,,,,3.6,3.25,1.85,3.5,3.2,1.9
2,1,1,0,1,0,1,5,40,20,2.25,3,2.95,1.9,3,3.1,,,,2.2,3,3,2.1,3.2,3
2,1,1,1,0,0,2,2,10,80,1.8,3.25,3.95,1.85,3,3.3,,,,1.75,3.3,4,1.8,3.3,3.75
3,1,2,0,0,0,5,3,20,20,1.8,3.2,4,1.7,3.1,3.8,,,,1.73,3.25,4.2,1.66,3.3,4.5
1,0,0,0,0,0,0,1,35,75,2.65,2.9,2.5,2.4,2.9,2.4,,,,2.5,3.1,2.5,2.37,3.1,2.62
0,1,0,0,0,1,2,1,20,30,1.62,3.4,4.85,1.6,3.2,4.2,,,,1.57,3.4,5.25,1.57,3.5,5
2,1,0,0,0,1,3,2,20,20,1.45,3.7,6.4,1.4,3.6,5.5,,,,1.5,3.6,5.5,1.44,3.6,6.5
3,0,1,0,0,0,5,2,30,30,1.6,3.3,5.3,1.75,3.1,3.6,,,,1.67,3.3,4.5,1.72,3.4,4
2,0,2,0,0,0,6,6,30,0,1.22,5.1,10,1.25,4.3,8,1.25,4.5,10,1.25,4.75,9,1.22,5,9.5
2,3,2,1,2,0,1,2,55,105,2.45,3,2.65,2.3,2.9,2.5,2.5,3.25,2.4,2.5,3.1,2.5,2.37,3.3,2.5
0,0,0,0,0,1,1,5,10,40,2.6,2.95,2.55,2.4,2.9,2.4,2.6,3.2,2.37,2.6,3.1,2.4,2.5,3.1,2.5
2,2,1,2,0,0,4,3,20,20,2.9,3,2.3,2.7,2.9,2.2,2.6,3.2,2.37,2.63,3.1,2.38,2.62,3.1,2.37
1,0,0,0,0,0,3,1,20,55,1.6,3.35,5.2,1.6,3.2,4.2,1.73,3.4,4,1.67,3.25,4.5,1.61,3.5,4.5
6,1,2,1,2,0,7,2,20,45,1.62,3.3,5.2,1.55,3.3,4.5,1.61,3.5,4.5,1.57,3.3,5.25,1.61,3.5,4.5
2,2,2,1,0,0,5,1,10,20,1.67,3.35,4.5,1.65,3.1,4,1.73,3.4,4,1.67,3.3,4.5,1.66,3.3,4.5
3,2,0,0,0,1,0,1,40,40,1.75,3.3,4.2,1.75,3.1,3.6,1.8,3.25,3.75,1.8,3.25,3.75,1.8,3.3,3.75
0,0,0,0,0,0,0,3,0,10,2.05,3.05,3.35,2.1,2.9,2.9,1.8,3.25,3.75,1.95,3.25,3.3,2,3.3,3.1
0,2,0,0,0,1,2,1,0,30,3.85,3.15,1.85,3.3,3,1.85,3.75,3.25,1.8,3.75,3.25,1.8,4.5,3.3,1.66
3,0,2,0,0,0,2,4,30,20,2.55,3.1,2.5,2.35,3,2.35,2.6,3.2,2.37,2.6,3.1,2.38,2.62,3.2,2.3
1,3,1,2,2,0,2,0,40,65,1.95,3.15,3.5,2,2.9,3,1.91,3.2,3.5,1.91,3.25,3.4,2,3.2,3.2
1,1,0,0,0,0,1,7,30,10,2.25,3.1,2.85,2.2,2.9,2.7,2.2,3.2,2.8,2.25,3.2,2.75,2.2,3.25,2.75
2,0,0,0,0,1,2,2,20,65,1.6,3.5,4.85,1.65,3.1,4,1.57,3.5,5,1.6,3.3,5,1.61,3.25,5
0,0,0,0,0,1,4,0,20,55,1.6,3.45,5,1.6,3.2,4.2,1.57,3.5,5,1.62,3.4,4.75,1.61,3.25,5
0,0,0,0,0,1,5,2,0,20,2.15,3,3.15,2.2,2.9,2.7,2.2,3.2,2.8,2.1,3.1,3.1,2.1,3.2,3
1,2,0,2,0,1,3,0,40,40,2,3.1,3.4,2,2.9,3,1.8,3.25,3.75,1.9,3.2,3.5,1.85,3.3,3.6
2,1,1,0,0,1,4,3,20,10,1.78,3.2,4.1,1.75,3.1,3.6,1.67,3.4,4.33,1.83,3.25,3.7,1.8,3.3,3.75
2,3,0,1,0,0,8,4,30,30,1.38,3.85,7.5,1.4,3.6,5.5,1.44,3.5,7,1.4,3.75,7,1.4,3.75,7
5,2,2,0,0,1,3,2,30,40,1.75,3.3,4.15,1.8,3,3.5,1.73,3.4,4,1.75,3.25,4,1.72,3.25,4.2
1,1,0,0,0,2,2,0,30,0,1.5,3.4,5.75,1.45,3.5,5,1.5,3.6,5.5,1.5,3.5,5.75,1.53,3.25,6
3,0,1,0,0,0,3,1,10,20,1.72,3.35,4.2,1.8,3,3.5,1.67,3.4,4.33,1.73,3.2,4.33,1.66,3.4,4.33
0,3,0,1,0,1,4,2,40,20,1.73,3.3,4.2,1.8,3,3.5,1.73,3.4,4,1.7,3.25,4.33,1.66,3.3,4.5
0,3,0,2,1,0,0,2,0,30,1.95,3.1,3.55,1.85,2.9,3.4,1.91,3.25,3.4,1.9,3.2,3.5,1.9,3.2,3.5
1,0,0,0,1,0,2,0,10,10,2.17,3.2,2.95,2,2.9,3,2.25,3.4,2.62,2.2,3.1,2.88,2.1,3,3.2
1,4,0,1,0,0,0,3,10,10,2.28,3.05,2.85,2.1,2.9,2.9,2.1,3.4,2.8,2.2,3,3,2,3.1,3.3
0,0,0,0,0,0,2,5,10,30,2.25,3,2.95,2.2,2.9,2.7,2.25,3.2,2.75,2.25,3.1,2.8,2.2,3.25,2.75
1,1,1,0,0,0,3,2,20,20,1.6,3.35,5.2,1.6,3.2,4.2,1.57,3.25,5.5,1.55,3.4,5.5,1.5,3.6,5.5
2,4,0,1,0,2,3,1,20,0,1.55,3.45,5.5,1.55,3.3,4.5,1.5,3.25,6.5,1.55,3.5,5.25,1.57,3.5,5
1,1,0,1,2,0,4,1,45,150,2.4,3.1,2.67,2.3,2.9,2.5,2.5,3.25,2.4,2.38,3.1,2.63,2.3,3.1,2.75
1,3,0,1,0,0,1,5,20,65,2.85,3.1,2.25,2.9,2.9,2.1,2.75,3.25,2.2,2.8,3.1,2.25,2.9,3.1,2.2
0,0,0,0,0,0,2,1,30,40,2.06,3,3.35,2.1,2.9,2.9,2,3.2,3.2,1.95,3.2,3.3,2,3.2,3.2
3,1,1,0,1,1,4,4,10,30,2,3.1,3.3,1.8,3,3.5,1.91,3.25,3.4,1.95,3.2,3.3,2,3.2,3.2
1,1,0,0,0,0,0,4,30,10,1.95,3.1,3.55,1.9,2.9,3.2,1.8,3.25,3.75,1.85,3.25,3.6,1.85,3.3,3.5
5,1,2,0,0,0,0,1,30,40,1.92,3.15,3.5,1.9,2.9,3.2,1.91,3.4,3.25,1.8,3.25,3.8,1.9,3.25,3.4
1,0,0,0,0,0,4,3,30,40,1.65,3.45,4.55,1.6,3.2,4.2,1.67,3.4,4.33,1.62,3.4,4.75,1.65,3.4,4.5
1,3,1,1,2,0,0,3,30,20,1.65,3.3,4.9,1.7,3.1,3.8,1.73,3.4,4,1.8,3.2,4,1.72,3.2,4.33
1,2,0,1,0,1,2,7,30,20,2.6,3,2.52,2.4,2.9,2.4,2.6,3.2,2.37,2.6,3.1,2.4,2.5,3.1,2.5
1,0,0,0,1,0,1,3,55,20,2.43,3.05,2.65,2.3,2.9,2.5,2.37,3.2,2.6,2.25,3.2,2.75,2.2,3,3
4,2,1,2,0,0,5,3,40,10,1.5,3.6,5.8,1.55,3.3,4.5,1.5,3.4,6,1.53,3.4,5.5,1.57,3.5,5
1,3,0,1,1,0,0,3,20,10,1.45,3.65,6.55,1.45,3.5,5,1.5,3.4,6,1.44,3.75,6,1.5,3.4,6
0,1,0,1,2,1,0,1,0,10,1.77,3.25,4.1,1.8,3,3.5,1.67,3.4,4.33,1.73,3.2,4.33,1.72,3.2,4.33
1,1,0,1,3,0,3,1,40,75,1.82,3.2,3.95,1.85,2.9,3.4,1.91,3.25,3.4,1.9,3.2,3.5,1.9,3.2,3.5
1,1,0,0,0,0,4,2,20,0,2.05,3.05,3.35,1.9,2.9,3.2,2.1,3.2,3,2,3,3.4,2.1,3,3.2
5,0,2,0,1,1,3,1,10,20,1.32,4.4,7.65,1.4,3.6,5.5,1.33,4,8,1.35,4,8,1.3,4.2,8.5
1,0,0,0,0,0,2,2,20,10,1.95,3.1,3.6,1.85,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.5,1.8,3.1,4
0,2,0,1,0,0,5,0,10,10,3.8,3.25,1.8,3.1,3,1.9,3.75,3.25,1.8,4,3.3,1.75,3.6,3.4,1.8
2,1,1,0,0,0,2,2,40,20,2.2,3.05,3,2,2.9,3,2.2,3.2,2.8,2.2,3,3,2.1,3.2,3
1,1,0,0,0,0,2,2,45,0,1.55,3.5,5.4,1.6,3.2,4.2,1.61,3.25,5,1.55,3.5,5.2,1.57,3.5,5
3,1,0,1,0,0,1,2,20,20,1.65,3.45,4.5,1.7,3.1,3.8,1.67,3.4,4.33,1.55,3.6,4.75,1.61,3.5,4.5
2,3,1,2,0,2,3,6,30,30,1.65,3.4,4.55,1.65,3.2,3.9,1.67,3.4,4.33,1.57,3.5,5,1.61,3.3,5
2,1,1,1,2,0,1,2,40,50,1.9,3.15,3.7,2,2.9,3,2.1,3.2,3,1.95,3.25,3.4,1.9,3.3,3.3
5,2,5,0,1,1,4,0,10,30,2.25,3.05,2.9,2.2,2.9,2.7,2.1,3.2,3,2.1,3.2,3,2.2,3.2,2.8
1,1,1,1,0,0,2,5,40,10,2.65,3.1,2.4,2.35,3,2.35,2.75,3.2,2.25,3,3.1,2.15,2.62,3.25,2.3
4,0,2,0,0,0,0,1,10,30,1.65,3.3,4.8,1.75,3.1,3.6,1.61,3.25,5,1.57,3.4,5.2,1.57,3.5,5
1,0,0,0,2,0,5,1,10,0,1.35,4.1,7,1.4,3.6,5.5,1.5,3.4,6,1.44,3.75,6,1.4,3.75,7
1,1,1,0,0,0,4,2,20,10,3.95,3.4,1.7,3.6,3.2,1.7,3.5,3.75,1.73,5.25,3.6,1.5,5,3.5,1.57
3,0,3,0,0,0,3,2,10,10,1.45,3.8,6.2,1.45,3.5,5,1.4,4,6.5,1.36,3.6,8,1.36,3.75,8
0,1,0,1,0,1,3,4,50,30,2.4,3.1,2.65,2.3,2.9,2.5,2.37,3.25,2.5,2.38,3.2,2.6,2.3,3.25,2.62
2,1,1,0,0,0,0,5,20,0,2.25,3,2.95,2.1,2.9,2.9,2.1,3.2,3,2.2,3.1,2.9,2.25,3.25,2.7
2,1,0,1,1,0,4,2,40,65,1.75,3.2,4.3,1.55,3.3,4.5,1.8,3.25,3.75,1.62,3.1,5,1.66,3.1,4.5
3,2,2,1,1,0,0,2,10,30,2.22,3.1,2.9,2,2.9,3,2.25,3.2,2.75,2.2,3.2,2.8,2.2,3.2,2.8
0,0,0,0,0,0,4,4,10,20,1.44,3.7,6.5,1.55,3.3,4.5,1.5,3.4,6,1.4,3.75,7,1.44,3.6,6.5
3,1,1,1,1,0,0,1,20,20,2,3.1,3.4,2,2.9,3,2.1,3.4,2.87,2.1,3.2,3,2.1,3.2,3
3,0,0,0,0,1,0,0,45,65,1.7,3.4,4.25,1.75,3.1,3.6,1.8,3.25,3.75,1.75,3.4,3.8,1.72,3.4,4
1,1,1,0,0,0,2,3,55,50,2.13,3.05,3.15,1.9,3,3.1,2,3.2,3.2,2,3.2,3.2,2,3.2,3.2
1,0,1,0,0,1,2,1,20,10,1.77,3.25,4.1,1.8,2.6,4,1.73,3.2,4.33,1.9,2.9,3.75,1.85,3.1,3.8
0,1,0,0,0,1,4,4,10,20,2.5,2.9,2.55,2.35,3,2.35,2.4,3.25,2.5,2.38,3.1,2.6,2.5,3.1,2.5
2,1,2,0,0,2,4,1,10,30,1.4,3.6,6.5,1.45,3.5,5,1.57,3.25,5.5,1.44,3.6,6.5,1.44,3.6,6.5
1,0,0,0,0,0,1,2,10,30,2.25,3.15,2.85,2.2,2.9,2.7,2,3.2,3.2,2.2,3.1,2.88,2.25,3.1,2.8
0,0,0,0,0,0,4,3,10,10,1.51,3.55,5.8,1.5,3.4,4.7,1.5,3.4,6,1.5,3.5,5.75,1.5,3.6,5.5
1,3,1,1,1,2,3,4,0,10,2.1,3.1,3.1,2.2,2.9,2.7,2,3.2,3.2,2.1,3.2,3,2,3.2,3.2
2,1,0,1,1,0,4,0,20,20,1.3,4.2,7.5,1.4,3.6,5.5,1.5,3.4,6,1.3,4.33,7.5,1.36,4,7
1,3,0,1,0,0,1,1,35,30,3.27,3.25,1.96,3.1,3,1.9,3.75,3.5,1.73,3.5,3.4,1.83,3.4,3.5,1.83
4,2,2,1,0,0,2,1,30,40,1.8,3.3,3.7,1.7,3.2,3.6,1.91,3.4,3.25,1.8,3.4,3.6,1.8,3.4,3.6
0,0,0,0,0,0,2,1,0,20,2.05,3.1,3.2,2,2.9,3,2.1,3.25,2.87,2,3.1,3.3,2,3.2,3.2
1,1,1,0,0,1,2,5,20,50,2.3,3.1,2.8,2.2,2.9,2.7,2.1,3.25,2.87,2.2,3.1,2.88,2.1,3.2,3
1,0,0,0,0,0,0,1,20,10,2.7,3.2,2.3,2.35,3,2.35,2.62,3.2,2.37,2.7,3.25,2.25,2.8,3.2,2.2
1,4,0,1,1,0,1,1,20,20,2.7,3.1,2.25,2.4,2.9,2.4,2.62,3.4,2.25,2.63,3.3,2.25,2.7,3.25,2.25
3,0,3,0,0,0,5,6,0,20,1.87,3.35,3.4,1.85,3.1,3.2,2,3.4,3,1.9,3.4,3.3,1.83,3.5,3.4
0,1,0,1,1,1,3,0,20,10,1.96,3.3,3.25,1.85,3.2,3.1,2.1,3.2,3,2.25,3.5,2.5,2.2,3.5,2.6
3,3,1,2,0,0,2,3,35,40,1.35,4.25,6.9,1.4,3.6,5.5,1.33,4,8,1.36,4,7,1.33,4,8
2,1,2,0,1,0,4,3,0,0,2.33,3.05,2.75,2.3,3,2.4,2.25,3.2,2.75,2.25,3.25,2.7,2.2,3.25,2.75
4,1,2,0,0,0,0,2,20,30,1.6,3.4,4.9,1.7,2.5,4.5,1.61,3.25,5,1.57,3.2,5.5,1.53,3.1,6.5
1,1,0,0,0,0,3,2,40,20,4.4,2.8,1.83,3.6,2.9,1.8,4.5,2.87,1.8,5,2.8,1.8,5,2.7,1.8
0,1,0,0,0,0,2,9,30,30,2.2,3.15,2.85,2.2,2.9,2.7,2.2,3.25,2.75,2.1,3.4,2.8,2.2,3,3
1,0,1,0,1,0,1,0,20,35,1.16,5.85,11.5,1.15,5.5,11,1.12,6,13,1.17,5.5,12,1.16,5.5,12
5,3,2,2,0,0,2,1,20,30,1.33,4.45,6.75,1.35,4,6,1.36,3.75,8,1.33,4.5,6.5,1.33,4.5,6.5
3,0,2,0,1,2,5,2,35,85,1.45,3.7,5.9,1.4,3.6,5.5,1.44,3.6,6.5,1.44,3.75,6,1.44,3.6,6.5
