FTHG,FTAG,HTHG,HTAG,HHW,AHW,HO,AO,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
2,2,2,1,0,0,2,6,40,30,1.45,3.6,6.3,1.45,3.5,5,,,,1.45,3.5,6.5,1.44,3.6,6.5
0,2,0,1,0,0,0,0,10,20,2.4,3,2.7,2.3,2.9,2.5,,,,2.3,3.1,2.7,2.37,3.1,2.62
2,0,0,0,2,0,6,0,30,20,2.4,3.1,2.65,2.3,2.9,2.5,,,,2.38,3.1,2.6,2.37,3.1,2.62
1,0,0,0,0,0,2,2,55,55,2.1,3,3.25,2.2,2.9,2.7,2,3.2,3.2,2.2,3,3,2.2,3,3
2,1,0,0,0,0,2,5,30,40,1.9,3,3.6,1.9,2.9,3.2,1.91,3.2,3.5,1.91,3.2,3.5,2,3.3,3.1
1,2,1,0,0,0,5,7,50,10,1.95,3.2,3.45,2,2.9,3,1.73,3.4,4,1.85,3.1,3.75,1.83,3.3,3.6
2,1,1,0,2,0,2,1,30,30,1.85,3.15,3.7,1.8,3,3.5,1.8,3.25,3.75,1.8,3.25,3.6,1.9,3.25,3.4
3,0,3,0,1,0,1,4,20,10,1.45,3.75,6,1.4,3.6,5.5,1.44,3.5,7,1.44,3.6,6.5,1.44,3.6,6.5
5,0,1,0,0,0,2,4,20,65,1.75,3.2,4.3,1.75,3.1,3.6,1.8,3.25,3.75,1.7,3.25,4.33,1.72,3.4,4
0,0,0,0,1,0,4,7,10,60,2.7,3.15,2.3,2.35,3,2.35,2.75,3.2,2.25,2.8,3.1,2.25,2.75,3.2,2.25
2,1,1,0,0,0,2,0,30,45,1.55,3.5,5.5,1.6,3.2,4.2,1.61,3.25,5,1.5,3.5,6,1.53,3.4,5.5
2,1,0,1,0,0,0,0,20,20,1.45,3.7,6.2,1.5,3.4,4.7,1.5,3.4,6,1.44,3.6,6.5,1.45,3.5,6.5
4,0,2,0,0,0,3,4,10,45,1.8,3.3,3.85,1.75,3.1,3.6,1.61,3.5,4.5,1.73,3.25,4.2,1.72,3.4,4
2,1,0,0,2,0,3,2,55,20,1.9,3.2,3.6,1.75,3.1,3.6,1.8,3.25,3.75,1.91,3.25,3.4,1.9,3.25,3.4
4,1,1,1,2,0,3,1,20,30,1.85,3.2,3.7,1.75,3.1,3.6,1.83,3.4,3.5,1.75,3.25,4,1.7,3.3,4.2
0,2,0,1,1,0,2,2,20,10,2.65,3.15,2.35,2.4,2.9,2.4,2.5,3.25,2.4,2.6,3.1,2.4,2.75,3.1,2.3
1,2,0,1,0,0,2,1,20,20,1.7,3.25,4.45,1.6,3.2,4.2,1.73,3.2,4.33,1.67,3.3,4.5,1.66,3.3,4.5
0,0,0,0,1,0,1,0,10,30,2.35,3.2,2.65,2.4,2.9,2.4,2.37,3.2,2.6,2.25,3.2,2.75,2.3,3.25,2.62
2,1,0,1,0,0,2,7,20,40,1.4,3.9,6.6,1.45,3.5,5,1.44,3.75,6,1.3,4,8,1.3,4,9
