Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D1,2004-8-1,Hamburg,Stuttgart,2,0,H,1,0,H,39036,17,13,6,4,1,0,5,4,21,17,2,4,1,0,0,0,10,0,,,,1.8,3,3.5,1.91,3.25,3.4,1.67,3.4,4.5,1.73,3.25,4.33,,,
D1,2004-8-1,Hansa Rostock,Leverkusen,0,3,A,0,1,A,25000,14,9,5,3,0,1,5,7,12,14,2,3,3,4,0,0,30,40,,,,2.9,2.9,2.1,2.8,3.2,2.2,2.9,3.3,2.1,3.25,3,2.1,2.8,3.2,2.2
D1,2004-8-1,Hertha,Dortmund,0,2,A,0,0,D,55000,16,11,3,7,1,0,10,4,14,20,0,3,2,1,0,0,20,10,,,,2.2,2.9,2.7,2.1,3.4,2.8,2.25,3.2,2.75,2.25,3,3,2.25,3.3,2.62
D1,2004-8-1,Werder Bremen,Cottbus,3,2,H,1,2,A,25000,23,10,5,3,0,0,9,3,9,21,4,4,2,5,0,0,20,50,,,,1.5,3.4,4.7,1.5,3.4,6,1.53,3.4,5.75,1.62,3.4,5,1.53,3.4,5.5
D1,2004-8-1,Wolfsburg,St Pauli,1,1,D,0,1,A,11000,31,12,18,6,0,1,13,1,18,15,3,1,2,2,0,0,20,20,,,,1.5,3.4,4.7,1.57,3.25,5.5,1.45,3.6,6.5,,,,1.5,3.6,5.5
D1,2005-8-1,Kaiserslautern,M'gladbach,3,2,H,0,0,D,41582,18,8,8,4,0,1,7,0,16,18,1,4,1,2,0,0,10,20,,,,1.65,3.2,3.9,1.57,3.5,5,1.57,3.4,5.25,1.57,3.6,5,1.57,3.5,5
D1,2005-8-1,Nurnberg,Freiburg,2,0,H,1,0,H,33000,21,5,7,3,1,0,9,5,20,25,2,3,1,2,0,0,10,20,,,,2.2,2.9,2.7,2.4,3.25,2.5,2.38,3.1,2.62,2.38,3.2,2.62,2.25,3.2,2.75
D1,2011-8-1,Cottbus,Nurnberg,1,0,H,1,0,H,15702,7,10,2,4,1,1,4,7,25,17,2,4,3,3,0,0,30,30,,,,1.85,2.9,3.4,1.8,3.25,3.75,,,,1.91,3.2,3.6,2,3.2,3.2
D1,2011-8-1,Dortmund,Wolfsburg,4,0,H,3,0,H,66000,12,7,3,5,0,0,6,1,10,19,2,1,1,1,0,0,10,10,,,,1.4,3.6,5.5,1.4,3.75,7,,,,1.4,4,6.5,1.28,4.33,8.5
D1,2011-8-1,Freiburg,Hertha,1,3,A,0,2,A,22000,18,14,4,10,1,0,3,1,13,24,1,0,1,3,0,1,10,55,,,,2.3,2.9,2.5,2.25,3.2,2.75,,,,2.38,3,2.75,2.3,3.1,2.75
D1,2011-8-1,Kaiserslautern,FC Koln,2,1,H,2,0,H,41000,18,9,6,4,1,0,8,3,23,18,2,3,1,3,0,0,10,30,,,,1.7,3.1,3.8,1.57,3.5,5,,,,1.67,3.4,4.5,1.61,3.3,5
D1,2011-8-1,Leverkusen,Bayern Munich,1,1,D,0,0,D,22500,10,6,5,3,1,1,6,2,28,27,13,2,3,5,0,0,30,50,,,,2.3,2.9,2.5,2.37,3.2,2.6,,,,2.5,3,2.6,2.4,3.1,2.6
D1,2011-8-1,Munich 1860,Hamburg,1,1,D,0,1,A,22000,15,13,5,6,0,0,5,10,20,19,2,2,0,1,0,0,0,10,,,,2.2,2.9,2.7,2.37,3.2,2.6,,,,2.38,3.2,2.6,2.37,3.1,2.62
D1,2011-8-1,Stuttgart,Werder Bremen,0,0,D,0,0,D,17500,10,10,5,4,0,1,5,5,20,15,1,5,1,2,0,0,10,20,,,,2.1,2.9,2.9,2,3.2,3.2,,,,2.1,3.25,3,2.2,3.2,2.8
D1,2012-8-1,M'gladbach,Schalke 04,0,0,D,0,0,D,34500,21,6,5,2,1,0,9,5,17,19,1,0,2,1,0,0,20,10,,,,2.4,2.9,2.4,2.4,3.25,2.5,,,,2.6,3.2,2.38,2.5,3.1,2.5
D1,2012-8-1,St Pauli,Hansa Rostock,0,1,A,0,1,A,19000,17,13,5,6,3,0,6,6,24,24,0,1,3,3,0,0,30,30,,,,2,2.9,3,2,3.2,3.2,,,,2.1,3.25,3,2,3.2,3.2
D1,2018-8-1,Bayern Munich,St Pauli,2,0,H,2,0,H,50000,18,6,9,4,1,0,8,8,12,21,5,1,1,2,0,0,10,20,,,,1.2,4.7,9,1.2,5,11,,,,1.2,5,11,1.22,5,9.5
D1,2018-8-1,Hamburg,Kaiserslautern,2,3,A,0,3,A,42000,21,10,9,5,0,0,2,2,16,16,5,0,2,1,0,0,20,10,,,,2,2.9,3,2.2,3.25,2.75,,,,2.25,3.2,2.75,2.1,3.2,3
D1,2018-8-1,Hansa Rostock,Dortmund,0,2,A,0,2,A,25000,6,11,3,7,0,0,4,6,14,18,0,2,2,2,0,0,20,20,,,,3.2,2.9,1.9,3.5,3.2,1.91,,,,3.6,3.4,1.8,3.75,3.3,1.8
D1,2018-8-1,Nurnberg,Stuttgart,2,4,A,1,1,D,40000,9,15,3,10,1,0,6,4,19,17,4,4,4,2,0,0,40,20,,,,2.1,2.9,2.9,2,3.2,3.2,,,,2,3.2,3.2,2,3.2,3.2
D1,2018-8-1,Schalke 04,Leverkusen,3,3,D,2,0,H,60000,9,11,6,7,1,1,8,7,15,30,2,2,3,2,0,0,30,20,,,,2.1,2.9,2.9,2.2,3.25,2.75,,,,2.2,3,3,2.2,3.1,2.87
D1,2018-8-1,Werder Bremen,Munich 1860,1,3,A,1,2,A,28000,15,11,5,8,1,1,11,1,20,16,1,1,5,2,0,1,50,45,,,,1.75,3.1,3.6,1.5,3.4,6,,,,1.62,3.5,4.5,1.66,3.3,4.5
D1,2018-8-1,Wolfsburg,Freiburg,1,1,D,0,1,A,16000,17,10,10,4,0,1,5,4,29,25,2,3,3,0,0,0,30,0,,,,1.9,2.9,3.2,1.91,3.25,3.4,,,,1.91,3.25,3.4,2,3.2,3.2
D1,2019-8-1,FC Koln,M'gladbach,0,2,A,0,0,D,42000,12,13,4,5,0,0,4,6,22,34,4,4,2,4,0,0,20,40,,,,2,2.9,3,1.91,3.25,3.4,,,,1.8,3.25,3.75,2,3.3,3.1
D1,2019-8-1,Hertha,Cottbus,2,3,A,1,0,H,40000,15,11,5,3,1,1,5,5,10,23,3,1,1,3,0,0,10,30,,,,1.45,3.5,5,1.44,3.5,7,,,,1.4,3.75,7,1.36,3.75,8
D1,2021-8-1,Schalke 04,Hansa Rostock,3,1,H,1,1,D,60204,16,9,6,4,3,1,4,4,12,18,2,0,2,4,1,1,45,65,,,,1.4,3.6,5.5,1.57,3.5,5,,,,,,,1.4,3.6,7.5
D1,2008-9-1,Cottbus,Wolfsburg,3,3,D,2,2,D,14000,11,8,3,2,3,0,7,10,13,14,0,4,2,3,0,0,20,30,,,,2,2.9,3,1.8,3.25,3.75,1.91,3.2,3.5,1.8,3.25,3.75,1.83,3.3,3.6
D1,2008-9-1,Dortmund,Bayern Munich,0,2,A,0,1,A,68900,12,5,4,4,0,0,5,4,25,22,3,3,1,2,0,0,10,20,,,,2.1,2.9,2.9,2.25,3.4,2.62,2.2,3.2,2.8,2.2,3.2,2.8,2.1,3.2,3
D1,2008-9-1,Freiburg,Hansa Rostock,1,1,D,0,0,D,25000,18,13,10,5,2,0,5,3,8,16,5,6,1,1,0,0,10,10,,,,1.7,3.1,3.8,1.73,3.4,4,1.67,3.25,4.5,1.73,3.4,4,1.66,3.3,4.5
D1,2008-9-1,M'gladbach,Leverkusen,0,1,A,0,1,A,30184,28,7,17,5,2,0,13,2,14,19,2,8,1,3,0,0,10,30,,,,2.4,2.9,2.4,2.6,3.2,2.37,,,,2.62,3.2,2.38,2.62,3.1,2.37
D1,2008-9-1,Munich 1860,Nurnberg,1,0,H,0,0,D,35000,11,9,5,3,0,0,5,3,15,17,5,0,1,1,0,0,10,10,,,,1.7,3.1,3.8,1.73,3.4,4,1.75,3.2,4.2,1.73,3.4,4,1.66,3.3,4.5
