FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
1,1,0,0,2.63,3.25,2.63,2.55,3.4,2.55,2.55,3.4,2.55,2.7,3.2,2.3,2.5,3.2,2.5,2.4,3.4,2.62,2.62,3.4,2.62,38,2.75,2.59,3.69,3.33,2.7,2.58,32,1.76,1.69,2.28,2.14,20,0.0,1.97,1.93,1.96,1.92
1,1,1,1,1.4,4.5,8.0,1.4,4.5,7.0,1.4,4.5,7.0,1.4,4.0,6.5,1.33,4.33,7.0,1.4,4.5,6.5,1.36,5.2,8.5,38,1.4,1.37,5.34,4.59,8.85,7.79,21,1.62,1.53,2.56,2.39,19,-1.25,1.88,1.8,2.11,2.06
1,1,0,1,1.57,4.0,5.5,1.6,3.9,5.0,1.6,3.9,5.0,1.55,3.7,4.8,1.53,3.75,5.0,1.6,3.8,5.0,1.55,4.3,6.25,38,1.6,1.55,4.4,3.9,6.55,5.75,27,1.79,1.67,2.25,2.16,17,-0.75,1.74,1.67,2.31,2.24
3,2,2,1,7.0,4.33,1.45,6.5,4.2,1.45,6.5,4.2,1.45,5.4,4.0,1.45,6.5,4.0,1.4,6.0,4.33,1.44,7.5,4.75,1.44,38,8.0,7.03,4.79,4.27,1.45,1.43,27,1.72,1.65,2.31,2.18,17,1.0,2.22,2.15,1.77,1.73
2,2,1,0,1.62,4.0,5.0,1.62,3.9,4.75,1.62,3.9,4.75,1.65,3.5,4.5,1.6,3.6,4.5,1.67,3.8,4.4,1.65,4.1,5.4,38,1.67,1.61,4.32,3.83,6.0,5.12,22,1.67,1.55,2.52,2.34,19,-0.75,1.82,1.78,2.13,2.09
0,2,0,2,1.67,4.0,4.75,1.72,3.8,4.2,1.72,3.8,4.2,1.7,3.5,4.2,1.67,3.5,4.33,1.7,3.8,4.2,1.78,3.9,4.6,35,1.81,1.74,4.06,3.68,4.75,4.38,21,1.67,1.5,2.63,2.46,18,-0.75,2.06,2.02,1.88,1.85
4,1,2,0,1.29,5.5,10.0,1.28,5.25,9.25,1.28,5.25,9.25,1.25,4.8,9.0,1.29,4.5,8.0,1.29,5.0,9.0,1.33,5.5,10.0,38,1.35,1.3,5.67,5.13,10.5,8.96,20,1.62,1.49,2.61,2.51,17,-1.5,2.02,1.97,2.08,1.89
0,1,0,1,3.5,3.6,2.0,3.6,3.6,1.91,3.6,3.6,1.91,3.5,3.3,1.9,3.25,3.4,1.91,3.2,3.6,2.0,3.6,3.6,2.05,38,3.9,3.52,3.72,3.44,2.09,1.99,24,1.7,1.6,2.36,2.22,17,0.25,2.16,2.12,1.79,1.76
2,2,0,0,1.44,4.5,7.0,1.45,4.25,6.5,1.45,4.25,6.5,1.45,4.0,5.5,1.4,4.0,6.0,1.5,4.2,5.5,1.5,4.6,6.5,38,1.52,1.47,4.68,4.2,7.01,6.37,22,1.67,1.54,2.46,2.36,19,-1.25,2.18,2.12,1.8,1.76
1,1,0,0,1.5,4.33,6.0,1.53,4.0,5.0,1.53,4.0,5.0,1.55,3.6,5.0,1.5,3.8,5.5,1.44,4.2,6.0,1.5,4.5,6.5,36,1.55,1.51,4.6,4.12,6.61,5.93,20,1.57,1.52,2.61,2.45,18,-1.0,1.9,1.84,2.07,2.02
0,1,0,0,5.0,3.8,1.67,4.75,3.9,1.72,4.75,3.9,1.72,4.2,3.4,1.7,4.33,3.6,1.62,4.33,3.75,1.67,5.0,4.1,1.67,37,5.11,4.67,4.13,3.78,1.73,1.67,23,1.69,1.62,2.3,2.22,17,0.75,2.07,2.03,1.88,1.84
5,0,1,0,1.2,6.5,13.0,1.19,6.0,11.0,1.19,6.0,11.0,1.2,5.0,10.0,1.17,6.0,11.0,1.2,5.5,12.0,1.22,6.5,13.0,37,1.21,1.19,7.57,6.38,16.0,12.43,20,1.4,1.34,3.3,3.13,18,-2.0,1.94,1.9,2.0,1.96
1,3,1,1,2.63,3.5,2.5,2.55,3.3,2.45,2.55,3.3,2.45,2.6,3.2,2.4,2.6,3.2,2.4,2.5,3.4,2.5,2.88,3.6,2.45,37,2.91,2.7,3.62,3.33,2.62,2.47,24,1.75,1.67,2.25,2.14,19,0.0,2.16,2.07,1.84,1.79
0,1,0,0,3.25,3.6,2.1,3.2,3.3,2.05,3.2,3.3,2.05,3.1,3.2,2.1,3.0,3.25,2.1,3.0,3.4,2.15,3.2,3.5,2.3,37,3.4,3.12,3.6,3.37,2.34,2.19,29,1.8,1.71,2.2,2.1,17,0.25,1.94,1.89,2.02,1.98
3,1,2,0,1.33,5.5,7.5,1.28,5.25,7.75,1.28,5.25,7.75,1.25,4.8,10.0,1.3,4.5,7.5,1.29,5.0,8.5,1.36,5.4,8.5,37,1.4,1.33,5.5,4.95,10.0,8.16,20,1.5,1.41,2.88,2.74,18,-1.5,2.12,2.06,1.91,1.81
2,2,1,1,2.2,3.6,3.0,2.1,3.3,3.1,2.1,3.3,3.1,2.0,3.3,3.2,2.1,3.25,3.0,2.2,3.4,2.62,2.15,3.5,3.4,37,2.2,2.11,3.6,3.38,3.6,3.24,28,1.84,1.73,2.16,2.07,18,-0.25,1.93,1.88,2.04,1.99
1,1,1,0,1.5,4.33,6.0,1.55,4.2,6.0,1.55,4.2,6.0,1.45,4.0,5.5,1.4,4.0,6.0,1.4,4.0,7.5,1.45,4.6,7.5,37,1.5,1.46,4.69,4.17,7.5,6.54,20,1.67,1.55,2.46,2.36,19,-1.0,1.8,1.76,2.18,2.1
1,6,0,4,4.33,3.6,1.8,4.5,3.7,1.65,4.5,3.7,1.65,4.8,3.6,1.6,4.0,3.4,1.73,4.33,3.75,1.67,4.3,3.75,1.85,36,4.8,4.2,3.9,3.63,1.88,1.78,22,1.7,1.6,2.42,2.26,17,0.5,2.05,2.01,1.89,1.86
1,0,0,0,1.75,3.75,4.5,1.75,3.6,4.0,1.75,3.6,4.0,1.75,3.4,4.0,1.73,3.5,4.0,1.73,3.5,3.8,1.8,3.8,4.4,37,1.82,1.76,3.95,3.63,4.6,4.29,29,1.7,1.61,2.34,2.25,17,-0.75,2.08,2.03,1.87,1.84
5,0,3,0,1.13,8.0,19.0,1.11,7.75,14.5,1.11,7.75,14.5,1.12,6.5,13.0,1.08,7.5,15.0,1.1,7.0,13.0,1.15,8.5,19.0,33,1.14,1.12,10.0,8.04,26.0,17.78,20,1.33,1.27,3.7,3.43,17,-2.25,1.87,1.81,2.13,2.04
1,2,0,2,2.8,3.4,2.4,3.0,3.3,2.15,3.0,3.3,2.15,2.95,3.1,2.2,2.62,3.2,2.38,2.75,3.1,2.3,2.8,3.5,2.5,35,2.95,2.76,3.59,3.31,2.56,2.41,26,1.78,1.71,2.25,2.06,17,0.0,2.06,2.0,1.9,1.83
1,1,1,0,1.53,4.0,5.5,1.57,3.9,4.75,1.57,3.9,4.75,1.5,3.9,5.1,1.53,3.75,5.0,1.53,3.6,5.0,1.62,4.1,5.75,37,1.65,1.58,4.19,3.88,6.4,5.37,24,1.71,1.59,2.38,2.25,18,-1.0,2.09,2.04,1.89,1.83
