HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
Genoa,Sassuolo,,,,,2.1,3.3,3.5,2.05,3.25,3.6,2.05,3.25,3.6,2.1,3.3,3.3,2,3.3,3.75,2.05,3.4,3.6,2.05,3.2,4
Lazio,Palermo,,,,,1.5,4.33,6,1.5,4.1,6.25,1.5,4.1,6.25,1.5,4,6.1,1.5,4,6.5,1.5,4.2,6.5,1.45,4.2,8
Fiorentina,Empoli,,,,,1.44,4.33,7,1.45,4.33,6.75,1.45,4.33,6.75,1.5,4,6.1,1.48,4.2,7,1.55,4,6,1.5,4.2,7
Carpi,Chievo,,,,,2.9,3.1,2.5,2.75,3.1,2.6,2.75,3.1,2.6,2.7,3.1,2.6,2.8,3.1,2.62,2.8,3.1,2.62,2.88,2.9,2.75
Atalanta,Torino,,,,,2.6,3.1,2.8,2.6,3.1,2.75,2.6,3.1,2.75,2.5,3.15,2.8,2.5,3.1,2.8,2.5,3.2,2.9,2.6,3,3
Inter Milan,Frosinone,,,,,1.22,6,13,1.22,6,12.5,1.22,6,12.5,1.2,5.8,13,1.22,6,13,1.22,6,13,1.17,7,19
Caen,Angers,,,,,1.95,3.1,4.33,1.85,3.25,4.5,1.85,3.25,4.5,1.9,3.35,3.9,1.95,3.25,4,1.95,3.2,4.2,1.85,3.3,4.8
Rennes,Bordeaux,,,,,2.25,3.3,3.2,2.3,3.1,3.2,2.3,3.1,3.2,2.3,3.1,3.1,2.25,3.1,3.4,2.37,3,3.25,2.38,3.1,3.3
Saint,Marseille,,,,,2.3,3.3,3.1,2.3,3.3,3,2.3,3.3,3,2.3,3.1,3.1,2.3,3.25,3,2.37,3.25,3,2.4,3.4,3
Hertha,Hoffenheim,,,,,2.05,3.5,3.4,2.15,3.3,3.3,2.15,3.3,3.3,2.1,3.3,3.3,2.1,3.3,3.4,2.05,3.5,3.5,2.1,3.5,3.5
Ingolstadt,Darmstadt,,,,,2,3.4,3.75,2.1,3.3,3.4,2.1,3.3,3.4,2.2,3.2,3.2,2.05,3.2,3.8,2.05,3.1,4,2,3.3,4
Tottenham,West Ham,,,,,1.66,3.75,5,1.65,3.8,5,1.65,3.8,5,1.7,3.6,4.7,1.62,4,5.25,1.67,4,4.75,1.5,4.4,7
Getafe,Vallecano,,,,,2.3,3.3,3.1,2.3,3.25,3.1,2.3,3.25,3.1,2.2,3.2,3.2,2.25,3.3,3.1,2.37,3.4,2.9,2.38,3.4,3
Crystal,Sunderland,,,,,1.61,3.75,5.5,1.62,3.7,5.5,1.62,3.7,5.5,1.7,3.6,4.7,1.6,4,5.5,1.6,4,5.5,1.55,4.1,7
